TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",39.11,39.11,39.11,39.11,1486327
"Nov 14, 2025",35.55,35.55,35.55,35.55,1042485
"Nov 13, 2025",32.34,32.34,32.34,32.34,199539
"Nov 12, 2025",29.4,29.4,29.4,29.4,325901
"Nov 11, 2025",26.73,26.73,26.73,26.73,650508
"Nov 10, 2025",24.3,24.3,24.3,24.3,285091
"Nov 07, 2025",22.09,22.09,22.09,22.09,1418657
"Nov 06, 2025",20.08,20.08,20.08,20.08,503731
"Nov 05, 2025",18.25,18.25,18.25,18.25,1951
"Nov 04, 2025",18.5,18.5,18.5,18.5,31832
"Nov 03, 2025",19.08,19.08,19.08,19.08,143714
"Oct 31, 2025",18.17,18.17,18.17,18.17,2376
"Oct 30, 2025",18.01,18.01,18.01,18.01,82431
"Oct 29, 2025",18.1,18.1,18.1,18.1,40003
"Oct 28, 2025",18.58,18.58,18.58,18.58,197280
"Oct 27, 2025",19.5,19.5,19.5,19.5,41254
"Oct 24, 2025",19.99,19.99,19.99,19.99,26796
"Oct 23, 2025",19.8,19.8,19.8,19.8,12932
"Oct 22, 2025",20.1,20.1,20.1,20.1,20011
"Oct 21, 2025",20.34,20.34,20.34,20.34,150562
"Oct 20, 2025",20.89,20.89,20.89,20.89,999575
"Oct 17, 2025",19.0,19.0,19.0,19.0,10957
"Oct 16, 2025",18.7,18.7,18.7,18.7,86871
"Oct 15, 2025",18.72,18.72,18.72,18.72,61081
"Oct 14, 2025",19.6,19.6,19.6,19.6,36936
"Oct 13, 2025",18.8,18.8,18.8,18.8,56639
"Oct 10, 2025",18.76,18.76,18.76,18.76,73250
"Oct 09, 2025",19.76,19.76,19.76,19.76,136064
"Oct 08, 2025",21.19,21.19,21.19,21.19,57604
"Oct 07, 2025",21.6,21.6,21.6,21.6,41805
"Oct 06, 2025",21.82,21.82,21.82,21.82,70519
"Oct 03, 2025",23.46,23.46,23.46,23.46,220461
"Oct 02, 2025",23.55,23.55,23.55,23.55,256177
"Oct 01, 2025",22.75,22.75,22.75,22.75,47610
"Sep 30, 2025",22.95,22.95,22.95,22.95,63339
"Sep 29, 2025",23.23,23.23,23.23,23.23,228639
"Sep 26, 2025",23.63,23.63,23.63,23.63,94080
"Sep 25, 2025",24.09,24.09,24.09,24.09,535358
"Sep 24, 2025",25.7,25.7,25.7,25.7,1321910
"Sep 23, 2025",23.36,23.36,23.36,23.36,95912
"Sep 22, 2025",23.84,23.84,23.84,23.84,198556
"Sep 19, 2025",24.44,24.44,24.44,24.44,192986
"Sep 18, 2025",25.99,25.99,25.99,25.99,654627
"Sep 17, 2025",25.99,25.99,25.99,25.99,889614
"Sep 16, 2025",23.63,23.63,23.63,23.63,353508
"Sep 15, 2025",24.88,24.88,24.88,24.88,682400
"Sep 12, 2025",26.24,26.24,26.24,26.24,251369
"Sep 11, 2025",23.85,23.85,23.85,23.85,517334
"Sep 10, 2025",21.68,21.68,21.68,21.68,831653
"Sep 09, 2025",19.71,19.71,19.71,19.71,80218
"Sep 08, 2025",19.43,19.43,19.43,19.43,84272
"Sep 05, 2025",19.12,19.12,19.12,19.12,210453
"Sep 04, 2025",19.87,19.87,19.87,19.87,582286
"Sep 03, 2025",20.1,20.1,20.1,20.1,1074021
"Sep 02, 2025",18.27,18.27,18.27,18.27,121714
"Sep 01, 2025",18.92,18.92,18.92,18.92,516710
"Aug 29, 2025",17.82,17.82,17.82,17.82,10509
"Aug 28, 2025",17.6,17.6,17.6,17.6,24112
"Aug 27, 2025",17.56,17.56,17.56,17.56,32461
"Aug 26, 2025",17.99,17.99,17.99,17.99,11501
"Aug 25, 2025",17.9,17.9,17.9,17.9,3049
"Aug 22, 2025",18.02,18.02,18.02,18.02,6120
"Aug 21, 2025",18.14,18.14,18.14,18.14,34822
"Aug 20, 2025",18.41,18.41,18.41,18.41,48410
"Aug 19, 2025",18.12,18.12,18.12,18.12,64595
"Aug 18, 2025",18.66,18.66,18.66,18.66,76186
"Aug 15, 2025",18.51,18.51,18.51,18.51,113338
"Aug 13, 2025",17.86,17.86,17.86,17.86,42046
"Aug 12, 2025",17.51,17.51,17.51,17.51,65601
"Aug 11, 2025",17.2,17.2,17.2,17.2,44189
"Aug 08, 2025",17.62,17.62,17.62,17.62,53526
"Aug 07, 2025",17.95,17.95,17.95,17.95,44938
"Aug 06, 2025",17.88,17.88,17.88,17.88,21677
"Aug 05, 2025",18.08,18.08,18.08,18.08,28955
"Aug 04, 2025",18.47,18.47,18.47,18.47,45218
"Aug 01, 2025",18.1,18.1,18.1,18.1,30902
"Jul 31, 2025",18.2,18.2,18.2,18.2,47173
"Jul 30, 2025",18.49,18.49,18.49,18.49,371133
"Jul 29, 2025",18.03,18.03,18.03,18.03,337895
"Jul 28, 2025",19.62,19.62,19.62,19.62,1390854
"Jul 25, 2025",20.26,20.26,20.26,20.26,199272
"Jul 24, 2025",18.42,18.42,18.42,18.42,35430
"Jul 23, 2025",18.56,18.56,18.56,18.56,58732
"Jul 22, 2025",18.13,18.13,18.13,18.13,239376
"Jul 21, 2025",18.48,18.48,18.48,18.48,891974
"Jul 18, 2025",19.46,19.46,19.46,19.46,92847
"Jul 17, 2025",17.69,17.69,17.69,17.69,399291
"Jul 16, 2025",16.08,16.08,16.08,16.08,228323
"Jul 15, 2025",14.62,14.62,14.62,14.62,82746
"Jul 14, 2025",14.57,14.57,14.57,14.57,52059
"Jul 11, 2025",15.0,15.0,15.0,15.0,503
"Jul 10, 2025",15.19,15.19,15.19,15.19,8002
"Jul 09, 2025",15.15,15.15,15.15,15.15,47805
"Jul 08, 2025",15.19,15.19,15.19,15.19,36441
"Jul 07, 2025",15.0,15.0,15.0,15.0,33009
"Jul 04, 2025",15.0,15.0,15.0,15.0,13513
"Jul 03, 2025",15.13,15.13,15.13,15.13,75415
"Jul 02, 2025",14.95,14.95,14.95,14.95,21771
"Jul 01, 2025",14.95,14.95,14.95,14.95,117708
"Jun 30, 2025",14.89,14.89,14.89,14.89,218371
"Jun 27, 2025",14.65,14.65,14.65,14.65,46523
"Jun 26, 2025",14.54,14.54,14.54,14.54,204609
