TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",23.0,23.0,23.0,23.0,24568
"Nov 14, 2025",22.74,22.74,22.74,22.74,71600
"Nov 13, 2025",24.92,24.92,24.92,24.92,103987
"Nov 12, 2025",26.52,26.52,26.52,26.52,285325
"Nov 11, 2025",24.12,24.12,24.12,24.12,110146
"Nov 10, 2025",21.93,21.93,21.93,21.93,11431
"Nov 07, 2025",19.94,19.94,19.94,19.94,76692
"Nov 06, 2025",18.13,18.13,18.13,18.13,15801
"Nov 05, 2025",18.47,18.47,18.47,18.47,198381
"Nov 04, 2025",19.92,19.92,19.92,19.92,271306
"Nov 03, 2025",21.53,21.53,21.53,21.53,7657
"Oct 31, 2025",19.57,19.57,19.57,19.57,53762
"Oct 30, 2025",17.79,17.79,17.79,17.79,27990
"Oct 29, 2025",16.17,16.17,16.17,16.17,12102
"Oct 28, 2025",16.99,16.99,16.99,16.99,50842
"Oct 27, 2025",18.06,18.06,18.06,18.06,63142
"Oct 24, 2025",18.96,18.96,18.96,18.96,352301
"Oct 23, 2025",17.65,17.65,17.65,17.65,425576
"Oct 22, 2025",16.07,16.07,16.07,16.07,2200
"Oct 21, 2025",16.01,16.01,16.01,16.01,31103
"Oct 20, 2025",16.0,16.0,16.0,16.0,42970
"Oct 17, 2025",16.0,16.0,16.0,16.0,25507
"Oct 16, 2025",15.93,15.93,15.93,15.93,64613
"Oct 15, 2025",16.0,16.0,16.0,16.0,7054
"Oct 14, 2025",15.1,15.1,15.1,15.1,20298
"Oct 13, 2025",15.21,15.21,15.21,15.21,13369
"Oct 10, 2025",15.24,15.24,15.24,15.24,37526
"Oct 09, 2025",15.8,15.8,15.8,15.8,13621
"Oct 08, 2025",15.48,15.48,15.48,15.48,1001
"Oct 07, 2025",15.96,15.96,15.96,15.96,225
"Oct 06, 2025",15.96,15.96,15.96,15.96,1777
"Oct 03, 2025",16.29,16.29,16.29,16.29,10146
"Oct 02, 2025",15.99,15.99,15.99,15.99,4527
"Oct 01, 2025",15.67,15.67,15.67,15.67,31594
"Sep 30, 2025",15.74,15.74,15.74,15.74,16073
"Sep 29, 2025",16.52,16.52,16.52,16.52,15357
"Sep 26, 2025",16.53,16.53,16.53,16.53,24936
"Sep 25, 2025",16.24,16.24,16.24,16.24,16747
"Sep 24, 2025",15.92,15.92,15.92,15.92,145510
"Sep 23, 2025",15.8,15.8,15.8,15.8,63616
"Sep 22, 2025",15.65,15.65,15.65,15.65,97549
"Sep 19, 2025",14.23,14.23,14.23,14.23,45315
"Sep 18, 2025",14.52,14.52,14.52,14.52,23734
"Sep 17, 2025",14.7,14.7,14.7,14.7,11693
"Sep 16, 2025",14.62,14.62,14.62,14.62,14292
"Sep 15, 2025",15.0,15.0,15.0,15.0,10709
"Sep 12, 2025",14.78,14.78,14.78,14.78,61067
"Sep 11, 2025",15.57,15.57,15.57,15.57,159947
"Sep 10, 2025",15.43,15.43,15.43,15.43,101917
"Sep 09, 2025",14.03,14.03,14.03,14.03,146580
"Sep 08, 2025",12.75,12.75,12.75,12.75,57051
"Sep 05, 2025",12.19,12.19,12.19,12.19,45640
"Sep 04, 2025",12.99,12.99,12.99,12.99,36178
"Sep 03, 2025",12.41,12.41,12.41,12.41,106480
"Sep 02, 2025",13.45,13.45,13.45,13.45,59238
"Sep 01, 2025",14.26,14.26,14.26,14.26,9627
"Aug 29, 2025",14.26,14.26,14.26,14.26,61149
"Aug 28, 2025",15.26,15.26,15.26,15.26,1589
"Aug 27, 2025",15.01,15.01,15.01,15.01,16274
"Aug 26, 2025",15.17,15.17,15.17,15.17,1298
"Aug 25, 2025",15.37,15.37,15.37,15.37,28186
"Aug 22, 2025",14.93,14.93,14.93,14.93,33264
"Aug 21, 2025",14.71,14.71,14.71,14.71,7709
"Aug 20, 2025",14.94,14.94,14.94,14.94,26521
"Aug 19, 2025",15.29,15.29,15.29,15.29,12231
"Aug 18, 2025",15.26,15.26,15.26,15.26,627
"Aug 15, 2025",15.22,15.22,15.22,15.22,458
"Aug 13, 2025",15.22,15.22,15.22,15.22,35367
"Aug 12, 2025",15.01,15.01,15.01,15.01,66543
"Aug 11, 2025",15.08,15.08,15.08,15.08,15200
"Aug 08, 2025",15.28,15.28,15.28,15.28,1155
"Aug 07, 2025",15.47,15.47,15.47,15.47,79131
"Aug 06, 2025",15.5,15.5,15.5,15.5,10401
"Aug 05, 2025",15.63,15.63,15.63,15.63,1922
"Aug 04, 2025",15.02,15.02,15.02,15.02,4404
"Aug 01, 2025",14.83,14.83,14.83,14.83,17523
"Jul 31, 2025",14.99,14.99,14.99,14.99,10223
"Jul 30, 2025",14.95,14.95,14.95,14.95,814
"Jul 29, 2025",15.08,15.08,15.08,15.08,9304
"Jul 28, 2025",15.11,15.11,15.11,15.11,2962
"Jul 25, 2025",15.52,15.52,15.52,15.52,44705
"Jul 24, 2025",15.7,15.7,15.7,15.7,7338
"Jul 23, 2025",16.0,16.0,16.0,16.0,21179
"Jul 22, 2025",15.89,15.89,15.89,15.89,16561
"Jul 21, 2025",15.72,15.72,15.72,15.72,3784
"Jul 18, 2025",16.0,16.0,16.0,16.0,3388
"Jul 17, 2025",15.9,15.9,15.9,15.9,4510
"Jul 16, 2025",14.99,14.99,14.99,14.99,5807
"Jul 15, 2025",15.17,15.17,15.17,15.17,6548
"Jul 14, 2025",15.62,15.62,15.62,15.62,1216
"Jul 11, 2025",15.83,15.83,15.83,15.83,17660
"Jul 10, 2025",16.33,16.33,16.33,16.33,45335
"Jul 09, 2025",15.6,15.6,15.6,15.6,12718
"Jul 08, 2025",15.2,15.2,15.2,15.2,6439
"Jul 07, 2025",16.42,16.42,16.42,16.42,130992
"Jul 04, 2025",16.7,16.7,16.7,16.7,169467
"Jul 03, 2025",15.18,15.18,15.18,15.18,13833
"Jul 02, 2025",15.73,15.73,15.73,15.73,4307
"Jul 01, 2025",14.66,14.66,14.66,14.66,21632
"Jun 30, 2025",16.04,16.04,16.04,16.04,16100
