TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",31.5,31.5,31.5,31.5,1
"Nov 12, 2025",31.5,31.5,31.5,31.5,7
"Nov 11, 2025",31.5,31.5,31.5,31.5,800
"Nov 10, 2025",29.29,29.29,29.29,29.29,493
"Nov 07, 2025",29.29,29.29,29.29,29.29,588
"Nov 05, 2025",31.48,31.48,31.48,31.48,970
"Nov 04, 2025",31.74,31.74,31.74,31.74,510
"Nov 03, 2025",31.97,31.97,31.97,31.97,141
"Oct 31, 2025",31.97,31.97,31.97,31.97,826
"Oct 30, 2025",32.6,32.6,32.6,32.6,115
"Oct 29, 2025",32.6,32.6,32.6,32.6,50
"Oct 28, 2025",32.6,32.6,32.6,32.6,5
"Oct 27, 2025",32.6,32.6,32.6,32.6,6470
"Oct 24, 2025",29.92,29.92,29.92,29.92,5700
"Oct 22, 2025",31.73,31.73,31.73,31.73,801
"Oct 21, 2025",32.48,32.48,32.48,32.48,873
"Oct 20, 2025",30.25,30.25,30.25,30.25,430
"Oct 17, 2025",30.25,30.25,30.25,30.25,320
"Oct 16, 2025",30.25,30.25,30.25,30.25,20673
"Oct 15, 2025",33.56,33.56,33.56,33.56,435
"Oct 14, 2025",33.56,33.56,33.56,33.56,195
"Oct 10, 2025",33.56,33.56,33.56,33.56,944
"Oct 09, 2025",32.35,32.35,32.35,32.35,103
"Oct 08, 2025",32.35,32.35,32.35,32.35,11353
"Oct 07, 2025",35.92,35.92,35.92,35.92,904
"Oct 06, 2025",34.0,34.0,34.0,34.0,31
"Oct 03, 2025",34.0,34.0,34.0,34.0,33
"Oct 02, 2025",34.0,34.0,34.0,34.0,52
"Sep 30, 2025",34.0,34.0,34.0,34.0,5160
"Sep 29, 2025",36.33,36.33,36.33,36.33,5
"Sep 26, 2025",36.33,36.33,36.33,36.33,544
"Sep 25, 2025",36.33,36.33,36.33,36.33,68
"Sep 24, 2025",36.33,36.33,36.33,36.33,3
"Sep 22, 2025",36.33,36.33,36.33,36.33,234
"Sep 19, 2025",36.33,36.33,36.33,36.33,185
"Sep 18, 2025",36.33,36.33,36.33,36.33,399
"Sep 17, 2025",36.33,36.33,36.33,36.33,1
"Sep 16, 2025",36.33,36.33,36.33,36.33,42
"Sep 15, 2025",36.33,36.33,36.33,36.33,3035
"Sep 11, 2025",38.96,38.96,38.96,38.96,759
"Sep 10, 2025",38.96,38.96,38.96,38.96,3216
"Sep 09, 2025",37.69,37.69,37.69,37.69,201
"Sep 08, 2025",37.69,37.69,37.69,37.69,320
"Sep 05, 2025",37.69,37.69,37.69,37.69,24648
"Sep 04, 2025",36.5,36.5,36.5,36.5,1412
"Sep 03, 2025",36.46,36.46,36.46,36.46,294
"Sep 02, 2025",36.46,36.46,36.46,36.46,5768
"Sep 01, 2025",33.81,33.81,33.81,33.81,128
"Aug 29, 2025",33.81,33.81,33.81,33.81,86
"Aug 28, 2025",33.81,33.81,33.81,33.81,25
"Aug 26, 2025",33.81,33.81,33.81,33.81,5020
"Aug 25, 2025",35.0,35.0,35.0,35.0,674
"Aug 22, 2025",33.85,33.85,33.85,33.85,2230
"Aug 21, 2025",33.81,33.81,33.81,33.81,6709
"Aug 20, 2025",33.7,33.7,33.7,33.7,4351
"Aug 19, 2025",34.54,34.54,34.54,34.54,19434
"Aug 18, 2025",36.53,36.53,36.53,36.53,55782
"Aug 15, 2025",36.46,36.46,36.46,36.46,507
"Aug 13, 2025",35.12,35.12,35.12,35.12,7
"Aug 12, 2025",35.12,35.12,35.12,35.12,38902
"Aug 11, 2025",34.89,34.89,34.89,34.89,4221
"Aug 08, 2025",34.09,34.09,34.09,34.09,4438
"Aug 07, 2025",34.73,34.73,34.73,34.73,6400
"Aug 06, 2025",36.8,36.8,36.8,36.8,24739
"Aug 05, 2025",39.61,39.61,39.61,39.61,45454
"Aug 04, 2025",36.56,36.56,36.56,36.56,7290
"Aug 01, 2025",39.48,39.48,39.48,39.48,4001
"Jul 31, 2025",35.89,35.89,35.89,35.89,7621
"Jul 30, 2025",32.63,32.63,32.63,32.63,14319
"Jul 29, 2025",34.49,34.49,34.49,34.49,2141
"Jul 28, 2025",33.5,33.5,33.5,33.5,1577
"Jul 25, 2025",32.64,32.64,32.64,32.64,1875
"Jul 24, 2025",32.65,32.65,32.65,32.65,2914
"Jul 23, 2025",31.05,31.05,31.05,31.05,1070
"Jul 22, 2025",32.17,32.17,32.17,32.17,17812
"Jul 21, 2025",34.63,34.63,34.63,34.63,40
"Jul 18, 2025",34.63,34.63,34.63,34.63,2308
"Jul 17, 2025",36.06,36.06,36.06,36.06,1795
"Jul 16, 2025",36.66,36.66,36.66,36.66,3891
"Jul 15, 2025",36.87,36.87,36.87,36.87,3102
"Jul 14, 2025",39.72,39.72,39.72,39.72,460
"Jul 11, 2025",39.72,39.72,39.72,39.72,2939
"Jul 10, 2025",39.0,39.0,39.0,39.0,14677
"Jul 09, 2025",37.7,37.7,37.7,37.7,7870
"Jul 08, 2025",39.5,39.5,39.5,39.5,26250
