TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",8.18,8.18,8.18,8.18,1061448
"Nov 14, 2025",7.97,7.97,7.97,7.97,268185
"Nov 13, 2025",7.96,7.96,7.96,7.96,320954
"Nov 12, 2025",7.85,7.85,7.85,7.85,1381363
"Nov 11, 2025",8.06,8.06,8.06,8.06,1689148
"Nov 10, 2025",8.28,8.28,8.28,8.28,2791524
"Nov 07, 2025",8.2,8.2,8.2,8.2,5851594
"Nov 06, 2025",8.08,8.08,8.08,8.08,849631
"Nov 05, 2025",8.08,8.08,8.08,8.08,186533
"Nov 04, 2025",8.08,8.08,8.08,8.08,1218044
"Nov 03, 2025",8.3,8.3,8.3,8.3,1351876
"Oct 31, 2025",8.05,8.05,8.05,8.05,1536339
"Oct 30, 2025",7.72,7.72,7.72,7.72,1309522
"Oct 29, 2025",7.79,7.79,7.79,7.79,1896120
"Oct 28, 2025",7.99,7.99,7.99,7.99,1158345
"Oct 27, 2025",8.07,8.07,8.07,8.07,1077251
"Oct 24, 2025",8.27,8.27,8.27,8.27,1310320
"Oct 23, 2025",8.39,8.39,8.39,8.39,25506289
"Oct 22, 2025",8.12,8.12,8.12,8.12,1014584
"Oct 21, 2025",8.12,8.12,8.12,8.12,3804595
"Oct 20, 2025",8.22,8.22,8.22,8.22,701048
"Oct 17, 2025",8.2,8.2,8.2,8.2,3010557
"Oct 16, 2025",8.11,8.11,8.11,8.11,1269808
"Oct 15, 2025",8.11,8.11,8.11,8.11,1122098
"Oct 14, 2025",8.11,8.11,8.11,8.11,1016786
"Oct 13, 2025",7.87,7.87,7.87,7.87,1753744
"Oct 10, 2025",8.19,8.19,8.19,8.19,2209354
"Oct 09, 2025",8.2,8.2,8.2,8.2,3350430
"Oct 08, 2025",8.45,8.45,8.45,8.45,41268930
"Oct 07, 2025",8.89,8.89,8.89,8.89,18195033
"Oct 06, 2025",7.89,7.89,7.89,7.89,2204044
"Oct 03, 2025",8.11,8.11,8.11,8.11,7183711
"Oct 02, 2025",8.25,8.25,8.25,8.25,2348473
"Oct 01, 2025",8.1,8.1,8.1,8.1,1731129
"Sep 30, 2025",8.17,8.17,8.17,8.17,1595564
"Sep 29, 2025",8.38,8.38,8.38,8.38,7423999
"Sep 26, 2025",8.27,8.27,8.27,8.27,2595243
"Sep 25, 2025",8.34,8.34,8.34,8.34,4891525
"Sep 24, 2025",8.4,8.4,8.4,8.4,3349021
"Sep 23, 2025",8.62,8.62,8.62,8.62,6124010
"Sep 22, 2025",9.0,9.0,9.0,9.0,16781176
"Sep 19, 2025",8.47,8.47,8.47,8.47,6553305
"Sep 18, 2025",8.49,8.49,8.49,8.49,7943507
"Sep 17, 2025",8.15,8.15,8.15,8.15,3305789
"Sep 16, 2025",8.29,8.29,8.29,8.29,18906002
"Sep 15, 2025",7.99,7.99,7.99,7.99,1227127
"Sep 12, 2025",7.86,7.86,7.86,7.86,952748
"Sep 11, 2025",7.96,7.96,7.96,7.96,2017269
