TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",530.0,530.0,530.0,530.0,2142
"Nov 14, 2025",526.32,526.32,526.32,526.32,6793
"Nov 13, 2025",531.02,531.02,531.02,531.02,4061
"Nov 12, 2025",530.13,530.13,530.13,530.13,4173
"Nov 11, 2025",535.14,535.14,535.14,535.14,4235
"Nov 10, 2025",550.03,550.03,550.03,550.03,1665
"Nov 07, 2025",540.0,540.0,540.0,540.0,10170
"Nov 06, 2025",542.65,542.65,542.65,542.65,13000
"Nov 05, 2025",565.15,565.15,565.15,565.15,21073
"Nov 04, 2025",579.89,579.89,579.89,579.89,20327
"Nov 03, 2025",583.7,583.7,583.7,583.7,41156
"Oct 31, 2025",547.68,547.68,547.68,547.68,16760
"Oct 30, 2025",542.45,542.45,542.45,542.45,51170
"Oct 29, 2025",600.97,600.97,600.97,600.97,36341
"Oct 28, 2025",567.0,567.0,567.0,567.0,3954
"Oct 27, 2025",571.29,571.29,571.29,571.29,3469
"Oct 24, 2025",577.0,577.0,577.0,577.0,6471
"Oct 23, 2025",577.0,577.0,577.0,577.0,40588
"Oct 22, 2025",586.07,586.07,586.07,586.07,16979
"Oct 21, 2025",566.25,566.25,566.25,566.25,11018
"Oct 20, 2025",572.0,572.0,572.0,572.0,1200
"Oct 17, 2025",571.82,571.82,571.82,571.82,38
"Oct 16, 2025",571.82,571.82,571.82,571.82,5035
"Oct 15, 2025",570.49,570.49,570.49,570.49,4111
"Oct 14, 2025",561.27,561.27,561.27,561.27,10663
"Oct 13, 2025",549.88,549.88,549.88,549.88,66111
"Oct 10, 2025",562.35,562.35,562.35,562.35,8783
"Oct 09, 2025",569.75,569.75,569.75,569.75,7843
"Oct 08, 2025",580.67,580.67,580.67,580.67,24817
"Oct 07, 2025",570.02,570.02,570.02,570.02,4162
"Oct 06, 2025",568.16,568.16,568.16,568.16,12339
"Oct 03, 2025",578.1,578.1,578.1,578.1,4045
"Oct 02, 2025",580.46,580.46,580.46,580.46,16082
"Oct 01, 2025",566.22,566.22,566.22,566.22,12635
"Sep 30, 2025",575.01,575.01,575.01,575.01,36488
"Sep 29, 2025",574.4,574.4,574.4,574.4,19621
"Sep 26, 2025",596.06,596.06,596.06,596.06,25232
"Sep 25, 2025",593.57,593.57,593.57,593.57,16106
"Sep 24, 2025",595.0,595.0,595.0,595.0,4955
"Sep 23, 2025",595.0,595.0,595.0,595.0,335
"Sep 22, 2025",597.99,597.99,597.99,597.99,25833
"Sep 19, 2025",594.95,594.95,594.95,594.95,5328
"Sep 18, 2025",592.61,592.61,592.61,592.61,4733
"Sep 17, 2025",583.08,583.08,583.08,583.08,10180
"Sep 16, 2025",574.74,574.74,574.74,574.74,20343
"Sep 15, 2025",581.21,581.21,581.21,581.21,136883
"Sep 12, 2025",585.32,585.32,585.32,585.32,83610
"Sep 11, 2025",600.65,600.65,600.65,600.65,136173
"Sep 10, 2025",609.99,609.99,609.99,609.99,111382
"Sep 09, 2025",603.74,603.74,603.74,603.74,16833
"Sep 08, 2025",615.71,615.71,615.71,615.71,35981
"Sep 05, 2025",601.16,601.16,601.16,601.16,162248
"Sep 04, 2025",603.36,603.36,603.36,603.36,170332
"Sep 03, 2025",602.2,602.2,602.2,602.2,141392
"Sep 02, 2025",568.83,568.83,568.83,568.83,14396
"Sep 01, 2025",574.62,574.62,574.62,574.62,778
"Aug 29, 2025",578.77,578.77,578.77,578.77,5829
"Aug 28, 2025",585.0,585.0,585.0,585.0,3810
"Aug 27, 2025",587.19,587.19,587.19,587.19,16940
"Aug 26, 2025",597.94,597.94,597.94,597.94,2013
"Aug 25, 2025",595.55,595.55,595.55,595.55,3932
"Aug 22, 2025",605.15,605.15,605.15,605.15,35211
"Aug 21, 2025",594.3,594.3,594.3,594.3,156799
"Aug 20, 2025",623.69,623.69,623.69,623.69,203053
"Aug 19, 2025",567.84,567.84,567.84,567.84,209803
"Aug 18, 2025",534.49,534.49,534.49,534.49,12817
"Aug 15, 2025",531.92,531.92,531.92,531.92,20796
"Aug 13, 2025",524.68,524.68,524.68,524.68,70388
"Aug 12, 2025",532.77,532.77,532.77,532.77,425402
"Aug 11, 2025",500.78,500.78,500.78,500.78,121469
"Aug 08, 2025",455.25,455.25,455.25,455.25,111054
"Aug 07, 2025",455.51,455.51,455.51,455.51,63180
"Aug 06, 2025",441.5,441.5,441.5,441.5,230414
"Aug 05, 2025",443.75,443.75,443.75,443.75,2302
"Aug 04, 2025",448.21,448.21,448.21,448.21,21556
"Aug 01, 2025",463.73,463.73,463.73,463.73,17844
"Jul 31, 2025",467.78,467.78,467.78,467.78,93731
"Jul 30, 2025",440.07,440.07,440.07,440.07,6907
"Jul 29, 2025",444.98,444.98,444.98,444.98,15720
"Jul 28, 2025",446.19,446.19,446.19,446.19,3538
"Jul 25, 2025",448.57,448.57,448.57,448.57,18056
"Jul 24, 2025",442.26,442.26,442.26,442.26,5275
"Jul 23, 2025",438.75,438.75,438.75,438.75,12259
"Jul 22, 2025",422.51,422.51,422.51,422.51,4189
"Jul 21, 2025",423.95,423.95,423.95,423.95,4452
"Jul 18, 2025",431.43,431.43,431.43,431.43,6610
"Jul 17, 2025",442.39,442.39,442.39,442.39,9643
"Jul 16, 2025",457.8,457.8,457.8,457.8,130400
"Jul 15, 2025",448.78,448.78,448.78,448.78,116355
"Jul 14, 2025",440.57,440.57,440.57,440.57,98737
"Jul 11, 2025",434.27,434.27,434.27,434.27,296485
"Jul 10, 2025",407.94,407.94,407.94,407.94,16723
"Jul 09, 2025",407.99,407.99,407.99,407.99,2246
"Jul 08, 2025",409.0,409.0,409.0,409.0,6522
"Jul 07, 2025",409.25,409.25,409.25,409.25,38846
"Jul 04, 2025",408.25,408.25,408.25,408.25,15134
"Jul 03, 2025",401.79,401.79,401.79,401.79,27622
"Jul 02, 2025",400.93,400.93,400.93,400.93,93381
"Jul 01, 2025",410.76,410.76,410.76,410.76,183154
"Jun 30, 2025",396.22,396.22,396.22,396.22,66467
"Jun 27, 2025",378.47,378.47,378.47,378.47,30857
"Jun 26, 2025",373.06,373.06,373.06,373.06,58293
"Jun 25, 2025",374.91,374.91,374.91,374.91,175734
"Jun 24, 2025",373.47,373.47,373.47,373.47,166274
"Jun 23, 2025",362.67,362.67,362.67,362.67,2918
"Jun 20, 2025",369.6,369.6,369.6,369.6,5560
"Jun 19, 2025",371.33,371.33,371.33,371.33,4420
"Jun 18, 2025",375.25,375.25,375.25,375.25,17950
"Jun 17, 2025",376.93,376.93,376.93,376.93,7695
"Jun 16, 2025",376.13,376.13,376.13,376.13,5261
"Jun 13, 2025",375.5,375.5,375.5,375.5,9956
"Jun 12, 2025",375.6,375.6,375.6,375.6,12173
"Jun 11, 2025",376.34,376.34,376.34,376.34,39137
"Jun 10, 2025",380.56,380.56,380.56,380.56,1638
"Jun 05, 2025",381.06,381.06,381.06,381.06,8008
"Jun 04, 2025",378.12,378.12,378.12,378.12,7973
"Jun 02, 2025",379.87,379.87,379.87,379.87,21453
"May 30, 2025",379.05,379.05,379.05,379.05,7384
"May 29, 2025",379.01,379.01,379.01,379.01,7436
"May 27, 2025",373.31,373.31,373.31,373.31,85964
"May 26, 2025",370.88,370.88,370.88,370.88,108573
"May 23, 2025",371.72,371.72,371.72,371.72,4681
"May 22, 2025",370.01,370.01,370.01,370.01,2068
"May 21, 2025",374.15,374.15,374.15,374.15,1967
"May 20, 2025",373.75,373.75,373.75,373.75,14330
"May 19, 2025",378.42,378.42,378.42,378.42,8934
"May 16, 2025",371.91,371.91,371.91,371.91,28571
"May 15, 2025",381.22,381.22,381.22,381.22,6914
"May 14, 2025",384.31,384.31,384.31,384.31,9113
"May 13, 2025",387.4,387.4,387.4,387.4,5285
"May 12, 2025",388.45,388.45,388.45,388.45,70947
"May 09, 2025",361.28,361.28,361.28,361.28,55062
"May 08, 2025",360.39,360.39,360.39,360.39,21692
"May 07, 2025",366.43,366.43,366.43,366.43,73646
"May 06, 2025",382.24,382.24,382.24,382.24,2449
"May 02, 2025",379.0,379.0,379.0,379.0,872
"Apr 30, 2025",383.21,383.21,383.21,383.21,4546
"Apr 29, 2025",387.23,387.23,387.23,387.23,10898
"Apr 28, 2025",379.15,379.15,379.15,379.15,2840
"Apr 25, 2025",383.47,383.47,383.47,383.47,7452
"Apr 24, 2025",379.01,379.01,379.01,379.01,4079
"Apr 23, 2025",391.97,391.97,391.97,391.97,55256
"Apr 22, 2025",388.0,388.0,388.0,388.0,1121
"Apr 21, 2025",390.0,390.0,390.0,390.0,2757
"Apr 18, 2025",386.84,386.84,386.84,386.84,185
"Apr 17, 2025",387.15,387.15,387.15,387.15,17765
"Apr 16, 2025",388.77,388.77,388.77,388.77,4579
"Apr 15, 2025",393.0,393.0,393.0,393.0,928
"Apr 14, 2025",389.06,389.06,389.06,389.06,8358
"Apr 11, 2025",389.22,389.22,389.22,389.22,6133
"Apr 10, 2025",395.8,395.8,395.8,395.8,56224
"Apr 09, 2025",395.68,395.68,395.68,395.68,5786
"Apr 08, 2025",389.89,389.89,389.89,389.89,1192
"Apr 07, 2025",380.44,380.44,380.44,380.44,5626
"Apr 04, 2025",395.85,395.85,395.85,395.85,12279
"Apr 03, 2025",402.42,402.42,402.42,402.42,61329
"Mar 27, 2025",388.02,388.02,388.02,388.02,17253
"Mar 26, 2025",385.05,385.05,385.05,385.05,5826
"Mar 25, 2025",388.22,388.22,388.22,388.22,4719
"Mar 24, 2025",390.07,390.07,390.07,390.07,2282
"Mar 21, 2025",398.09,398.09,398.09,398.09,4165
"Mar 20, 2025",395.0,395.0,395.0,395.0,8938
"Mar 19, 2025",394.93,394.93,394.93,394.93,37596
"Mar 18, 2025",395.18,395.18,395.18,395.18,5051
"Mar 17, 2025",394.44,394.44,394.44,394.44,5135
"Mar 16, 2025",394.13,394.13,394.13,394.13,4101
"Mar 14, 2025",394.13,394.13,394.13,394.13,4101
"Mar 13, 2025",395.78,395.78,395.78,395.78,10517
"Mar 12, 2025",399.09,399.09,399.09,399.09,28561
"Mar 11, 2025",389.74,389.74,389.74,389.74,2453
"Mar 10, 2025",389.29,389.29,389.29,389.29,3505
"Mar 07, 2025",389.05,389.05,389.05,389.05,9324
"Mar 06, 2025",398.92,398.92,398.92,398.92,8080
"Mar 05, 2025",394.74,394.74,394.74,394.74,15790
"Mar 04, 2025",403.86,403.86,403.86,403.86,12498
"Mar 03, 2025",397.85,397.85,397.85,397.85,5216
"Feb 28, 2025",394.53,394.53,394.53,394.53,22233
"Feb 27, 2025",403.72,403.72,403.72,403.72,17757
"Feb 26, 2025",400.58,400.58,400.58,400.58,11461
"Feb 25, 2025",408.99,408.99,408.99,408.99,150
"Feb 24, 2025",410.0,410.0,410.0,410.0,2006
"Feb 23, 2025",405.6,405.6,405.6,405.6,4322
"Feb 22, 2025",405.6,405.6,405.6,405.6,4322
"Feb 21, 2025",405.6,405.6,405.6,405.6,4322
"Feb 20, 2025",404.55,404.55,404.55,404.55,3775
"Feb 19, 2025",407.03,407.03,407.03,407.03,2907
"Feb 18, 2025",410.0,410.0,410.0,410.0,3800
"Feb 17, 2025",405.02,405.02,405.02,405.02,17896
"Feb 16, 2025",406.25,406.25,406.25,406.25,12103
"Feb 15, 2025",406.25,406.25,406.25,406.25,12103
"Feb 14, 2025",406.25,406.25,406.25,406.25,12103
"Feb 13, 2025",407.45,407.45,407.45,407.45,4773
"Feb 12, 2025",409.36,409.36,409.36,409.36,45209
"Feb 11, 2025",408.52,408.52,408.52,408.52,15673
"Feb 10, 2025",402.5,402.5,402.5,402.5,3557
"Feb 09, 2025",402.65,402.65,402.65,402.65,13206
