TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",91.13,91.13,91.13,91.13,1663887
"Nov 14, 2025",91.36,91.36,91.36,91.36,5478382
"Nov 13, 2025",90.47,90.47,90.47,90.47,6682960
"Nov 12, 2025",88.05,88.05,88.05,88.05,3718312
"Nov 11, 2025",88.68,88.68,88.68,88.68,4857113
"Nov 10, 2025",94.09,94.09,94.09,94.09,2891977
"Nov 07, 2025",95.43,95.43,95.43,95.43,8998435
"Nov 06, 2025",95.14,95.14,95.14,95.14,5757671
"Nov 05, 2025",93.28,93.28,93.28,93.28,4853584
"Nov 04, 2025",93.61,93.61,93.61,93.61,7284912
"Nov 03, 2025",97.8,97.8,97.8,97.8,22124816
"Oct 31, 2025",91.24,91.24,91.24,91.24,6841629
"Oct 30, 2025",88.55,88.55,88.55,88.55,7331850
"Oct 29, 2025",91.1,91.1,91.1,91.1,33532101
"Oct 28, 2025",87.71,87.71,87.71,87.71,3798050
"Oct 27, 2025",79.74,79.74,79.74,79.74,12776985
"Oct 24, 2025",72.49,72.49,72.49,72.49,24649598
"Oct 23, 2025",79.97,79.97,79.97,79.97,11214673
"Oct 22, 2025",87.91,87.91,87.91,87.91,19620831
"Oct 21, 2025",89.77,89.77,89.77,89.77,38943630
"Oct 20, 2025",99.42,99.42,99.42,99.42,20941913
"Oct 17, 2025",90.38,90.38,90.38,90.38,9022019
"Oct 16, 2025",88.73,88.73,88.73,88.73,7712319
"Oct 15, 2025",92.59,92.59,92.59,92.59,8167498
"Oct 14, 2025",95.46,95.46,95.46,95.46,27640666
"Oct 13, 2025",94.38,94.38,94.38,94.38,17956869
"Oct 10, 2025",86.79,86.79,86.79,86.79,17931411
"Oct 09, 2025",81.13,81.13,81.13,81.13,19364678
"Oct 08, 2025",73.75,73.75,73.75,73.75,2577090
"Oct 07, 2025",74.09,74.09,74.09,74.09,3231040
"Oct 06, 2025",75.73,75.73,75.73,75.73,8074524
"Oct 03, 2025",75.06,75.06,75.06,75.06,8109824
"Oct 02, 2025",74.48,74.48,74.48,74.48,8107969
"Oct 01, 2025",77.28,77.28,77.28,77.28,17314987
"Sep 30, 2025",72.6,72.6,72.6,72.6,19218167
"Sep 29, 2025",66.0,66.0,66.0,66.0,9299341
"Sep 26, 2025",65.53,65.53,65.53,65.53,20861936
"Sep 25, 2025",62.39,62.39,62.39,62.39,22146199
"Sep 24, 2025",56.72,56.72,56.72,56.72,20771470
"Sep 23, 2025",51.56,51.56,51.56,51.56,7504608
"Sep 22, 2025",50.87,50.87,50.87,50.87,7800255
"Sep 19, 2025",50.76,50.76,50.76,50.76,4721365
"Sep 18, 2025",51.53,51.53,51.53,51.53,8444655
"Sep 17, 2025",51.12,51.12,51.12,51.12,7230604
"Sep 16, 2025",51.78,51.78,51.78,51.78,20734803
"Sep 15, 2025",50.43,50.43,50.43,50.43,11331407
"Sep 12, 2025",48.69,48.69,48.69,48.69,7146953
"Sep 11, 2025",49.53,49.53,49.53,49.53,21497138
"Sep 10, 2025",48.03,48.03,48.03,48.03,9243330
"Sep 09, 2025",49.15,49.15,49.15,49.15,38995242
"Sep 08, 2025",46.06,46.06,46.06,46.06,13769812
"Sep 05, 2025",45.0,45.0,45.0,45.0,7311232
"Sep 04, 2025",44.71,44.71,44.71,44.71,2170175
"Sep 03, 2025",44.71,44.71,44.71,44.71,2460974
"Sep 02, 2025",44.82,44.82,44.82,44.82,3922592
"Sep 01, 2025",44.78,44.78,44.78,44.78,4571908
"Aug 29, 2025",44.8,44.8,44.8,44.8,9580537
"Aug 28, 2025",43.49,43.49,43.49,43.49,512860
"Aug 27, 2025",43.37,43.37,43.37,43.37,495293
"Aug 26, 2025",43.61,43.61,43.61,43.61,808338
"Aug 25, 2025",43.64,43.64,43.64,43.64,345047
"Aug 22, 2025",44.0,44.0,44.0,44.0,646432
"Aug 21, 2025",43.71,43.71,43.71,43.71,1364624
"Aug 20, 2025",44.41,44.41,44.41,44.41,784283
"Aug 19, 2025",44.34,44.34,44.34,44.34,4503359
"Aug 18, 2025",44.38,44.38,44.38,44.38,1021416
"Aug 15, 2025",44.02,44.02,44.02,44.02,2131797
"Aug 13, 2025",44.13,44.13,44.13,44.13,4138120
"Aug 12, 2025",44.53,44.53,44.53,44.53,4117440
"Aug 11, 2025",43.28,43.28,43.28,43.28,733617
"Aug 08, 2025",43.76,43.76,43.76,43.76,693882
"Aug 07, 2025",44.86,44.86,44.86,44.86,1683564
"Aug 06, 2025",45.23,45.23,45.23,45.23,1780466
"Aug 05, 2025",45.58,45.58,45.58,45.58,3068158
"Aug 04, 2025",45.64,45.64,45.64,45.64,2833016
"Aug 01, 2025",45.02,45.02,45.02,45.02,2263687
"Jul 31, 2025",45.46,45.46,45.46,45.46,1508362
"Jul 30, 2025",45.56,45.56,45.56,45.56,5200830
"Jul 29, 2025",45.89,45.89,45.89,45.89,2624770
"Jul 28, 2025",46.72,46.72,46.72,46.72,6794095
"Jul 25, 2025",45.54,45.54,45.54,45.54,2967747
