TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",63.18,63.18,63.18,63.18,1751898
"Nov 14, 2025",57.44,57.44,57.44,57.44,2871287
"Nov 13, 2025",52.22,52.22,52.22,52.22,2359868
"Nov 12, 2025",47.47,47.47,47.47,47.47,1557648
"Nov 11, 2025",43.15,43.15,43.15,43.15,434426
"Nov 10, 2025",39.23,39.23,39.23,39.23,173375
"Nov 07, 2025",35.66,35.66,35.66,35.66,1633799
"Nov 06, 2025",32.42,32.42,32.42,32.42,4603769
"Nov 05, 2025",29.47,29.47,29.47,29.47,22651
"Nov 04, 2025",26.79,26.79,26.79,26.79,8102
"Nov 03, 2025",24.35,24.35,24.35,24.35,828690
"Oct 31, 2025",22.14,22.14,22.14,22.14,189297
"Oct 30, 2025",20.13,20.13,20.13,20.13,98120
"Oct 29, 2025",18.3,18.3,18.3,18.3,37165
"Oct 28, 2025",16.64,16.64,16.64,16.64,111306
"Oct 27, 2025",15.13,15.13,15.13,15.13,487440
"Oct 24, 2025",13.75,13.75,13.75,13.75,79521
"Oct 23, 2025",12.5,12.5,12.5,12.5,2
"Oct 22, 2025",12.5,12.5,12.5,12.5,3892
"Oct 21, 2025",12.0,12.0,12.0,12.0,110579
"Oct 20, 2025",12.5,12.5,12.5,12.5,2036583
"Oct 17, 2025",12.41,12.41,12.41,12.41,2091364
"Oct 16, 2025",12.59,12.59,12.59,12.59,260646
"Oct 15, 2025",11.5,11.5,11.5,11.5,7300
"Oct 14, 2025",11.51,11.51,11.51,11.51,16343
"Oct 10, 2025",11.45,11.45,11.45,11.45,8200
"Oct 09, 2025",11.45,11.45,11.45,11.45,4097
"Oct 08, 2025",11.79,11.79,11.79,11.79,15152
"Oct 07, 2025",11.89,11.89,11.89,11.89,41764
"Oct 06, 2025",12.57,12.57,12.57,12.57,3238
"Oct 03, 2025",12.51,12.51,12.51,12.51,6150
"Oct 02, 2025",12.26,12.26,12.26,12.26,2602
"Oct 01, 2025",12.33,12.33,12.33,12.33,21786
"Sep 30, 2025",12.43,12.43,12.43,12.43,7509
"Sep 29, 2025",12.6,12.6,12.6,12.6,4220
"Sep 26, 2025",12.64,12.64,12.64,12.64,2101
"Sep 25, 2025",12.41,12.41,12.41,12.41,916
"Sep 24, 2025",12.33,12.33,12.33,12.33,12860
"Sep 23, 2025",12.38,12.38,12.38,12.38,49985
"Sep 22, 2025",12.9,12.9,12.9,12.9,1001
"Sep 19, 2025",12.98,12.98,12.98,12.98,13615
"Sep 18, 2025",12.77,12.77,12.77,12.77,14678
"Sep 17, 2025",13.0,13.0,13.0,13.0,128665
"Sep 16, 2025",12.5,12.5,12.5,12.5,28167
"Sep 15, 2025",12.75,12.75,12.75,12.75,2210
"Sep 12, 2025",12.33,12.33,12.33,12.33,34510
"Sep 11, 2025",12.9,12.9,12.9,12.9,42372
"Sep 10, 2025",12.71,12.71,12.71,12.71,88040
"Sep 09, 2025",12.75,12.75,12.75,12.75,12510
"Sep 08, 2025",13.05,13.05,13.05,13.05,2380
"Sep 05, 2025",13.0,13.0,13.0,13.0,209946
"Sep 04, 2025",13.06,13.06,13.06,13.06,507
"Sep 03, 2025",13.14,13.14,13.14,13.14,25664
"Sep 02, 2025",13.26,13.26,13.26,13.26,29491
"Sep 01, 2025",13.47,13.47,13.47,13.47,1220545
"Aug 29, 2025",13.55,13.55,13.55,13.55,12972
"Aug 28, 2025",13.84,13.84,13.84,13.84,207083
"Aug 27, 2025",13.0,13.0,13.0,13.0,101896
"Aug 26, 2025",13.1,13.1,13.1,13.1,12730
"Aug 25, 2025",13.22,13.22,13.22,13.22,1613
"Aug 22, 2025",13.72,13.72,13.72,13.72,196572
"Aug 21, 2025",13.0,13.0,13.0,13.0,121295
"Aug 20, 2025",13.03,13.03,13.03,13.03,139290
"Aug 19, 2025",13.0,13.0,13.0,13.0,105671
"Aug 18, 2025",13.21,13.21,13.21,13.21,3050
"Aug 15, 2025",12.9,12.9,12.9,12.9,401392
"Aug 13, 2025",12.4,12.4,12.4,12.4,96407
"Aug 12, 2025",13.01,13.01,13.01,13.01,20402
"Aug 11, 2025",13.01,13.01,13.01,13.01,77922
"Aug 08, 2025",13.4,13.4,13.4,13.4,307541
"Aug 07, 2025",13.75,13.75,13.75,13.75,166029
"Aug 06, 2025",13.76,13.76,13.76,13.76,149745
"Aug 05, 2025",14.0,14.0,14.0,14.0,45118
"Aug 04, 2025",14.17,14.17,14.17,14.17,192141
"Aug 01, 2025",13.5,13.5,13.5,13.5,67077
"Jul 31, 2025",13.81,13.81,13.81,13.81,52969
"Jul 30, 2025",13.96,13.96,13.96,13.96,337533
"Jul 29, 2025",14.0,14.0,14.0,14.0,296773
"Jul 28, 2025",14.47,14.47,14.47,14.47,2770528
"Jul 25, 2025",16.05,16.05,16.05,16.05,2948415
"Jul 24, 2025",14.83,14.83,14.83,14.83,1849762
"Jul 23, 2025",13.48,13.48,13.48,13.48,3235
"Jul 22, 2025",12.6,12.6,12.6,12.6,16086
"Jul 21, 2025",11.73,11.73,11.73,11.73,1003
"Jul 18, 2025",12.99,12.99,12.99,12.99,1
"Jul 17, 2025",12.99,12.99,12.99,12.99,501
"Jul 16, 2025",12.07,12.07,12.07,12.07,4000
"Jul 15, 2025",13.0,13.0,13.0,13.0,13
"Jul 14, 2025",13.0,13.0,13.0,13.0,15357
"Jul 11, 2025",13.07,13.07,13.07,13.07,7903
"Jul 09, 2025",12.0,12.0,12.0,12.0,53
"Jul 08, 2025",12.0,12.0,12.0,12.0,283
"Jul 04, 2025",12.0,12.0,12.0,12.0,11
"Jul 02, 2025",12.0,12.0,12.0,12.0,2
"Jul 01, 2025",12.0,12.0,12.0,12.0,5000
"Jun 30, 2025",12.5,12.5,12.5,12.5,1
"Jun 27, 2025",12.5,12.5,12.5,12.5,1
"Jun 26, 2025",12.5,12.5,12.5,12.5,2
"Jun 25, 2025",12.5,12.5,12.5,12.5,15700
"Jun 24, 2025",12.15,12.15,12.15,12.15,3
"Jun 20, 2025",12.15,12.15,12.15,12.15,114
"Jun 18, 2025",12.15,12.15,12.15,12.15,1436
"Jun 17, 2025",12.25,12.25,12.25,12.25,61811
"Jun 16, 2025",13.35,13.35,13.35,13.35,32205
"Jun 13, 2025",12.2,12.2,12.2,12.2,7003
"Jun 12, 2025",13.56,13.56,13.56,13.56,2
"Jun 11, 2025",13.56,13.56,13.56,13.56,3
"Jun 10, 2025",13.56,13.56,13.56,13.56,3
"Jun 04, 2025",13.56,13.56,13.56,13.56,130
"May 30, 2025",13.56,13.56,13.56,13.56,6
"May 27, 2025",13.56,13.56,13.56,13.56,160
"May 26, 2025",13.56,13.56,13.56,13.56,4800
"May 21, 2025",12.88,12.88,12.88,12.88,710
"May 20, 2025",11.71,11.71,11.71,11.71,501
"May 15, 2025",11.6,11.6,11.6,11.6,100
"May 12, 2025",11.6,11.6,11.6,11.6,1
"May 06, 2025",11.6,11.6,11.6,11.6,546
"Apr 30, 2025",12.87,12.87,12.87,12.87,1
"Apr 28, 2025",12.87,12.87,12.87,12.87,7000
"Apr 18, 2025",12.87,12.87,12.87,12.87,2706
"Apr 17, 2025",13.97,13.97,13.97,13.97,7079
"Apr 15, 2025",12.7,12.7,12.7,12.7,13
"Apr 14, 2025",12.7,12.7,12.7,12.7,12
"Apr 11, 2025",12.7,12.7,12.7,12.7,609741
"Apr 10, 2025",13.43,13.43,13.43,13.43,11050
"Apr 09, 2025",12.21,12.21,12.21,12.21,10140
"Apr 04, 2025",11.1,11.1,11.1,11.1,501
"Apr 03, 2025",11.0,11.0,11.0,11.0,3501
"Mar 27, 2025",11.92,11.92,11.92,11.92,3498
"Mar 25, 2025",10.84,10.84,10.84,10.84,4
"Mar 24, 2025",10.84,10.84,10.84,10.84,743
"Mar 17, 2025",12.0,12.0,12.0,12.0,532847
"Mar 10, 2025",11.58,11.58,11.58,11.58,1
"Feb 28, 2025",11.58,11.58,11.58,11.58,1547
"Feb 26, 2025",12.85,12.85,12.85,12.85,301
"Feb 25, 2025",12.85,12.85,12.85,12.85,5
"Feb 24, 2025",12.85,12.85,12.85,12.85,5
"Feb 23, 2025",12.85,12.85,12.85,12.85,5
"Feb 22, 2025",12.85,12.85,12.85,12.85,5
"Feb 21, 2025",12.85,12.85,12.85,12.85,5
"Feb 20, 2025",12.85,12.85,12.85,12.85,5
"Feb 19, 2025",13.0,13.0,13.0,13.0,4303
"Feb 18, 2025",13.6,13.6,13.6,13.6,525100
"Feb 17, 2025",13.6,13.6,13.6,13.6,28
"Feb 16, 2025",13.6,13.6,13.6,13.6,28
"Feb 15, 2025",13.6,13.6,13.6,13.6,28
"Feb 14, 2025",13.6,13.6,13.6,13.6,28
"Feb 13, 2025",13.6,13.6,13.6,13.6,28
"Feb 12, 2025",13.6,13.6,13.6,13.6,170
"Feb 11, 2025",13.6,13.6,13.6,13.6,170
"Feb 10, 2025",13.6,13.6,13.6,13.6,432
"Feb 09, 2025",13.6,13.6,13.6,13.6,432
"Feb 08, 2025",13.6,13.6,13.6,13.6,432
"Feb 07, 2025",13.6,13.6,13.6,13.6,432
"Feb 06, 2025",13.6,13.6,13.6,13.6,432
"Feb 05, 2025",13.6,13.6,13.6,13.6,432
"Feb 04, 2025",13.6,13.6,13.6,13.6,432
"Feb 03, 2025",13.6,13.6,13.6,13.6,432
"Feb 02, 2025",13.6,13.6,13.6,13.6,432
"Feb 01, 2025",13.6,13.6,13.6,13.6,432
"Jan 31, 2025",13.6,13.6,13.6,13.6,432
"Jan 30, 2025",13.6,13.6,13.6,13.6,4092
"Jan 29, 2025",14.74,14.74,14.74,14.74,6419
"Jan 28, 2025",13.4,13.4,13.4,13.4,7006
"Jan 27, 2025",13.4,13.4,13.4,13.4,7006
"Jan 26, 2025",12.65,12.65,12.65,12.65,2
"Jan 25, 2025",12.65,12.65,12.65,12.65,2
"Jan 24, 2025",12.65,12.65,12.65,12.65,2
"Jan 23, 2025",12.65,12.65,12.65,12.65,2
"Jan 22, 2025",12.65,12.65,12.65,12.65,78
"Jan 21, 2025",12.65,12.65,12.65,12.65,78
"Jan 20, 2025",12.65,12.65,12.65,12.65,78
"Jan 19, 2025",12.65,12.65,12.65,12.65,1200
"Jan 18, 2025",12.65,12.65,12.65,12.65,1200
"Jan 17, 2025",12.65,12.65,12.65,12.65,1200
"Jan 16, 2025",12.65,12.65,12.65,12.65,1200
"Jan 15, 2025",12.65,12.65,12.65,12.65,1200
"Jan 14, 2025",12.65,12.65,12.65,12.65,1200
"Jan 13, 2025",12.65,12.65,12.65,12.65,1200
"Jan 12, 2025",12.65,12.65,12.65,12.65,4
"Jan 11, 2025",12.65,12.65,12.65,12.65,4
"Jan 10, 2025",12.65,12.65,12.65,12.65,4
"Jan 09, 2025",12.65,12.65,12.65,12.65,690
"Jan 08, 2025",12.65,12.65,12.65,12.65,690
"Jan 07, 2025",12.65,12.65,12.65,12.65,690
"Jan 06, 2025",12.65,12.65,12.65,12.65,690
"Jan 05, 2025",12.65,12.65,12.65,12.65,690
"Jan 04, 2025",12.65,12.65,12.65,12.65,690
"Jan 03, 2025",12.65,12.65,12.65,12.65,690
"Jan 02, 2025",12.5,12.5,12.5,12.5,82
"Jan 01, 2025",12.5,12.5,12.5,12.5,82
"Dec 31, 2024",12.5,12.5,12.5,12.5,342
"Dec 30, 2024",12.5,12.5,12.5,12.5,342
"Dec 29, 2024",12.5,12.5,12.5,12.5,46556
"Dec 28, 2024",12.5,12.5,12.5,12.5,46556
"Dec 27, 2024",12.5,12.5,12.5,12.5,46556
"Dec 26, 2024",11.55,11.55,11.55,11.55,4750
"Dec 25, 2024",11.55,11.55,11.55,11.55,4750
"Dec 24, 2024",11.55,11.55,11.55,11.55,4750
"Dec 23, 2024",10.5,10.5,10.5,10.5,2010
"Dec 22, 2024",9.55,9.55,9.55,9.55,3000
"Dec 21, 2024",9.55,9.55,9.55,9.55,3000
"Dec 20, 2024",9.55,9.55,9.55,9.55,3000
"Dec 19, 2024",9.55,9.55,9.55,9.55,3000
"Dec 18, 2024",10.55,10.55,10.55,10.55,2673
"Dec 17, 2024",11.64,11.64,11.64,11.64,581
"Dec 16, 2024",11.64,11.64,11.64,11.64,581
"Dec 15, 2024",12.46,12.46,12.46,12.46,12300
"Dec 14, 2024",12.46,12.46,12.46,12.46,12300
"Dec 13, 2024",12.46,12.46,12.46,12.46,12300
"Dec 12, 2024",11.91,11.91,11.91,11.91,32
"Dec 11, 2024",11.91,11.91,11.91,11.91,32
"Dec 10, 2024",11.91,11.91,11.91,11.91,1600
"Dec 09, 2024",11.0,11.0,11.0,11.0,10468
"Dec 08, 2024",11.05,11.05,11.05,11.05,49
"Dec 07, 2024",11.05,11.05,11.05,11.05,49
"Dec 06, 2024",11.05,11.05,11.05,11.05,49
"Dec 05, 2024",11.05,11.05,11.05,11.05,49
"Dec 04, 2024",11.05,11.05,11.05,11.05,649
"Dec 03, 2024",11.99,11.99,11.99,11.99,13
"Dec 02, 2024",11.99,11.99,11.99,11.99,1
"Dec 01, 2024",11.99,11.99,11.99,11.99,14
"Nov 30, 2024",11.99,11.99,11.99,11.99,14
"Nov 29, 2024",11.99,11.99,11.99,11.99,14
"Nov 28, 2024",11.99,11.99,11.99,11.99,1000
"Nov 27, 2024",11.0,11.0,11.0,11.0,1406
"Nov 26, 2024",10.89,10.89,10.89,10.89,700000
"Nov 25, 2024",12.0,12.0,12.0,12.0,100
"Nov 24, 2024",12.0,12.0,12.0,12.0,303078
"Nov 23, 2024",12.0,12.0,12.0,12.0,303078
"Nov 22, 2024",12.0,12.0,12.0,12.0,303078
"Nov 21, 2024",11.74,11.74,11.74,11.74,423002
"Nov 20, 2024",10.81,10.81,10.81,10.81,807000
"Nov 19, 2024",10.81,10.81,10.81,10.81,6
"Nov 18, 2024",10.81,10.81,10.81,10.81,6
"Nov 17, 2024",10.81,10.81,10.81,10.81,6
"Nov 16, 2024",10.81,10.81,10.81,10.81,6
"Nov 15, 2024",10.81,10.81,10.81,10.81,6
"Nov 14, 2024",10.81,10.81,10.81,10.81,4
"Nov 13, 2024",10.81,10.81,10.81,10.81,4
"Nov 12, 2024",10.81,10.81,10.81,10.81,4
"Nov 11, 2024",10.81,10.81,10.81,10.81,4
"Nov 10, 2024",10.81,10.81,10.81,10.81,4
"Nov 09, 2024",10.81,10.81,10.81,10.81,4
"Nov 08, 2024",10.81,10.81,10.81,10.81,4
"Nov 07, 2024",10.81,10.81,10.81,10.81,87
"Nov 06, 2024",10.81,10.81,10.81,10.81,1552
"Nov 05, 2024",12.0,12.0,12.0,12.0,5
"Nov 04, 2024",12.5,12.5,12.5,12.5,10
"Nov 03, 2024",12.5,12.5,12.5,12.5,10
"Nov 02, 2024",12.5,12.5,12.5,12.5,10
"Nov 01, 2024",12.5,12.5,12.5,12.5,10
"Oct 31, 2024",12.5,12.5,12.5,12.5,13
"Oct 30, 2024",12.5,12.5,12.5,12.5,34
"Oct 29, 2024",12.5,12.5,12.5,12.5,11
"Oct 28, 2024",12.5,12.5,12.5,12.5,1311
"Oct 27, 2024",12.66,12.66,12.66,12.66,1025
"Oct 26, 2024",12.66,12.66,12.66,12.66,1025
"Oct 25, 2024",12.66,12.66,12.66,12.66,1025
"Oct 24, 2024",14.04,14.04,14.04,14.04,2016
"Oct 23, 2024",15.59,15.59,15.59,15.59,1531
"Oct 22, 2024",17.32,17.32,17.32,17.32,6605
"Oct 21, 2024",18.49,18.49,18.49,18.49,501
"Oct 20, 2024",17.01,17.01,17.01,17.01,1021
"Oct 19, 2024",17.01,17.01,17.01,17.01,1021
"Oct 18, 2024",17.01,17.01,17.01,17.01,1021
"Oct 17, 2024",15.5,15.5,15.5,15.5,105226
"Oct 16, 2024",14.41,14.41,14.41,14.41,2000
"Oct 15, 2024",13.1,13.1,13.1,13.1,4
"Oct 14, 2024",13.1,13.1,13.1,13.1,4
"Oct 13, 2024",13.1,13.1,13.1,13.1,4
"Oct 12, 2024",13.1,13.1,13.1,13.1,4
"Oct 11, 2024",13.1,13.1,13.1,13.1,4
"Oct 10, 2024",13.1,13.1,13.1,13.1,2226
"Oct 09, 2024",13.1,13.1,13.1,13.1,2226
"Oct 08, 2024",12.0,12.0,12.0,12.0,2
"Oct 07, 2024",12.0,12.0,12.0,12.0,18
"Oct 06, 2024",12.0,12.0,12.0,12.0,291
"Oct 05, 2024",12.0,12.0,12.0,12.0,291
"Oct 04, 2024",12.0,12.0,12.0,12.0,291
"Oct 03, 2024",12.0,12.0,12.0,12.0,212
"Oct 02, 2024",12.0,12.0,12.0,12.0,50303
"Oct 01, 2024",12.33,12.33,12.33,12.33,383
"Sep 30, 2024",12.33,12.33,12.33,12.33,1331
"Sep 29, 2024",12.11,12.11,12.11,12.11,47070
"Sep 28, 2024",12.11,12.11,12.11,12.11,47070
"Sep 27, 2024",12.11,12.11,12.11,12.11,47070
"Sep 26, 2024",11.01,11.01,11.01,11.01,5875
"Sep 25, 2024",10.89,10.89,10.89,10.89,7
"Sep 24, 2024",10.89,10.89,10.89,10.89,7
"Sep 23, 2024",10.89,10.89,10.89,10.89,7
"Sep 22, 2024",10.89,10.89,10.89,10.89,7
"Sep 21, 2024",10.89,10.89,10.89,10.89,7
"Sep 20, 2024",10.89,10.89,10.89,10.89,7
"Sep 19, 2024",10.89,10.89,10.89,10.89,7
"Sep 18, 2024",10.89,10.89,10.89,10.89,2
"Sep 17, 2024",10.89,10.89,10.89,10.89,1482
"Sep 16, 2024",10.89,10.89,10.89,10.89,1482
"Sep 15, 2024",11.98,11.98,11.98,11.98,100
"Sep 14, 2024",11.98,11.98,11.98,11.98,100
"Sep 13, 2024",11.98,11.98,11.98,11.98,100
"Sep 12, 2024",11.98,11.98,11.98,11.98,100
"Sep 11, 2024",11.98,11.98,11.98,11.98,1
"Sep 10, 2024",11.98,11.98,11.98,11.98,1
"Sep 09, 2024",11.98,11.98,11.98,11.98,1
"Sep 08, 2024",11.98,11.98,11.98,11.98,1
"Sep 07, 2024",11.98,11.98,11.98,11.98,1
"Sep 06, 2024",11.98,11.98,11.98,11.98,1
"Sep 05, 2024",11.98,11.98,11.98,11.98,1
"Sep 04, 2024",11.98,11.98,11.98,11.98,1
"Sep 03, 2024",11.98,11.98,11.98,11.98,1
"Sep 02, 2024",11.98,11.98,11.98,11.98,1020
"Sep 01, 2024",11.98,11.98,11.98,11.98,1020
"Aug 31, 2024",11.98,11.98,11.98,11.98,1020
"Aug 30, 2024",11.98,11.98,11.98,11.98,1020
"Aug 29, 2024",11.0,11.0,11.0,11.0,5000
"Aug 28, 2024",12.08,12.08,12.08,12.08,1
"Aug 27, 2024",12.08,12.08,12.08,12.08,2107
"Aug 26, 2024",11.99,11.99,11.99,11.99,114
"Aug 25, 2024",11.99,11.99,11.99,11.99,30
"Aug 24, 2024",11.99,11.99,11.99,11.99,30
"Aug 23, 2024",11.99,11.99,11.99,11.99,30
"Aug 22, 2024",11.99,11.99,11.99,11.99,47285
"Aug 21, 2024",11.99,11.99,11.99,11.99,3100
"Aug 20, 2024",11.0,11.0,11.0,11.0,63800
"Aug 19, 2024",10.0,10.0,10.0,10.0,5000
"Aug 18, 2024",10.64,10.64,10.64,10.64,2070
"Aug 17, 2024",10.64,10.64,10.64,10.64,2070
"Aug 16, 2024",10.64,10.64,10.64,10.64,2070
"Aug 15, 2024",10.64,10.64,10.64,10.64,2070
"Aug 14, 2024",10.64,10.64,10.64,10.64,2070
"Aug 13, 2024",10.64,10.64,10.64,10.64,2070
"Aug 12, 2024",10.64,10.64,10.64,10.64,2070
"Aug 11, 2024",8.64,8.64,8.64,8.64,200
"Aug 10, 2024",8.64,8.64,8.64,8.64,200
