TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",14.35,14.35,14.35,14.35,1715
"Nov 14, 2025",14.91,14.91,14.91,14.91,2870
"Nov 13, 2025",14.8,14.8,14.8,14.8,13210
"Nov 12, 2025",14.63,14.63,14.63,14.63,68652
"Nov 11, 2025",14.46,14.46,14.46,14.46,16425
"Nov 10, 2025",14.11,14.11,14.11,14.11,23364
"Nov 07, 2025",14.46,14.46,14.46,14.46,13762
"Nov 06, 2025",14.5,14.5,14.5,14.5,15117
"Nov 05, 2025",14.5,14.5,14.5,14.5,4961
"Nov 04, 2025",14.19,14.19,14.19,14.19,8213
"Nov 03, 2025",14.92,14.92,14.92,14.92,19427
"Oct 31, 2025",15.28,15.28,15.28,15.28,3475
"Oct 30, 2025",14.81,14.81,14.81,14.81,28570
"Oct 29, 2025",14.58,14.58,14.58,14.58,25000
"Oct 28, 2025",15.54,15.54,15.54,15.54,44632
"Oct 27, 2025",16.33,16.33,16.33,16.33,547003
"Oct 24, 2025",17.44,17.44,17.44,17.44,157515
"Oct 23, 2025",19.38,19.38,19.38,19.38,115517
"Oct 22, 2025",21.53,21.53,21.53,21.53,641642
"Oct 21, 2025",19.59,19.59,19.59,19.59,283233
"Oct 20, 2025",17.81,17.81,17.81,17.81,84243
"Oct 17, 2025",16.19,16.19,16.19,16.19,147540
"Oct 16, 2025",14.88,14.88,14.88,14.88,170543
"Oct 15, 2025",13.59,13.59,13.59,13.59,31221
"Oct 14, 2025",12.4,12.4,12.4,12.4,14
"Oct 13, 2025",12.4,12.4,12.4,12.4,17148
"Oct 09, 2025",13.59,13.59,13.59,13.59,1000
"Oct 08, 2025",13.46,13.46,13.46,13.46,19830
"Oct 07, 2025",13.12,13.12,13.12,13.12,174341
"Oct 06, 2025",13.92,13.92,13.92,13.92,153131
"Oct 03, 2025",12.67,12.67,12.67,12.67,7720
"Oct 02, 2025",12.5,12.5,12.5,12.5,103775
"Oct 01, 2025",12.0,12.0,12.0,12.0,16152
"Sep 30, 2025",13.12,13.12,13.12,13.12,2020
"Sep 29, 2025",12.15,12.15,12.15,12.15,203
"Sep 26, 2025",12.15,12.15,12.15,12.15,1500
"Sep 25, 2025",13.3,13.3,13.3,13.3,3100
"Sep 24, 2025",12.73,12.73,12.73,12.73,52055
"Sep 23, 2025",13.0,13.0,13.0,13.0,23101
"Sep 22, 2025",13.08,13.08,13.08,13.08,10448
"Sep 19, 2025",13.03,13.03,13.03,13.03,72000
"Sep 18, 2025",13.5,13.5,13.5,13.5,17000
"Sep 16, 2025",13.0,13.0,13.0,13.0,2109
"Sep 15, 2025",12.2,12.2,12.2,12.2,102000
"Sep 11, 2025",12.9,12.9,12.9,12.9,1006
"Sep 10, 2025",12.8,12.8,12.8,12.8,6903
"Sep 09, 2025",13.01,13.01,13.01,13.01,6100
"Sep 05, 2025",13.2,13.2,13.2,13.2,1485
"Sep 03, 2025",13.21,13.21,13.21,13.21,2471
"Sep 02, 2025",13.16,13.16,13.16,13.16,793
"Sep 01, 2025",12.81,12.81,12.81,12.81,3983
"Aug 29, 2025",13.0,13.0,13.0,13.0,3005
"Aug 28, 2025",13.45,13.45,13.45,13.45,9515
"Aug 27, 2025",12.68,12.68,12.68,12.68,440
"Aug 26, 2025",12.68,12.68,12.68,12.68,2110
"Aug 25, 2025",12.5,12.5,12.5,12.5,3053
"Aug 22, 2025",12.2,12.2,12.2,12.2,346
"Aug 21, 2025",12.2,12.2,12.2,12.2,1104
"Aug 20, 2025",11.73,11.73,11.73,11.73,1666
"Aug 19, 2025",12.0,12.0,12.0,12.0,403
"Aug 18, 2025",12.0,12.0,12.0,12.0,1671
"Aug 15, 2025",12.0,12.0,12.0,12.0,9301
"Aug 13, 2025",11.99,11.99,11.99,11.99,2627
"Aug 12, 2025",11.4,11.4,11.4,11.4,6038
"Aug 11, 2025",11.11,11.11,11.11,11.11,5050
"Aug 08, 2025",11.5,11.5,11.5,11.5,2007
"Aug 07, 2025",11.75,11.75,11.75,11.75,3
"Aug 06, 2025",11.75,11.75,11.75,11.75,10
"Aug 05, 2025",11.75,11.75,11.75,11.75,1758
"Aug 04, 2025",11.98,11.98,11.98,11.98,502
"Aug 01, 2025",11.26,11.26,11.26,11.26,200
"Jul 31, 2025",11.26,11.26,11.26,11.26,52
"Jul 30, 2025",11.26,11.26,11.26,11.26,2227
"Jul 29, 2025",12.0,12.0,12.0,12.0,47039
"Jul 28, 2025",11.54,11.54,11.54,11.54,3476
"Jul 25, 2025",11.24,11.24,11.24,11.24,14
"Jul 24, 2025",11.24,11.24,11.24,11.24,10307
"Jul 23, 2025",10.49,10.49,10.49,10.49,13141
"Jul 22, 2025",10.99,10.99,10.99,10.99,11498
"Jul 21, 2025",10.0,10.0,10.0,10.0,241
"Jul 18, 2025",10.0,10.0,10.0,10.0,14124
"Jul 17, 2025",11.0,11.0,11.0,11.0,1717
"Jul 16, 2025",10.97,10.97,10.97,10.97,22745
"Jul 15, 2025",10.0,10.0,10.0,10.0,4977
"Jul 14, 2025",10.12,10.12,10.12,10.12,15876
