TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",373.52,373.52,373.52,373.52,530487
"Nov 14, 2025",376.14,376.14,376.14,376.14,421440
"Nov 13, 2025",372.04,372.04,372.04,372.04,272255
"Nov 12, 2025",371.01,371.01,371.01,371.01,223070
"Nov 11, 2025",369.13,369.13,369.13,369.13,1434105
"Nov 10, 2025",373.34,373.34,373.34,373.34,475435
"Nov 07, 2025",376.35,376.35,376.35,376.35,917817
"Nov 06, 2025",373.02,373.02,373.02,373.02,226204
"Nov 05, 2025",375.66,375.66,375.66,375.66,1050052
"Nov 04, 2025",377.38,377.38,377.38,377.38,603055
"Nov 03, 2025",380.03,380.03,380.03,380.03,884657
"Oct 31, 2025",384.87,384.87,384.87,384.87,1989479
"Oct 30, 2025",360.94,360.94,360.94,360.94,600391
"Oct 29, 2025",365.26,365.26,365.26,365.26,461895
"Oct 28, 2025",369.93,369.93,369.93,369.93,429566
"Oct 27, 2025",373.34,373.34,373.34,373.34,517756
"Oct 24, 2025",376.67,376.67,376.67,376.67,405190
"Oct 23, 2025",382.93,382.93,382.93,382.93,704295
"Oct 22, 2025",389.95,389.95,389.95,389.95,1646534
"Oct 21, 2025",394.33,394.33,394.33,394.33,1482326
"Oct 20, 2025",395.65,395.65,395.65,395.65,1517673
"Oct 17, 2025",387.03,387.03,387.03,387.03,516316
"Oct 16, 2025",389.67,389.67,389.67,389.67,1438265
"Oct 15, 2025",387.81,387.81,387.81,387.81,3125577
"Oct 14, 2025",391.37,391.37,391.37,391.37,1226376
"Oct 13, 2025",374.06,374.06,374.06,374.06,1704002
"Oct 10, 2025",376.09,376.09,376.09,376.09,899169
"Oct 09, 2025",377.95,377.95,377.95,377.95,910277
"Oct 08, 2025",382.8,382.8,382.8,382.8,1853359
"Oct 07, 2025",395.85,395.85,395.85,395.85,1245260
"Oct 06, 2025",401.29,401.29,401.29,401.29,1241178
"Oct 03, 2025",403.98,403.98,403.98,403.98,3195381
"Oct 02, 2025",397.51,397.51,397.51,397.51,1829417
"Oct 01, 2025",385.62,385.62,385.62,385.62,801293
"Sep 30, 2025",386.06,386.06,386.06,386.06,3302128
"Sep 29, 2025",375.27,375.27,375.27,375.27,1468862
"Sep 26, 2025",371.77,371.77,371.77,371.77,2718865
"Sep 25, 2025",360.89,360.89,360.89,360.89,814442
"Sep 24, 2025",363.09,363.09,363.09,363.09,2356481
"Sep 23, 2025",359.8,359.8,359.8,359.8,2865577
"Sep 22, 2025",351.83,351.83,351.83,351.83,1147898
"Sep 19, 2025",360.84,360.84,360.84,360.84,1399327
"Sep 18, 2025",368.61,368.61,368.61,368.61,571248
"Sep 17, 2025",365.81,365.81,365.81,365.81,287886
"Sep 16, 2025",367.1,367.1,367.1,367.1,1238767
"Sep 15, 2025",366.2,366.2,366.2,366.2,472944
"Sep 12, 2025",363.06,363.06,363.06,363.06,1468630
"Sep 11, 2025",374.97,374.97,374.97,374.97,446283
"Sep 10, 2025",375.52,375.52,375.52,375.52,986354
"Sep 09, 2025",378.58,378.58,378.58,378.58,1335407
"Sep 08, 2025",377.44,377.44,377.44,377.44,1191553
"Sep 05, 2025",382.38,382.38,382.38,382.38,893174
"Sep 04, 2025",384.19,384.19,384.19,384.19,655211
"Sep 03, 2025",383.69,383.69,383.69,383.69,863714
"Sep 02, 2025",382.15,382.15,382.15,382.15,367428
"Sep 01, 2025",380.19,380.19,380.19,380.19,508902
"Aug 29, 2025",380.84,380.84,380.84,380.84,1129866
"Aug 28, 2025",381.78,381.78,381.78,381.78,449342
"Aug 27, 2025",380.22,380.22,380.22,380.22,529210
"Aug 26, 2025",379.92,379.92,379.92,379.92,533252
"Aug 25, 2025",381.76,381.76,381.76,381.76,237136
"Aug 22, 2025",382.33,382.33,382.33,382.33,417219
"Aug 21, 2025",381.23,381.23,381.23,381.23,726587
"Aug 20, 2025",384.02,384.02,384.02,384.02,500917
"Aug 19, 2025",385.44,385.44,385.44,385.44,2697339
"Aug 18, 2025",377.89,377.89,377.89,377.89,600056
"Aug 15, 2025",374.52,374.52,374.52,374.52,404946
"Aug 13, 2025",379.61,379.61,379.61,379.61,691690
"Aug 12, 2025",381.39,381.39,381.39,381.39,297094
"Aug 11, 2025",382.62,382.62,382.62,382.62,737613
"Aug 08, 2025",381.14,381.14,381.14,381.14,677736
"Aug 07, 2025",380.78,380.78,380.78,380.78,1436336
"Aug 06, 2025",378.64,378.64,378.64,378.64,2359824
"Aug 05, 2025",371.82,371.82,371.82,371.82,975813
"Aug 04, 2025",368.03,368.03,368.03,368.03,800264
"Aug 01, 2025",368.56,368.56,368.56,368.56,563189
"Jul 31, 2025",366.68,366.68,366.68,366.68,997268
"Jul 30, 2025",365.85,365.85,365.85,365.85,1451582
"Jul 29, 2025",358.39,358.39,358.39,358.39,2194506
"Jul 28, 2025",364.95,364.95,364.95,364.95,1348301
"Jul 25, 2025",369.37,369.37,369.37,369.37,1477082
"Jul 24, 2025",366.75,366.75,366.75,366.75,1139833
"Jul 23, 2025",366.09,366.09,366.09,366.09,1067686
"Jul 22, 2025",366.02,366.02,366.02,366.02,1895384
"Jul 21, 2025",369.52,369.52,369.52,369.52,697674
"Jul 18, 2025",373.48,373.48,373.48,373.48,2788781
"Jul 17, 2025",373.1,373.1,373.1,373.1,1937340
"Jul 16, 2025",362.88,362.88,362.88,362.88,2562688
"Jul 15, 2025",370.06,370.06,370.06,370.06,4612685
"Jul 14, 2025",360.34,360.34,360.34,360.34,3934746
"Jul 11, 2025",341.71,341.71,341.71,341.71,6871072
"Jul 10, 2025",333.69,333.69,333.69,333.69,1555566
"Jul 09, 2025",330.09,330.09,330.09,330.09,1098739
"Jul 08, 2025",330.04,330.04,330.04,330.04,3515444
"Jul 07, 2025",329.07,329.07,329.07,329.07,5204344
"Jul 04, 2025",327.49,327.49,327.49,327.49,3748255
"Jul 03, 2025",309.84,309.84,309.84,309.84,2884914
"Jul 02, 2025",305.79,305.79,305.79,305.79,9197607
"Jul 01, 2025",289.82,289.82,289.82,289.82,4188933
"Jun 30, 2025",275.95,275.95,275.95,275.95,1848550
"Jun 27, 2025",272.99,272.99,272.99,272.99,3773073
"Jun 26, 2025",270.67,270.67,270.67,270.67,2312353
"Jun 25, 2025",271.09,271.09,271.09,271.09,1719096
"Jun 24, 2025",273.04,273.04,273.04,273.04,4642454
"Jun 23, 2025",261.81,261.81,261.81,261.81,3805211
"Jun 20, 2025",524.19,524.19,524.19,524.19,718562
"Jun 19, 2025",521.4,521.4,521.4,521.4,381538
"Jun 18, 2025",515.91,515.91,515.91,515.91,638125
"Jun 17, 2025",521.13,521.13,521.13,521.13,1375285
"Jun 16, 2025",516.46,516.46,516.46,516.46,596172
"Jun 13, 2025",517.63,517.63,517.63,517.63,1156413
"Jun 12, 2025",520.2,520.2,520.2,520.2,965451
"Jun 11, 2025",515.77,515.77,515.77,515.77,1854149
"Jun 10, 2025",513.05,513.05,513.05,513.05,1246865
"Jun 05, 2025",513.26,513.26,513.26,513.26,805913
"Jun 04, 2025",513.15,513.15,513.15,513.15,799020
"Jun 02, 2025",509.0,509.0,509.0,509.0,380916
"May 30, 2025",509.6,509.6,509.6,509.6,550714
"May 29, 2025",510.78,510.78,510.78,510.78,782913
"May 27, 2025",504.79,504.79,504.79,504.79,1020483
"May 26, 2025",513.95,513.95,513.95,513.95,253548
"May 23, 2025",516.57,516.57,516.57,516.57,351373
"May 22, 2025",516.07,516.07,516.07,516.07,976394
"May 21, 2025",515.74,515.74,515.74,515.74,766793
"May 20, 2025",509.51,509.51,509.51,509.51,185440
"May 19, 2025",515.57,515.57,515.57,515.57,428531
"May 16, 2025",518.79,518.79,518.79,518.79,1468869
"May 15, 2025",515.46,515.46,515.46,515.46,1753578
"May 14, 2025",499.83,499.83,499.83,499.83,2205841
"May 13, 2025",495.26,495.26,495.26,495.26,2054083
"May 12, 2025",501.44,501.44,501.44,501.44,378056
"May 09, 2025",455.85,455.85,455.85,455.85,2542931
"May 08, 2025",448.05,448.05,448.05,448.05,2983445
"May 07, 2025",477.84,477.84,477.84,477.84,2017389
"May 06, 2025",490.61,490.61,490.61,490.61,1609391
"May 02, 2025",493.0,493.0,493.0,493.0,1251726
"Apr 30, 2025",461.04,461.04,461.04,461.04,5533339
"Apr 29, 2025",475.13,475.13,475.13,475.13,2716568
"Apr 28, 2025",480.28,480.28,480.28,480.28,1181100
"Apr 25, 2025",507.77,507.77,507.77,507.77,838859
"Apr 24, 2025",511.52,511.52,511.52,511.52,1395244
"Apr 23, 2025",518.74,518.74,518.74,518.74,1084032
"Apr 22, 2025",542.99,542.99,542.99,542.99,451288
"Apr 21, 2025",552.11,552.11,552.11,552.11,2677984
"Apr 18, 2025",542.77,542.77,542.77,542.77,3976638
"Apr 17, 2025",495.0,495.0,495.0,495.0,2460903
"Apr 16, 2025",496.5,496.5,496.5,496.5,3506106
"Apr 15, 2025",477.2,477.2,477.2,477.2,1039529
"Apr 14, 2025",472.64,472.64,472.64,472.64,1413079
"Apr 11, 2025",441.74,441.74,441.74,441.74,1117598
"Apr 10, 2025",457.92,457.92,457.92,457.92,1301134
"Apr 09, 2025",451.0,451.0,451.0,451.0,671384
"Apr 08, 2025",467.85,467.85,467.85,467.85,753742
"Apr 07, 2025",476.93,476.93,476.93,476.93,3178664
"Apr 04, 2025",482.18,482.18,482.18,482.18,5855977
"Apr 03, 2025",444.59,444.59,444.59,444.59,1414936
"Mar 27, 2025",410.89,410.89,410.89,410.89,554546
"Mar 26, 2025",400.02,400.02,400.02,400.02,1608096
"Mar 25, 2025",378.14,378.14,378.14,378.14,430282
"Mar 24, 2025",381.07,381.07,381.07,381.07,222961
"Mar 21, 2025",382.43,382.43,382.43,382.43,255577
"Mar 20, 2025",384.81,384.81,384.81,384.81,273795
"Mar 19, 2025",387.54,387.54,387.54,387.54,671046
"Mar 18, 2025",385.9,385.9,385.9,385.9,1001456
"Mar 17, 2025",387.15,387.15,387.15,387.15,97682
"Mar 16, 2025",386.13,386.13,386.13,386.13,489766
"Mar 14, 2025",386.13,386.13,386.13,386.13,489766
"Mar 13, 2025",386.17,386.17,386.17,386.17,426948
"Mar 12, 2025",386.0,386.0,386.0,386.0,323480
"Mar 11, 2025",387.27,387.27,387.27,387.27,1390416
"Mar 10, 2025",403.3,403.3,403.3,403.3,825041
"Mar 07, 2025",395.47,395.47,395.47,395.47,945838
"Mar 06, 2025",395.89,395.89,395.89,395.89,374154
"Mar 05, 2025",394.52,394.52,394.52,394.52,477719
"Mar 04, 2025",396.75,396.75,396.75,396.75,136560
"Mar 03, 2025",390.87,390.87,390.87,390.87,1064472
"Feb 28, 2025",399.46,399.46,399.46,399.46,199390
"Feb 27, 2025",401.0,401.0,401.0,401.0,343451
"Feb 26, 2025",399.02,399.02,399.02,399.02,302616
"Feb 25, 2025",402.0,402.0,402.0,402.0,71724
"Feb 24, 2025",401.81,401.81,401.81,401.81,470254
"Feb 23, 2025",395.0,395.0,395.0,395.0,103200
"Feb 22, 2025",395.0,395.0,395.0,395.0,103200
"Feb 21, 2025",395.0,395.0,395.0,395.0,103200
"Feb 20, 2025",397.26,397.26,397.26,397.26,447297
"Feb 19, 2025",395.29,395.29,395.29,395.29,3036988
"Feb 18, 2025",414.56,414.56,414.56,414.56,389904
"Feb 17, 2025",411.41,411.41,411.41,411.41,545470
"Feb 16, 2025",408.56,408.56,408.56,408.56,68715
"Feb 15, 2025",408.56,408.56,408.56,408.56,68715
"Feb 14, 2025",408.56,408.56,408.56,408.56,68715
"Feb 13, 2025",408.38,408.38,408.38,408.38,235627
