TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Oct 9, 2020",12.97,13.24,12.97,13.24,6000
"Oct 8, 2020",0.0,13.0,13.0,13.0,0
"Oct 7, 2020",12.9,13.06,12.9,12.94,752500
"Oct 6, 2020",12.75,12.75,12.75,12.75,500
"Oct 5, 2020",12.97,12.97,12.77,12.85,6500
"Oct 2, 2020",13.05,13.05,13.05,13.05,1000
"Sep 30, 2020",0.0,13.05,13.05,13.05,0
"Sep 29, 2020",13.0,13.0,13.0,13.0,500
"Sep 28, 2020",13.2,13.39,13.13,13.13,3500
"Sep 25, 2020",13.29,13.29,13.29,13.29,500
"Sep 22, 2020",13.3,13.3,13.3,13.3,500
"Sep 21, 2020",13.39,13.45,13.39,13.45,1000
"Sep 17, 2020",0.0,13.44,13.44,13.44,0
"Sep 15, 2020",13.44,13.44,13.44,13.44,5000
"Sep 14, 2020",13.45,13.45,13.45,13.45,2000
"Sep 11, 2020",13.25,13.25,13.25,13.25,500
"Sep 10, 2020",13.28,13.28,13.25,13.25,19500
"Sep 8, 2020",13.15,13.29,13.1,13.1,3000
"Sep 7, 2020",13.05,13.28,13.05,13.28,2000
"Sep 3, 2020",13.3,13.3,13.3,13.3,3500
"Sep 2, 2020",13.27,13.27,13.27,13.27,3000
"Sep 1, 2020",13.18,13.18,13.18,13.18,1000
"Aug 31, 2020",13.24,13.24,13.24,13.24,2500
"Aug 28, 2020",13.24,13.24,13.24,13.24,1000
"Aug 27, 2020",13.07,13.24,13.07,13.07,8500
"Aug 26, 2020",12.92,12.94,12.92,12.94,27500
"Aug 24, 2020",12.63,12.82,12.63,12.63,28500
"Aug 20, 2020",12.8,12.99,12.66,12.71,3000
"Aug 19, 2020",12.98,12.98,12.8,12.98,1500
"Aug 18, 2020",13.05,13.05,12.98,12.98,5000
"Aug 17, 2020",13.29,13.29,12.96,12.98,34500
"Aug 13, 2020",13.3,13.3,13.2,13.3,55000
"Aug 12, 2020",13.52,13.61,13.5,13.59,50500
"Aug 11, 2020",13.27,13.27,13.27,13.27,500
"Aug 10, 2020",13.0,13.08,13.0,13.08,1500
"Aug 7, 2020",13.22,13.3,13.22,13.3,28000
"Aug 6, 2020",13.22,13.22,13.19,13.22,28500
"Aug 5, 2020",13.26,13.26,13.08,13.08,10500
"Aug 4, 2020",13.28,13.28,13.22,13.22,12000
"Aug 3, 2020",0.0,12.96,12.96,12.96,0
"Jul 30, 2020",12.91,12.91,12.91,12.91,500
"Jul 29, 2020",12.9,12.95,12.9,12.95,24000
"Jul 28, 2020",12.9,12.9,12.9,12.9,500
"Jul 27, 2020",12.5,12.7,12.5,12.7,5500
"Jul 24, 2020",12.24,12.4,12.24,12.4,2000
"Jul 23, 2020",12.49,12.49,12.49,12.49,1500
"Jul 21, 2020",12.48,12.48,12.48,12.48,500
"Jul 20, 2020",12.19,12.3,12.19,12.3,2000
"Jul 17, 2020",12.07,12.09,12.06,12.06,15000
"Jul 16, 2020",12.15,12.21,12.07,12.07,11000
"Jul 15, 2020",12.15,12.15,11.98,12.0,16500
"Jul 13, 2020",11.98,12.1,11.98,12.1,2500
"Jul 10, 2020",11.97,11.99,11.87,11.87,9000
"Jul 9, 2020",11.76,11.85,11.76,11.85,4500
"Jul 8, 2020",11.63,11.73,11.63,11.73,5500
"Jul 7, 2020",11.82,11.82,11.59,11.59,15500
"Jul 6, 2020",11.73,11.76,11.73,11.76,1000
"Jul 2, 2020",11.65,11.65,11.65,11.65,500
"Jul 1, 2020",11.6,11.6,11.6,11.6,2500
"Jun 30, 2020",11.42,11.42,11.42,11.42,1000
