TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",6.37,6.37,6.37,6.37,58473
"Nov 14, 2025",6.52,6.52,6.52,6.52,70343
"Nov 13, 2025",6.36,6.36,6.36,6.36,124015
"Nov 12, 2025",6.54,6.54,6.54,6.54,421721
"Nov 11, 2025",6.7,6.7,6.7,6.7,166263
"Nov 10, 2025",6.84,6.84,6.84,6.84,485258
"Nov 07, 2025",7.02,7.02,7.02,7.02,285916
"Nov 06, 2025",6.83,6.83,6.83,6.83,1014390
"Nov 05, 2025",6.88,6.88,6.88,6.88,1609897
"Nov 04, 2025",6.27,6.27,6.27,6.27,382408
"Nov 03, 2025",6.58,6.58,6.58,6.58,507367
"Oct 31, 2025",6.4,6.4,6.4,6.4,366697
"Oct 30, 2025",5.95,5.95,5.95,5.95,461595
"Oct 29, 2025",6.02,6.02,6.02,6.02,328852
"Oct 28, 2025",6.01,6.01,6.01,6.01,1714821
"Oct 27, 2025",6.84,6.84,6.84,6.84,1498993
"Oct 24, 2025",7.82,7.82,7.82,7.82,1819692
"Oct 23, 2025",7.47,7.47,7.47,7.47,4879852
"Oct 22, 2025",6.47,6.47,6.47,6.47,2892770
"Oct 21, 2025",5.57,5.57,5.57,5.57,168312
"Oct 20, 2025",5.64,5.64,5.64,5.64,270643
"Oct 17, 2025",5.61,5.61,5.61,5.61,122825
"Oct 16, 2025",5.5,5.5,5.5,5.5,81898
"Oct 15, 2025",5.47,5.47,5.47,5.47,227138
"Oct 14, 2025",5.69,5.69,5.69,5.69,162180
"Oct 13, 2025",5.7,5.7,5.7,5.7,302708
"Oct 10, 2025",5.7,5.7,5.7,5.7,406007
"Oct 09, 2025",5.52,5.52,5.52,5.52,174605
"Oct 08, 2025",5.4,5.4,5.4,5.4,103316
"Oct 07, 2025",5.36,5.36,5.36,5.36,111002
"Oct 06, 2025",5.4,5.4,5.4,5.4,100877
"Oct 03, 2025",5.54,5.54,5.54,5.54,229325
"Oct 02, 2025",5.75,5.75,5.75,5.75,248404
"Oct 01, 2025",5.63,5.63,5.63,5.63,283031
"Sep 30, 2025",5.29,5.29,5.29,5.29,256876
"Sep 29, 2025",5.59,5.59,5.59,5.59,186292
"Sep 26, 2025",5.69,5.69,5.69,5.69,384664
"Sep 25, 2025",5.75,5.75,5.75,5.75,1136192
"Sep 24, 2025",5.48,5.48,5.48,5.48,876822
"Sep 23, 2025",4.99,4.99,4.99,4.99,296094
"Sep 22, 2025",5.03,5.03,5.03,5.03,250866
"Sep 19, 2025",4.98,4.98,4.98,4.98,741218
"Sep 18, 2025",5.51,5.51,5.51,5.51,1913302
"Sep 17, 2025",5.53,5.53,5.53,5.53,2321521
"Sep 16, 2025",4.9,4.9,4.9,4.9,174523
"Sep 15, 2025",4.73,4.73,4.73,4.73,71776
"Sep 12, 2025",4.87,4.87,4.87,4.87,95457
"Sep 11, 2025",4.8,4.8,4.8,4.8,23618
"Sep 10, 2025",4.9,4.9,4.9,4.9,51971
"Sep 09, 2025",4.72,4.72,4.72,4.72,57260
"Sep 08, 2025",4.9,4.9,4.9,4.9,111089
"Sep 05, 2025",4.78,4.78,4.78,4.78,77783
"Sep 04, 2025",4.71,4.71,4.71,4.71,80855
"Sep 03, 2025",4.55,4.55,4.55,4.55,31132
"Sep 02, 2025",4.49,4.49,4.49,4.49,337706
"Sep 01, 2025",4.62,4.62,4.62,4.62,27082
"Aug 29, 2025",4.5,4.5,4.5,4.5,76018
"Aug 28, 2025",4.61,4.61,4.61,4.61,92434
"Aug 27, 2025",4.5,4.5,4.5,4.5,13876
"Aug 26, 2025",4.57,4.57,4.57,4.57,16405
"Aug 25, 2025",4.61,4.61,4.61,4.61,319366
"Aug 22, 2025",4.49,4.49,4.49,4.49,109920
"Aug 21, 2025",4.55,4.55,4.55,4.55,60409
"Aug 20, 2025",4.63,4.63,4.63,4.63,47174
"Aug 19, 2025",4.71,4.71,4.71,4.71,103959
"Aug 18, 2025",4.8,4.8,4.8,4.8,49735
"Aug 15, 2025",4.82,4.82,4.82,4.82,11213
"Aug 13, 2025",4.75,4.75,4.75,4.75,161142
"Aug 12, 2025",4.95,4.95,4.95,4.95,121364
"Aug 11, 2025",4.97,4.97,4.97,4.97,689826
"Aug 08, 2025",4.85,4.85,4.85,4.85,79543
"Aug 07, 2025",4.87,4.87,4.87,4.87,89779
"Aug 06, 2025",4.86,4.86,4.86,4.86,83840
"Aug 05, 2025",4.75,4.75,4.75,4.75,101220
"Aug 04, 2025",4.94,4.94,4.94,4.94,43557
"Aug 01, 2025",4.85,4.85,4.85,4.85,29972
"Jul 31, 2025",5.07,5.07,5.07,5.07,251290
"Jul 30, 2025",4.99,4.99,4.99,4.99,207371
"Jul 29, 2025",5.16,5.16,5.16,5.16,359880
"Jul 28, 2025",5.6,5.6,5.6,5.6,1600642
