TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",15.1,15.1,15.1,15.1,11722
"Nov 14, 2025",14.89,14.89,14.89,14.89,55809
"Nov 13, 2025",15.13,15.13,15.13,15.13,20726
"Nov 12, 2025",15.08,15.08,15.08,15.08,25356
"Nov 11, 2025",15.36,15.36,15.36,15.36,8690
"Nov 10, 2025",15.17,15.17,15.17,15.17,41589
"Nov 07, 2025",15.0,15.0,15.0,15.0,48898
"Nov 06, 2025",15.39,15.39,15.39,15.39,42086
"Nov 05, 2025",15.25,15.25,15.25,15.25,24799
"Nov 04, 2025",15.7,15.7,15.7,15.7,2872
"Nov 03, 2025",15.67,15.67,15.67,15.67,1177
"Oct 31, 2025",15.5,15.5,15.5,15.5,12399
"Oct 30, 2025",15.16,15.16,15.16,15.16,23193
"Oct 29, 2025",15.36,15.36,15.36,15.36,31756
"Oct 28, 2025",15.5,15.5,15.5,15.5,35751
"Oct 27, 2025",15.47,15.47,15.47,15.47,154393
"Oct 24, 2025",16.18,16.18,16.18,16.18,20936
"Oct 23, 2025",16.19,16.19,16.19,16.19,11677
"Oct 22, 2025",16.48,16.48,16.48,16.48,106686
"Oct 21, 2025",16.06,16.06,16.06,16.06,65377
"Oct 20, 2025",16.15,16.15,16.15,16.15,34340
"Oct 17, 2025",16.36,16.36,16.36,16.36,13023
"Oct 16, 2025",16.45,16.45,16.45,16.45,83817
"Oct 15, 2025",16.13,16.13,16.13,16.13,127457
"Oct 14, 2025",15.95,15.95,15.95,15.95,125829
"Oct 13, 2025",15.7,15.7,15.7,15.7,40442
"Oct 10, 2025",16.05,16.05,16.05,16.05,71909
"Oct 09, 2025",16.0,16.0,16.0,16.0,17085
"Oct 08, 2025",16.05,16.05,16.05,16.05,50029
"Oct 07, 2025",16.15,16.15,16.15,16.15,16778
"Oct 06, 2025",16.28,16.28,16.28,16.28,84574
"Oct 03, 2025",16.47,16.47,16.47,16.47,169623
"Oct 02, 2025",16.35,16.35,16.35,16.35,64168
"Oct 01, 2025",16.14,16.14,16.14,16.14,41972
"Sep 30, 2025",16.3,16.3,16.3,16.3,26957
"Sep 29, 2025",16.2,16.2,16.2,16.2,16833
"Sep 26, 2025",16.36,16.36,16.36,16.36,18917
"Sep 25, 2025",16.36,16.36,16.36,16.36,39975
"Sep 24, 2025",16.25,16.25,16.25,16.25,9701
