TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",351.79,351.79,351.79,351.79,40901
"Nov 14, 2025",368.17,368.17,368.17,368.17,1270
"Nov 13, 2025",366.64,366.64,366.64,366.64,414
"Nov 12, 2025",364.75,364.75,364.75,364.75,979
"Nov 11, 2025",361.51,361.51,361.51,361.51,916
"Nov 10, 2025",371.35,371.35,371.35,371.35,4228
"Nov 07, 2025",369.43,369.43,369.43,369.43,23743
"Nov 06, 2025",360.02,360.02,360.02,360.02,833
"Nov 05, 2025",362.58,362.58,362.58,362.58,8973
"Nov 04, 2025",362.72,362.72,362.72,362.72,10986
"Nov 03, 2025",360.32,360.32,360.32,360.32,21467
"Oct 31, 2025",360.46,360.46,360.46,360.46,11808
"Oct 30, 2025",350.0,350.0,350.0,350.0,27362
"Oct 29, 2025",341.44,341.44,341.44,341.44,14427
"Oct 28, 2025",335.64,335.64,335.64,335.64,37848
"Oct 27, 2025",351.24,351.24,351.24,351.24,73846
"Oct 24, 2025",390.0,390.0,390.0,390.0,1262
"Oct 23, 2025",390.09,390.09,390.09,390.09,4245
"Oct 22, 2025",394.54,394.54,394.54,394.54,4429
"Oct 21, 2025",400.0,400.0,400.0,400.0,1570
"Oct 20, 2025",402.1,402.1,402.1,402.1,3614
"Oct 17, 2025",412.29,412.29,412.29,412.29,36073
"Oct 16, 2025",397.15,397.15,397.15,397.15,3254
"Oct 15, 2025",410.45,410.45,410.45,410.45,2360
"Oct 14, 2025",406.54,406.54,406.54,406.54,22925
"Oct 13, 2025",394.25,394.25,394.25,394.25,6002
"Oct 10, 2025",398.78,398.78,398.78,398.78,2139
"Oct 09, 2025",397.26,397.26,397.26,397.26,3726
"Oct 08, 2025",395.64,395.64,395.64,395.64,1776
"Oct 07, 2025",399.86,399.86,399.86,399.86,5250
"Oct 06, 2025",404.04,404.04,404.04,404.04,15003
"Oct 03, 2025",406.05,406.05,406.05,406.05,5607
"Oct 02, 2025",408.96,408.96,408.96,408.96,3866
"Oct 01, 2025",411.43,411.43,411.43,411.43,14131
"Sep 30, 2025",410.44,410.44,410.44,410.44,8996
"Sep 29, 2025",415.0,415.0,415.0,415.0,24737
"Sep 26, 2025",410.2,410.2,410.2,410.2,25409
"Sep 25, 2025",409.88,409.88,409.88,409.88,17816
"Sep 24, 2025",408.5,408.5,408.5,408.5,33100
"Sep 23, 2025",415.36,415.36,415.36,415.36,3776
"Sep 22, 2025",409.91,409.91,409.91,409.91,9919
"Sep 19, 2025",417.84,417.84,417.84,417.84,19368
"Sep 18, 2025",415.88,415.88,415.88,415.88,11230
"Sep 17, 2025",413.98,413.98,413.98,413.98,17830
"Sep 16, 2025",407.91,407.91,407.91,407.91,7367
"Sep 15, 2025",408.57,408.57,408.57,408.57,3543
"Sep 12, 2025",410.65,410.65,410.65,410.65,10638
"Sep 11, 2025",414.49,414.49,414.49,414.49,16877
"Sep 10, 2025",405.0,405.0,405.0,405.0,3577
"Sep 09, 2025",403.45,403.45,403.45,403.45,13342
"Sep 08, 2025",405.44,405.44,405.44,405.44,8702
"Sep 05, 2025",407.38,407.38,407.38,407.38,4119
"Sep 04, 2025",410.17,410.17,410.17,410.17,7764
"Sep 03, 2025",415.23,415.23,415.23,415.23,25189
"Sep 02, 2025",401.96,401.96,401.96,401.96,6840
"Sep 01, 2025",394.7,394.7,394.7,394.7,5493
"Aug 29, 2025",401.4,401.4,401.4,401.4,4867
"Aug 28, 2025",403.94,403.94,403.94,403.94,2765
"Aug 27, 2025",400.24,400.24,400.24,400.24,5749
"Aug 26, 2025",403.37,403.37,403.37,403.37,2718
"Aug 25, 2025",402.83,402.83,402.83,402.83,7183
"Aug 22, 2025",413.09,413.09,413.09,413.09,2628
"Aug 21, 2025",409.9,409.9,409.9,409.9,12617
"Aug 20, 2025",424.26,424.26,424.26,424.26,14654
"Aug 19, 2025",397.22,397.22,397.22,397.22,24479
"Aug 18, 2025",387.95,387.95,387.95,387.95,958
"Aug 15, 2025",388.24,388.24,388.24,388.24,1767
"Aug 13, 2025",389.92,389.92,389.92,389.92,1385
"Aug 12, 2025",386.17,386.17,386.17,386.17,3021
"Aug 11, 2025",390.92,390.92,390.92,390.92,4377
"Aug 08, 2025",388.01,388.01,388.01,388.01,2197
"Aug 07, 2025",390.34,390.34,390.34,390.34,3594
"Aug 06, 2025",390.39,390.39,390.39,390.39,8903
"Aug 05, 2025",395.23,395.23,395.23,395.23,22944
"Aug 04, 2025",390.34,390.34,390.34,390.34,10752
"Aug 01, 2025",394.06,394.06,394.06,394.06,6904
"Jul 31, 2025",389.03,389.03,389.03,389.03,8746
"Jul 30, 2025",387.79,387.79,387.79,387.79,44858
"Jul 29, 2025",381.16,381.16,381.16,381.16,46605
"Jul 28, 2025",399.62,399.62,399.62,399.62,126639
"Jul 25, 2025",369.57,369.57,369.57,369.57,27654
"Jul 24, 2025",335.97,335.97,335.97,335.97,34050
"Jul 23, 2025",305.43,305.43,305.43,305.43,33090
"Jul 22, 2025",310.17,310.17,310.17,310.17,3468
"Jul 21, 2025",303.0,303.0,303.0,303.0,3037
"Jul 18, 2025",306.09,306.09,306.09,306.09,4225
"Jul 17, 2025",308.27,308.27,308.27,308.27,5886
"Jul 16, 2025",309.98,309.98,309.98,309.98,4869
"Jul 15, 2025",311.96,311.96,311.96,311.96,11498
"Jul 14, 2025",319.41,319.41,319.41,319.41,31172
"Jul 11, 2025",314.97,314.97,314.97,314.97,10928
"Jul 10, 2025",307.35,307.35,307.35,307.35,9143
"Jul 09, 2025",308.04,308.04,308.04,308.04,2811
"Jul 08, 2025",303.26,303.26,303.26,303.26,21717
"Jul 07, 2025",317.5,317.5,317.5,317.5,8746
"Jul 04, 2025",307.15,307.15,307.15,307.15,934
"Jul 03, 2025",312.02,312.02,312.02,312.02,6320
"Jul 02, 2025",317.03,317.03,317.03,317.03,13005
"Jul 01, 2025",315.0,315.0,315.0,315.0,11731
"Jun 30, 2025",311.97,311.97,311.97,311.97,20737
"Jun 27, 2025",302.21,302.21,302.21,302.21,30877
"Jun 26, 2025",274.74,274.74,274.74,274.74,18197
"Jun 25, 2025",273.96,273.96,273.96,273.96,9606
"Jun 24, 2025",261.31,261.31,261.31,261.31,41293
"Jun 23, 2025",250.48,250.48,250.48,250.48,2773
"Jun 20, 2025",269.43,269.43,269.43,269.43,9293
"Jun 19, 2025",278.52,278.52,278.52,278.52,9021
"Jun 18, 2025",270.07,270.07,270.07,270.07,2439
"Jun 17, 2025",280.39,280.39,280.39,280.39,1141
"Jun 16, 2025",282.0,282.0,282.0,282.0,1628
"Jun 13, 2025",284.23,284.23,284.23,284.23,4273
"Jun 12, 2025",292.99,292.99,292.99,292.99,2250
"Jun 11, 2025",293.57,293.57,293.57,293.57,7054
"Jun 10, 2025",296.22,296.22,296.22,296.22,25590
"Jun 05, 2025",296.73,296.73,296.73,296.73,28908
"Jun 04, 2025",306.04,306.04,306.04,306.04,16706
"Jun 02, 2025",304.91,304.91,304.91,304.91,45160
"May 30, 2025",315.06,315.06,315.06,315.06,170581
"May 29, 2025",286.42,286.42,286.42,286.42,43587
"May 27, 2025",284.37,284.37,284.37,284.37,31854
"May 26, 2025",258.52,258.52,258.52,258.52,36753
"May 23, 2025",235.02,235.02,235.02,235.02,7597
"May 22, 2025",230.49,230.49,230.49,230.49,54324
"May 21, 2025",240.0,240.0,240.0,240.0,2226
"May 20, 2025",235.0,235.0,235.0,235.0,3651
"May 19, 2025",234.33,234.33,234.33,234.33,3311
"May 16, 2025",228.28,228.28,228.28,228.28,256
"May 15, 2025",230.0,230.0,230.0,230.0,292
"May 14, 2025",230.0,230.0,230.0,230.0,39
"May 13, 2025",230.0,230.0,230.0,230.0,12050
"May 12, 2025",226.59,226.59,226.59,226.59,8932
"May 09, 2025",205.99,205.99,205.99,205.99,14665
"May 08, 2025",200.05,200.05,200.05,200.05,14639
"May 07, 2025",216.75,216.75,216.75,216.75,1246
"May 06, 2025",221.83,221.83,221.83,221.83,61635
"Apr 30, 2025",221.92,221.92,221.92,221.92,2709
"Apr 29, 2025",235.68,235.68,235.68,235.68,3926
"Apr 28, 2025",240.14,240.14,240.14,240.14,635
"Apr 25, 2025",249.57,249.57,249.57,249.57,1861
"Apr 24, 2025",244.98,244.98,244.98,244.98,1805
"Apr 23, 2025",239.98,239.98,239.98,239.98,2738
"Apr 22, 2025",245.0,245.0,245.0,245.0,5096
"Apr 21, 2025",245.5,245.5,245.5,245.5,9618
"Apr 18, 2025",233.02,233.02,233.02,233.02,1707
"Apr 17, 2025",233.0,233.0,233.0,233.0,4053
"Apr 16, 2025",228.27,228.27,228.27,228.27,3643
"Apr 15, 2025",226.0,226.0,226.0,226.0,841
"Apr 14, 2025",225.79,225.79,225.79,225.79,700
"Apr 11, 2025",223.9,223.9,223.9,223.9,267
"Apr 10, 2025",223.9,223.9,223.9,223.9,473
"Apr 09, 2025",222.37,222.37,222.37,222.37,2160
"Apr 08, 2025",222.9,222.9,222.9,222.9,340
"Apr 07, 2025",220.15,220.15,220.15,220.15,2449
"Apr 04, 2025",224.95,224.95,224.95,224.95,1772
"Apr 03, 2025",224.93,224.93,224.93,224.93,2093
"Mar 27, 2025",222.78,222.78,222.78,222.78,3187
"Mar 25, 2025",223.27,223.27,223.27,223.27,1500
"Mar 24, 2025",221.16,221.16,221.16,221.16,873
"Mar 21, 2025",225.81,225.81,225.81,225.81,822
"Mar 20, 2025",225.48,225.48,225.48,225.48,1882
"Mar 19, 2025",225.65,225.65,225.65,225.65,2125
"Mar 18, 2025",224.96,224.96,224.96,224.96,513
"Mar 17, 2025",223.03,223.03,223.03,223.03,3422
"Mar 16, 2025",223.45,223.45,223.45,223.45,550
"Mar 14, 2025",223.45,223.45,223.45,223.45,550
"Mar 13, 2025",226.01,226.01,226.01,226.01,156
"Mar 12, 2025",225.99,225.99,225.99,225.99,6426
"Mar 11, 2025",224.25,224.25,224.25,224.25,506
"Mar 10, 2025",226.85,226.85,226.85,226.85,655
"Mar 07, 2025",225.0,225.0,225.0,225.0,75
"Mar 06, 2025",225.0,225.0,225.0,225.0,3445
"Mar 05, 2025",225.2,225.2,225.2,225.2,1323
"Mar 04, 2025",222.42,222.42,222.42,222.42,223
"Mar 03, 2025",227.51,227.51,227.51,227.51,105
"Feb 28, 2025",227.51,227.51,227.51,227.51,111
"Feb 27, 2025",225.18,225.18,225.18,225.18,2243
"Feb 26, 2025",225.0,225.0,225.0,225.0,3230
"Feb 25, 2025",245.0,245.0,245.0,245.0,262
"Feb 24, 2025",245.0,245.0,245.0,245.0,262
"Feb 23, 2025",245.73,245.73,245.73,245.73,6138
"Feb 22, 2025",245.73,245.73,245.73,245.73,6138
"Feb 21, 2025",245.73,245.73,245.73,245.73,6138
"Feb 20, 2025",235.0,235.0,235.0,235.0,2644
"Feb 19, 2025",234.69,234.69,234.69,234.69,3
"Feb 18, 2025",234.69,234.69,234.69,234.69,19
"Feb 17, 2025",234.69,234.69,234.69,234.69,364
"Feb 16, 2025",230.25,230.25,230.25,230.25,1632
"Feb 15, 2025",230.25,230.25,230.25,230.25,1632
"Feb 14, 2025",230.25,230.25,230.25,230.25,1632
"Feb 13, 2025",230.02,230.02,230.02,230.02,313
"Feb 12, 2025",231.06,231.06,231.06,231.06,822
"Feb 11, 2025",230.49,230.49,230.49,230.49,2550
"Feb 10, 2025",232.9,232.9,232.9,232.9,545
"Feb 09, 2025",232.76,232.76,232.76,232.76,1981
"Feb 08, 2025",232.76,232.76,232.76,232.76,1981
"Feb 07, 2025",232.76,232.76,232.76,232.76,1981
"Feb 06, 2025",230.11,230.11,230.11,230.11,1682
"Feb 05, 2025",233.0,233.0,233.0,233.0,2160
"Feb 04, 2025",233.0,233.0,233.0,233.0,2160
"Feb 03, 2025",230.08,230.08,230.08,230.08,4189
"Feb 02, 2025",230.43,230.43,230.43,230.43,3060
"Feb 01, 2025",230.43,230.43,230.43,230.43,3060
"Jan 31, 2025",230.43,230.43,230.43,230.43,3060
"Jan 30, 2025",230.54,230.54,230.54,230.54,4688
"Jan 29, 2025",228.14,228.14,228.14,228.14,5292
"Jan 28, 2025",230.0,230.0,230.0,230.0,937
"Jan 27, 2025",230.34,230.34,230.34,230.34,7693
"Jan 26, 2025",235.0,235.0,235.0,235.0,6791
"Jan 25, 2025",235.0,235.0,235.0,235.0,6791
"Jan 24, 2025",235.0,235.0,235.0,235.0,6791
"Jan 23, 2025",235.0,235.0,235.0,235.0,5884
"Jan 22, 2025",234.1,234.1,234.1,234.1,204
"Jan 21, 2025",236.78,236.78,236.78,236.78,7893
"Jan 20, 2025",237.35,237.35,237.35,237.35,13148
"Jan 19, 2025",230.04,230.04,230.04,230.04,9708
"Jan 18, 2025",230.04,230.04,230.04,230.04,9708
"Jan 17, 2025",230.04,230.04,230.04,230.04,9708
"Jan 16, 2025",228.03,228.03,228.03,228.03,1970
"Jan 15, 2025",232.94,232.94,232.94,232.94,2903
"Jan 14, 2025",226.02,226.02,226.02,226.02,15677
"Jan 13, 2025",230.16,230.16,230.16,230.16,2402
"Jan 12, 2025",232.4,232.4,232.4,232.4,5402
"Jan 11, 2025",232.4,232.4,232.4,232.4,5402
"Jan 10, 2025",232.4,232.4,232.4,232.4,5402
"Jan 09, 2025",235.03,235.03,235.03,235.03,2432
"Jan 08, 2025",235.77,235.77,235.77,235.77,50441
"Jan 07, 2025",242.02,242.02,242.02,242.02,7674
"Jan 06, 2025",252.12,252.12,252.12,252.12,34295
"Jan 05, 2025",280.13,280.13,280.13,280.13,8295
"Jan 04, 2025",280.13,280.13,280.13,280.13,8295
"Jan 03, 2025",280.13,280.13,280.13,280.13,8295
"Jan 02, 2025",287.67,287.67,287.67,287.67,4490
"Jan 01, 2025",291.29,291.29,291.29,291.29,3586
"Dec 31, 2024",296.6,296.6,296.6,296.6,1877
"Dec 30, 2024",306.0,306.0,306.0,306.0,8989
"Dec 29, 2024",307.79,307.79,307.79,307.79,887
"Dec 28, 2024",307.79,307.79,307.79,307.79,887
"Dec 27, 2024",307.79,307.79,307.79,307.79,887
"Dec 26, 2024",313.95,313.95,313.95,313.95,3337
"Dec 25, 2024",311.75,311.75,311.75,311.75,29024
"Dec 24, 2024",311.75,311.75,311.75,311.75,29024
"Dec 23, 2024",300.71,300.71,300.71,300.71,31449
"Dec 22, 2024",273.37,273.37,273.37,273.37,52670
"Dec 21, 2024",273.37,273.37,273.37,273.37,52670
"Dec 20, 2024",273.37,273.37,273.37,273.37,52670
"Dec 19, 2024",248.52,248.52,248.52,248.52,68167
"Dec 18, 2024",227.25,227.25,227.25,227.25,29986
"Dec 17, 2024",237.67,237.67,237.67,237.67,808
"Dec 16, 2024",240.98,240.98,240.98,240.98,16351
"Dec 15, 2024",239.0,239.0,239.0,239.0,2921
"Dec 14, 2024",239.0,239.0,239.0,239.0,2921
"Dec 13, 2024",239.0,239.0,239.0,239.0,2921
"Dec 12, 2024",240.0,240.0,240.0,240.0,26326
"Dec 11, 2024",232.63,232.63,232.63,232.63,1090
"Dec 10, 2024",230.59,230.59,230.59,230.59,11155
"Dec 09, 2024",238.72,238.72,238.72,238.72,2164
"Dec 08, 2024",235.0,235.0,235.0,235.0,1976
"Dec 07, 2024",235.0,235.0,235.0,235.0,1976
