TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",14.21,14.21,14.21,14.21,7505442
"Nov 14, 2025",13.72,13.72,13.72,13.72,5224224
"Nov 13, 2025",13.67,13.67,13.67,13.67,8120645
"Nov 12, 2025",13.68,13.68,13.68,13.68,6576401
"Nov 11, 2025",13.87,13.87,13.87,13.87,15086883
"Nov 10, 2025",15.04,15.04,15.04,15.04,13137440
"Nov 07, 2025",14.55,14.55,14.55,14.55,14381041
"Nov 06, 2025",15.31,15.31,15.31,15.31,30082990
"Nov 05, 2025",15.6,15.6,15.6,15.6,33617850
"Nov 04, 2025",14.39,14.39,14.39,14.39,19861846
"Nov 03, 2025",15.28,15.28,15.28,15.28,38804056
"Oct 31, 2025",14.68,14.68,14.68,14.68,40614707
"Oct 30, 2025",13.43,13.43,13.43,13.43,45684253
"Oct 29, 2025",12.36,12.36,12.36,12.36,25349139
"Oct 28, 2025",12.13,12.13,12.13,12.13,18638350
"Oct 27, 2025",12.24,12.24,12.24,12.24,8916322
"Oct 24, 2025",12.17,12.17,12.17,12.17,14825769
"Oct 23, 2025",12.99,12.99,12.99,12.99,23585518
"Oct 22, 2025",11.81,11.81,11.81,11.81,1414635
"Oct 21, 2025",11.74,11.74,11.74,11.74,3809731
"Oct 20, 2025",11.97,11.97,11.97,11.97,5097323
"Oct 17, 2025",12.16,12.16,12.16,12.16,15210136
"Oct 16, 2025",11.9,11.9,11.9,11.9,9969734
"Oct 15, 2025",11.19,11.19,11.19,11.19,2569858
"Oct 14, 2025",10.87,10.87,10.87,10.87,1958593
"Oct 13, 2025",10.63,10.63,10.63,10.63,2863089
"Oct 10, 2025",11.06,11.06,11.06,11.06,4468966
"Oct 09, 2025",11.14,11.14,11.14,11.14,1970255
"Oct 08, 2025",11.32,11.32,11.32,11.32,3519933
"Oct 07, 2025",11.53,11.53,11.53,11.53,2020667
"Oct 06, 2025",11.69,11.69,11.69,11.69,4409383
"Oct 03, 2025",12.24,12.24,12.24,12.24,2425316
"Oct 02, 2025",12.26,12.26,12.26,12.26,8514657
"Oct 01, 2025",11.93,11.93,11.93,11.93,2129447
"Sep 30, 2025",11.94,11.94,11.94,11.94,3574685
"Sep 29, 2025",12.19,12.19,12.19,12.19,2527617
"Sep 26, 2025",12.04,12.04,12.04,12.04,4051782
"Sep 25, 2025",12.13,12.13,12.13,12.13,8328716
"Sep 24, 2025",12.14,12.14,12.14,12.14,3396900
"Sep 23, 2025",12.19,12.19,12.19,12.19,3020749
"Sep 22, 2025",12.3,12.3,12.3,12.3,3580309
"Sep 19, 2025",12.62,12.62,12.62,12.62,10865594
"Sep 18, 2025",13.05,13.05,13.05,13.05,26256057
"Sep 17, 2025",12.02,12.02,12.02,12.02,2702941
"Sep 16, 2025",12.0,12.0,12.0,12.0,4821340
"Sep 15, 2025",11.91,11.91,11.91,11.91,4493916
"Sep 12, 2025",11.89,11.89,11.89,11.89,2681539
"Sep 11, 2025",12.17,12.17,12.17,12.17,8308106
"Sep 10, 2025",11.88,11.88,11.88,11.88,4889718
