TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",1.84,1.84,1.84,1.84,61326740
"Nov 14, 2025",1.68,1.68,1.68,1.68,27535209
"Nov 13, 2025",1.68,1.68,1.68,1.68,30733370
"Nov 12, 2025",1.66,1.66,1.66,1.66,48702334
"Nov 11, 2025",1.7,1.7,1.7,1.7,46808585
"Nov 10, 2025",1.77,1.77,1.77,1.77,37406336
"Nov 07, 2025",1.75,1.75,1.75,1.75,27780156
"Nov 06, 2025",1.76,1.76,1.76,1.76,31296454
"Nov 05, 2025",1.77,1.77,1.77,1.77,45571981
"Nov 04, 2025",1.81,1.81,1.81,1.81,78873963
"Nov 03, 2025",1.85,1.85,1.85,1.85,44134622
"Oct 31, 2025",1.81,1.81,1.81,1.81,98940254
"Oct 30, 2025",1.76,1.76,1.76,1.76,50188058
"Oct 29, 2025",1.8,1.8,1.8,1.8,51080521
"Oct 28, 2025",1.79,1.79,1.79,1.79,83309884
"Oct 27, 2025",1.89,1.89,1.89,1.89,164294963
"Oct 24, 2025",1.96,1.96,1.96,1.96,97551530
"Oct 23, 2025",2.09,2.09,2.09,2.09,162196373
"Oct 22, 2025",2.08,2.08,2.08,2.08,163537259
"Oct 21, 2025",2.05,2.05,2.05,2.05,260923133
"Oct 20, 2025",2.16,2.16,2.16,2.16,223455632
"Oct 17, 2025",2.23,2.23,2.23,2.23,891368186
"Oct 16, 2025",2.09,2.09,2.09,2.09,953713941
"Oct 15, 2025",1.74,1.74,1.74,1.74,116447451
"Oct 14, 2025",1.71,1.71,1.71,1.71,69059144
"Oct 13, 2025",1.67,1.67,1.67,1.67,75239120
"Oct 10, 2025",1.73,1.73,1.73,1.73,143929390
"Oct 09, 2025",1.77,1.77,1.77,1.77,193587358
"Oct 08, 2025",1.67,1.67,1.67,1.67,63041361
"Oct 07, 2025",1.66,1.66,1.66,1.66,71629605
"Oct 06, 2025",1.7,1.7,1.7,1.7,75174726
"Oct 03, 2025",1.76,1.76,1.76,1.76,103923227
"Oct 02, 2025",1.82,1.82,1.82,1.82,133874930
"Oct 01, 2025",1.7,1.7,1.7,1.7,92500343
"Sep 30, 2025",1.74,1.74,1.74,1.74,113573124
"Sep 29, 2025",1.82,1.82,1.82,1.82,118937336
"Sep 26, 2025",1.85,1.85,1.85,1.85,450584981
"Sep 25, 2025",1.76,1.76,1.76,1.76,174061613
"Sep 24, 2025",1.57,1.57,1.57,1.57,65969963
"Sep 23, 2025",1.62,1.62,1.62,1.62,49262090
"Sep 22, 2025",1.59,1.59,1.59,1.59,83734019
"Sep 19, 2025",1.68,1.68,1.68,1.68,163000808
"Sep 18, 2025",1.78,1.78,1.78,1.78,141834094
"Sep 17, 2025",1.72,1.72,1.72,1.72,137768248
"Sep 16, 2025",1.66,1.66,1.66,1.66,125674369
"Sep 15, 2025",1.57,1.57,1.57,1.57,26110319
"Sep 12, 2025",1.58,1.58,1.58,1.58,32078937
"Sep 11, 2025",1.59,1.59,1.59,1.59,85629403
"Sep 10, 2025",1.56,1.56,1.56,1.56,75546108
"Sep 09, 2025",1.52,1.52,1.52,1.52,74056866
"Sep 08, 2025",1.43,1.43,1.43,1.43,33460952
"Sep 05, 2025",1.44,1.44,1.44,1.44,32442015
"Sep 04, 2025",1.46,1.46,1.46,1.46,15942434
"Sep 03, 2025",1.46,1.46,1.46,1.46,25315161
"Sep 02, 2025",1.46,1.46,1.46,1.46,16645041
"Sep 01, 2025",1.44,1.44,1.44,1.44,40495240
"Aug 29, 2025",1.45,1.45,1.45,1.45,61344180
"Aug 28, 2025",1.44,1.44,1.44,1.44,15145923
"Aug 27, 2025",1.43,1.43,1.43,1.43,33668421
"Aug 26, 2025",1.41,1.41,1.41,1.41,13647628
"Aug 25, 2025",1.42,1.42,1.42,1.42,24183902
"Aug 22, 2025",1.43,1.43,1.43,1.43,12220289
"Aug 21, 2025",1.43,1.43,1.43,1.43,35544070
"Aug 20, 2025",1.48,1.48,1.48,1.48,36266186
"Aug 19, 2025",1.45,1.45,1.45,1.45,52322337
"Aug 18, 2025",1.4,1.4,1.4,1.4,40719854
"Aug 15, 2025",1.41,1.41,1.41,1.41,16704962
"Aug 13, 2025",1.4,1.4,1.4,1.4,23364379
"Aug 12, 2025",1.41,1.41,1.41,1.41,15732315
"Aug 11, 2025",1.41,1.41,1.41,1.41,17579008
"Aug 08, 2025",1.43,1.43,1.43,1.43,17303200
"Aug 07, 2025",1.43,1.43,1.43,1.43,25365424
"Aug 06, 2025",1.44,1.44,1.44,1.44,34531955
