TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",640.27,640.27,640.27,640.27,7039
"Nov 14, 2025",590.12,590.12,590.12,590.12,6114
"Nov 13, 2025",585.64,585.64,585.64,585.64,12974
"Nov 12, 2025",532.4,532.4,532.4,532.4,5576
"Nov 11, 2025",484.0,484.0,484.0,484.0,5510
"Nov 10, 2025",440.0,440.0,440.0,440.0,4041
"Nov 07, 2025",400.0,400.0,400.0,400.0,100
"Nov 06, 2025",402.14,402.14,402.14,402.14,1491
"Nov 05, 2025",419.0,419.0,419.0,419.0,298
"Nov 04, 2025",391.16,391.16,391.16,391.16,75
"Nov 03, 2025",405.94,405.94,405.94,405.94,338
"Oct 31, 2025",407.94,407.94,407.94,407.94,1012
"Oct 30, 2025",410.89,410.89,410.89,410.89,14882
"Oct 29, 2025",396.0,396.0,396.0,396.0,2712
"Oct 28, 2025",360.0,360.0,360.0,360.0,500
"Oct 27, 2025",360.56,360.56,360.56,360.56,782
"Oct 24, 2025",360.0,360.0,360.0,360.0,204
"Oct 23, 2025",360.0,360.0,360.0,360.0,80
"Oct 21, 2025",360.0,360.0,360.0,360.0,1
"Oct 16, 2025",360.0,360.0,360.0,360.0,101
"Oct 15, 2025",364.18,364.18,364.18,364.18,1692
"Oct 14, 2025",360.1,360.1,360.1,360.1,429
"Oct 13, 2025",362.0,362.0,362.0,362.0,174
"Oct 10, 2025",360.0,360.0,360.0,360.0,51
"Oct 09, 2025",360.0,360.0,360.0,360.0,106
"Oct 08, 2025",360.0,360.0,360.0,360.0,51
"Oct 07, 2025",360.0,360.0,360.0,360.0,234
"Oct 06, 2025",360.0,360.0,360.0,360.0,96
"Oct 03, 2025",378.28,378.28,378.28,378.28,438
"Oct 02, 2025",374.95,374.95,374.95,374.95,1247
"Oct 01, 2025",374.91,374.91,374.91,374.91,2430
"Sep 30, 2025",362.0,362.0,362.0,362.0,675
"Sep 26, 2025",360.15,360.15,360.15,360.15,153
"Sep 25, 2025",352.92,352.92,352.92,352.92,237
"Sep 24, 2025",369.93,369.93,369.93,369.93,1057
"Sep 23, 2025",374.97,374.97,374.97,374.97,432
"Sep 22, 2025",375.0,375.0,375.0,375.0,91
"Sep 19, 2025",379.35,379.35,379.35,379.35,1171
"Sep 18, 2025",383.01,383.01,383.01,383.01,525
