DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2017-01-02,9.2,9.49,9.2,9.49,3500
2017-01-03,10.2,10.2,9.0,9.0,6500
2017-01-04,9.25,9.85,9.25,9.85,1500
2017-01-05,9.25,9.82,9.25,9.82,5500
2017-01-09,9.85,9.99,9.8,9.98,10500
2017-01-10,9.1,9.98,9.0,9.98,14500
2017-01-11,9.5,9.98,9.5,9.98,10000
2017-01-12,10.0,10.98,9.52,10.1,26500
2017-01-13,10.3,10.3,9.7,9.7,1500
2017-01-16,10.6,10.6,10.6,10.6,500
2017-01-17,9.7,10.45,9.7,10.0,4000
2017-01-18,9.54,9.85,9.54,9.85,1000
2017-01-20,10.7,10.85,10.5,10.5,13000
2017-01-23,10.2,11.5,9.5,11.06,59500
2017-01-24,10.11,12.05,10.11,12.05,52500
2017-01-25,12.9,13.05,12.5,13.05,60500
2017-01-26,14.0,14.05,13.95,14.05,56000
2017-01-27,15.05,15.05,15.05,15.05,15000
2017-01-30,16.05,16.05,15.9,16.01,164000
2017-01-31,17.0,17.0,15.01,15.4,128500
2017-02-01,15.97,16.4,14.61,15.74,42000
2017-02-02,15.9,16.5,15.0,15.79,37000
2017-02-03,15.4,16.0,14.79,15.72,57500
2017-02-06,14.91,15.5,14.72,15.15,17500
2017-02-07,15.49,15.99,14.15,14.7,22500
2017-02-08,15.5,15.6,14.5,14.85,34000
2017-02-09,15.6,15.7,14.31,15.0,6000
2017-02-10,15.4,15.6,14.0,15.1,8000
2017-02-13,15.3,15.4,14.4,14.7,3500
2017-02-14,15.0,15.2,14.12,14.12,4000
2017-02-15,14.4,14.4,14.0,14.0,1000
2017-02-16,14.69,14.69,13.4,13.7,4000
2017-02-17,14.3,14.3,14.3,14.3,500
2017-02-20,14.7,14.7,13.34,14.35,4000
2017-02-21,13.5,14.0,13.36,13.4,13500
2017-02-22,14.3,14.3,14.3,14.3,500
2017-02-23,15.0,15.0,13.32,13.87,8000
2017-02-24,14.29,14.29,12.9,13.39,3500
2017-02-27,12.51,13.44,12.51,13.44,1000
2017-02-28,12.45,13.49,12.44,12.99,12500
2017-03-01,13.39,13.39,13.0,13.0,10500
2017-03-02,13.1,13.3,13.05,13.05,16500
2017-03-03,13.79,13.79,13.79,13.79,500
2017-03-07,12.81,13.32,12.81,13.32,2500
2017-03-08,12.6,12.65,12.41,12.41,2500
2017-03-09,12.99,12.99,12.8,12.83,1500
2017-03-10,12.01,13.15,12.01,13.01,8500
2017-03-13,12.95,12.95,12.25,12.9,12000
2017-03-14,12.5,12.5,12.5,12.5,1000
2017-03-15,12.94,12.98,12.0,12.0,7500
2017-03-16,12.28,12.28,11.5,11.5,6500
2017-03-17,10.8,11.6,10.7,11.5,2000
2017-03-21,12.25,12.25,10.82,11.9,3000
2017-03-22,11.8,11.8,11.8,11.8,500
2017-03-24,11.01,11.75,11.01,11.5,2000
2017-03-27,10.83,11.89,10.8,11.7,5000
2017-03-28,11.89,11.89,11.89,11.89,500
2017-03-29,12.49,12.49,11.01,11.2,8500
2017-04-03,10.21,11.9,10.2,11.5,3000
2017-04-04,10.61,11.19,10.61,11.19,1000
2017-04-05,10.5,10.5,10.19,10.49,8000
2017-04-10,9.56,10.44,9.5,10.44,2000
2017-04-13,9.8,9.8,9.54,9.54,1500
2017-04-14,9.55,10.4,9.5,9.95,2000
2017-04-17,10.39,10.39,10.39,10.39,500
2017-04-19,10.0,10.49,10.0,10.2,7000
2017-04-21,9.61,9.61,9.6,9.6,1500
2017-04-24,10.19,10.19,10.19,10.19,500
2017-04-25,0.0,10.19,10.19,10.19,500
2017-04-26,10.9,10.9,9.75,10.39,2500
2017-05-08,9.56,10.0,9.55,10.0,1500
2017-05-09,10.0,10.0,10.0,10.0,500
2017-05-10,10.48,10.48,9.11,9.8,3000
2017-05-11,10.64,10.64,10.64,10.64,500
2017-05-12,10.97,10.97,10.97,10.97,500
2017-05-15,10.5,10.59,9.99,10.59,1500
2017-05-16,10.85,10.85,10.85,10.85,500
2017-05-17,9.85,10.2,9.85,10.2,14500
2017-05-18,10.94,10.94,10.0,10.0,5500
2017-05-22,10.86,10.86,10.0,10.11,4500
2017-05-23,10.73,10.73,10.73,10.73,500
2017-05-24,11.19,11.19,11.19,11.19,500
2017-05-25,10.79,10.79,10.79,10.79,1000
2017-05-26,11.7,11.7,11.7,11.7,500
2017-05-29,10.8,10.8,10.7,10.7,4000
2017-05-30,11.34,11.35,10.7,10.7,2000
2017-05-31,11.34,11.34,11.34,11.34,500
2017-06-01,10.5,11.4,10.5,10.8,1500
2017-06-02,10.1,10.4,9.8,10.1,1500
2017-06-05,10.89,10.89,10.7,10.7,2000
2017-06-06,10.0,10.7,10.0,10.48,2000
2017-06-07,11.37,11.37,11.0,11.35,1500
2017-06-09,11.74,11.74,11.74,11.74,500
2017-06-12,11.0,11.0,11.0,11.0,500
2017-06-13,10.0,10.9,10.0,10.9,1000
2017-06-14,11.8,11.8,9.91,9.91,1000
2017-06-15,10.69,10.69,10.69,10.69,650500
2017-06-19,11.49,11.49,11.49,11.49,500
2017-06-20,10.5,10.5,10.5,10.5,1000
2017-06-21,10.9,10.9,9.5,10.5,1500
2017-06-30,10.79,11.4,10.79,11.03,3000
2017-07-03,11.7,11.7,10.03,10.03,4000
2017-07-04,10.13,11.02,10.13,10.91,6500
2017-07-05,11.39,11.39,10.4,11.19,1500
2017-07-06,10.21,10.7,10.2,10.7,1500
2017-07-11,9.71,10.68,9.71,10.68,1000
2017-07-13,10.0,10.0,10.0,10.0,1500
