DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2008-12-15,4.7,3.9,3.7,3.75,302000
2008-12-16,3.75,3.1,2.75,3.09,298000
2008-12-17,3.09,3.0,2.65,2.85,131500
2008-12-18,2.85,3.85,2.7,3.85,142000
2008-12-19,3.85,4.09,3.9,3.97,14000
2008-12-22,3.97,3.9,3.4,3.86,5500
2008-12-23,3.86,3.25,3.12,3.15,11000
2008-12-24,3.15,3.15,3.15,3.15,5000
2008-12-26,3.15,3.3,3.15,3.26,76000
2008-12-29,3.26,4.0,3.85,3.85,12500
2008-12-30,3.85,3.21,2.9,3.0,262000
2008-12-31,3.0,3.15,3.15,3.15,10000
2009-01-01,3.15,3.33,3.24,3.33,7500
2009-01-02,3.33,4.0,3.25,3.91,112500
2009-01-05,3.91,4.89,4.0,4.11,26500
2009-01-06,4.11,4.8,4.0,4.68,63000
2009-01-12,4.68,4.4,3.7,3.8,8500
2009-01-13,3.8,4.0,4.0,4.0,51000
2009-01-14,4.0,3.78,3.78,3.78,1000
2009-01-16,3.78,3.5,3.4,3.4,18500
2009-01-19,3.4,3.39,3.2,3.39,11000
2009-01-20,3.39,3.35,3.27,3.31,25000
2009-01-21,3.31,3.2,3.12,3.15,15000
2009-01-22,3.15,3.1,3.1,3.1,500
2009-01-23,3.1,3.05,3.05,3.05,1500
2009-01-26,3.05,2.8,2.8,2.8,500
2009-01-27,2.8,3.0,3.0,3.0,1500
2009-01-28,3.0,3.45,3.0,3.05,116500
2009-01-29,3.05,3.0,3.0,3.0,1000
2009-01-30,3.0,3.05,3.0,3.0,57500
2009-02-02,3.0,3.0,2.92,2.98,9500
2009-02-03,2.98,3.0,3.0,3.0,15500
2009-02-04,3.0,3.2,2.33,2.98,63000
2009-02-06,2.98,2.94,2.9,2.91,10000
2009-02-09,2.91,3.12,3.12,3.12,500
2009-02-10,3.12,2.95,2.95,2.95,1500
2009-02-11,2.95,3.0,3.0,3.0,49000
2009-02-13,3.0,3.1,3.0,3.09,10500
2009-02-16,3.09,3.25,2.95,3.2,25000
2009-02-17,3.2,3.0,3.0,3.0,61000
2009-02-18,3.0,3.2,2.86,3.18,30500
2009-02-19,3.18,3.23,3.0,3.0,15000
2009-02-20,3.0,2.85,2.64,2.72,7500
2009-02-23,2.72,2.8,2.8,2.8,2500
2009-02-24,2.8,3.0,2.8,2.95,34500
2009-02-25,2.95,2.8,2.7,2.75,25000
2009-02-26,2.75,2.5,2.5,2.5,1000
2009-03-02,2.5,2.88,2.2,2.42,66000
2009-03-03,2.42,3.2,2.51,2.98,26000
2009-03-04,2.98,3.0,2.7,2.82,52000
2009-03-05,2.82,2.85,2.7,2.76,36500
2009-03-06,2.76,2.84,2.7,2.71,15000
2009-03-09,2.71,2.8,2.7,2.79,16500
2009-03-12,2.79,2.88,2.78,2.85,91500
2009-03-13,2.85,3.0,2.8,2.98,57000
2009-03-16,2.98,3.2,2.6,2.61,349500
2009-03-17,2.61,2.91,2.65,2.69,213000
2009-03-18,2.69,2.71,2.6,2.71,35000
2009-03-19,2.71,2.87,2.7,2.7,107000
2009-03-20,2.7,2.7,2.6,2.64,136000
2009-03-24,2.64,2.91,2.75,2.8,120500
2009-03-25,2.8,2.8,2.7,2.8,127000
2009-03-26,2.8,2.89,2.7,2.89,16500
2009-03-27,2.89,2.85,2.84,2.84,31500
2009-03-30,2.84,3.0,2.7,2.73,111500
2009-03-31,2.73,2.9,2.8,2.8,93500
2009-04-01,2.8,2.94,2.19,2.5,341000
2009-04-02,2.5,2.83,2.6,2.72,54000
2009-04-03,2.72,2.94,2.66,2.79,187000
2009-04-06,2.79,3.06,2.8,2.99,42000
2009-04-07,2.99,3.4,3.0,3.21,427500
2009-04-08,3.21,3.3,3.0,3.19,36000
2009-04-09,3.19,3.48,3.25,3.27,48500
2009-04-10,3.27,3.4,3.1,3.34,30500
2009-04-13,3.34,3.4,3.2,3.35,85500
2009-04-14,3.35,3.3,2.99,3.2,77000
2009-04-15,3.2,3.25,3.24,3.25,23500
2009-04-16,3.25,3.4,3.4,3.4,1000
2009-04-17,3.4,3.03,2.8,2.88,191000
2009-04-20,2.88,2.99,2.88,2.97,12000
2009-04-21,2.97,2.91,2.86,2.89,28000
2009-04-22,2.89,2.85,2.7,2.78,93000
2009-04-23,2.78,2.89,2.75,2.75,31500
2009-04-24,2.75,3.25,2.65,3.13,27000
2009-04-27,3.13,2.95,2.73,2.95,24500
2009-04-28,2.95,2.9,2.69,2.84,30500
2009-04-29,2.84,2.95,2.82,2.95,7000
2009-04-30,2.95,2.94,2.8,2.94,5500
2009-05-04,2.94,2.95,2.92,2.93,25000
2009-05-05,2.93,2.99,2.81,2.97,13500
2009-05-06,2.97,2.98,2.72,2.98,4000
2009-05-08,2.98,2.92,2.6,2.92,12500
2009-05-11,2.92,3.0,3.0,3.0,1000
2009-05-12,3.0,3.03,2.98,3.0,12500
2009-05-13,3.0,3.05,2.85,3.05,61000
2009-05-14,3.05,3.03,2.9,2.99,5000
2009-05-15,2.99,3.05,3.04,3.05,7000
2009-05-18,3.05,3.1,2.66,3.02,7500
2009-05-19,3.02,3.03,2.88,3.03,1000
2009-05-20,3.03,3.0,3.0,3.0,0
2009-05-21,3.0,2.95,2.95,2.95,0
2009-05-22,2.95,3.09,3.09,3.09,1000
2009-05-25,3.09,3.1,3.1,3.1,40000
2009-05-26,3.1,3.15,3.14,3.14,11000
2009-05-27,3.14,3.18,3.0,3.08,3000
2009-05-28,3.08,3.18,2.9,2.9,2000
2009-05-29,2.9,3.25,3.14,3.2,1500
2009-06-01,3.2,3.1,2.21,3.05,63000
2009-06-02,3.05,2.99,2.81,2.94,20000
2009-06-03,2.94,2.92,2.85,2.92,5000
2009-06-04,2.92,2.99,2.98,2.99,3000
2009-06-10,2.99,3.0,2.8,2.96,12500
2009-06-11,2.96,3.0,2.9,2.91,8000
