DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2008-12-15,8.7,7.7,7.7,7.7,1000
2008-12-16,7.7,6.7,6.7,6.7,1000
2008-12-17,6.7,5.7,5.7,5.7,4000
2008-12-18,5.7,4.7,4.7,4.7,16000
2008-12-19,4.7,5.0,4.01,4.94,5074000
2008-12-22,4.94,4.8,4.26,4.36,1252000
2008-12-23,4.36,4.2,3.61,3.72,782000
2008-12-24,3.72,4.11,3.55,3.78,867000
2008-12-26,3.78,4.75,3.75,4.53,3092000
2008-12-29,4.53,5.19,4.6,5.03,1254500
2008-12-30,5.03,5.39,4.03,4.07,3049500
2008-12-31,4.07,4.75,4.2,4.66,985000
2009-01-01,4.66,4.99,4.5,4.84,1549000
2009-01-02,4.84,5.84,4.6,5.77,3048000
2009-01-05,5.77,6.77,6.1,6.77,2024000
2009-01-06,6.77,7.77,7.0,7.77,3034500
2009-01-09,7.77,8.5,7.15,7.43,2897000
2009-01-12,7.43,7.6,6.8,6.98,2145500
2009-01-13,6.98,7.5,6.52,7.03,3776000
2009-01-14,7.03,7.26,6.81,6.91,1762000
2009-01-15,6.91,6.95,6.01,6.06,1100500
2009-01-16,6.06,6.12,5.2,5.27,1289000
2009-01-19,5.27,5.86,5.1,5.79,2037500
2009-01-20,5.79,6.79,5.7,6.76,2624000
2009-01-21,6.76,7.28,6.15,6.34,2971000
2009-01-22,6.34,6.35,5.91,6.01,1821500
2009-01-23,6.01,6.08,5.3,5.44,2529500
2009-01-26,5.44,5.55,5.0,5.2,2962000
2009-01-27,5.2,6.2,5.1,6.2,2568000
2009-01-28,6.2,7.09,6.5,6.76,3804500
2009-01-29,6.76,6.94,6.0,6.35,2720000
2009-01-30,6.35,6.89,6.11,6.74,2109500
2009-02-02,6.74,6.75,6.21,6.32,2012500
2009-02-03,6.32,6.65,6.15,6.47,1494000
2009-02-04,6.47,6.95,6.25,6.76,4573500
2009-02-06,6.76,7.25,6.65,7.0,3779000
2009-02-09,7.0,7.25,6.66,6.73,2726000
2009-02-10,6.73,6.85,6.36,6.43,1231500
2009-02-11,6.43,6.72,6.2,6.55,1510000
2009-02-12,6.55,6.7,6.4,6.48,1003000
2009-02-13,6.48,7.0,6.41,6.94,2012500
2009-02-16,6.94,7.09,6.71,6.77,3016500
2009-02-17,6.77,6.84,6.45,6.51,1450500
2009-02-18,6.51,6.55,6.4,6.42,730000
2009-02-19,6.42,6.68,6.37,6.5,847000
2009-02-20,6.5,6.64,6.35,6.39,736500
2009-02-23,6.39,6.5,5.87,5.94,1412500
2009-02-24,5.94,6.45,5.95,6.14,951000
2009-02-25,6.14,6.29,5.2,5.33,1844000
2009-02-26,5.33,5.94,5.1,5.36,2741500
2009-02-27,5.36,5.49,5.25,5.28,582000
2009-03-02,5.28,5.4,5.13,5.2,527500
2009-03-03,5.2,5.23,5.0,5.13,537500
2009-03-04,5.13,5.47,5.2,5.34,1309000
2009-03-05,5.34,5.99,5.5,5.63,3765500
2009-03-06,5.63,5.65,5.37,5.41,707500
2009-03-09,5.41,5.35,5.16,5.3,332000
2009-03-11,5.3,5.35,5.1,5.13,184500
2009-03-12,5.13,5.39,5.0,5.34,543000
2009-03-13,5.34,5.35,5.2,5.29,521000
2009-03-16,5.29,6.29,6.0,6.29,2965000
2009-03-17,6.29,6.4,5.8,5.89,1898500
2009-03-18,5.89,5.9,5.65,5.82,1175500
2009-03-19,5.82,6.6,5.71,6.33,5070500
2009-03-20,6.33,7.09,6.5,6.57,7502000
2009-03-24,6.57,7.1,6.71,6.87,4127000
2009-03-25,6.87,6.98,6.41,6.47,2046000
2009-03-26,6.47,6.7,6.15,6.22,731000
2009-03-27,6.22,6.43,6.1,6.35,1318500
2009-03-30,6.35,6.83,6.37,6.48,2311500
2009-03-31,6.48,6.97,6.25,6.46,3983000
2009-04-01,6.46,7.05,6.4,6.67,5770500
2009-04-02,6.67,7.13,6.65,6.95,5792500
2009-04-03,6.95,7.65,7.0,7.47,10468000
2009-04-06,7.47,7.7,7.26,7.51,3346500
2009-04-07,7.51,7.75,7.46,7.51,2969000
2009-04-08,7.51,7.5,6.71,6.92,2925500
2009-04-09,6.92,7.2,6.7,6.82,1441500
2009-04-10,6.82,7.82,6.8,7.82,5262000
2009-04-13,7.82,8.82,8.25,8.51,12339500
2009-04-14,8.51,8.5,7.76,7.81,4939500
2009-04-15,7.81,7.82,7.4,7.59,2383000
2009-04-16,7.59,8.09,7.25,7.43,2304000
2009-04-17,7.43,7.79,7.25,7.58,1133500
2009-04-20,7.58,7.85,7.45,7.54,1207500
2009-04-21,7.54,7.7,6.65,7.04,2498500
2009-04-22,7.04,7.18,6.8,6.86,979500
2009-04-23,6.86,7.3,6.5,6.68,1309000
2009-04-24,6.68,7.09,6.52,6.96,1163500
2009-04-27,6.96,6.99,6.25,6.3,1226500
2009-04-28,6.3,6.49,6.05,6.32,1023500
2009-04-29,6.32,6.39,6.05,6.22,1143500
2009-04-30,6.22,6.13,5.95,5.99,836500
2009-05-04,5.99,6.99,6.0,6.99,3555000
2009-05-05,6.99,7.99,7.25,7.57,6871000
2009-05-06,7.57,7.64,7.16,7.24,2091000
2009-05-07,7.24,7.25,6.88,6.99,1080500
2009-05-08,6.99,7.99,6.81,7.49,5133000
2009-05-11,7.49,7.75,7.33,7.36,914000
2009-05-12,7.36,7.85,7.38,7.52,1927000
2009-05-13,7.52,7.89,7.33,7.36,2197500
2009-05-14,7.36,8.36,7.45,8.26,15541500
2009-05-15,8.26,8.6,8.02,8.09,7774000
