TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
08-Oct-20,9.47,9.47,8.5,9.45,2500
07-Oct-20,9.48,9.48,9.48,9.48,1000
06-Oct-20,9.0,9.1,9.0,9.1,2000
05-Oct-20,9.0,9.0,9.0,9.0,1500
01-Oct-20,9.01,9.5,9.0,9.5,2000
29-Sep-20,9.45,9.45,9.45,9.45,500
28-Sep-20,9.0,9.13,9.0,9.12,2000
25-Sep-20,9.65,9.69,9.65,9.69,3000
24-Sep-20,9.69,9.69,9.65,9.65,1500
23-Sep-20,9.25,9.75,9.25,9.54,3000
22-Sep-20,9.6,10.0,9.6,10.0,18500
21-Sep-20,9.65,9.65,9.65,9.65,500
18-Sep-20,9.7,9.89,9.05,9.7,10000
17-Sep-20,9.5,9.5,9.5,9.5,1500
16-Sep-20,9.05,9.05,9.05,9.05,1000
15-Sep-20,9.1,9.55,8.99,8.99,11000
11-Sep-20,9.99,9.99,9.99,9.99,1000
08-Sep-20,9.3,9.75,9.3,9.75,2500
07-Sep-20,9.99,10.0,9.99,10.0,7000
04-Sep-20,9.0,9.7,9.0,9.7,1500
01-Sep-20,9.7,9.7,9.7,9.7,1000
28-Aug-20,8.71,8.71,8.71,8.71,500
27-Aug-20,9.7,9.7,9.7,9.7,1000
25-Aug-20,9.11,9.75,9.11,9.43,2000
24-Aug-20,9.06,9.75,9.05,9.75,3500
13-Aug-20,9.88,10.0,9.88,10.0,4000
10-Aug-20,9.02,9.1,9.02,9.1,2500
06-Aug-20,10.0,10.0,9.1,10.0,6000
05-Aug-20,8.92,10.1,8.92,10.1,2500
04-Aug-20,9.45,10.39,9.45,9.92,1000
03-Aug-20,9.44,9.44,9.44,9.44,7000
29-Jul-20,8.3,8.57,8.3,8.44,17000
28-Jul-20,7.57,7.57,7.57,7.57,1000
24-Jul-20,7.55,7.55,7.55,7.55,1500
22-Jul-20,7.55,7.55,7.55,7.55,500
20-Jul-20,0.0,7.5,7.5,7.5,0
17-Jul-20,7.5,7.5,7.5,7.5,500
16-Jul-20,0.0,7.43,7.43,7.43,0
15-Jul-20,0.0,7.26,7.26,7.26,0
14-Jul-20,7.16,7.16,7.16,7.16,1000
10-Jul-20,0.0,7.06,7.06,7.06,0
09-Jul-20,7.0,7.0,7.0,7.0,500
01-Jul-20,8.0,8.0,8.0,8.0,500
26-Jun-20,8.0,8.0,8.0,8.0,500
23-Jun-20,8.0,8.0,8.0,8.0,1000
22-Jun-20,8.0,8.0,8.0,8.0,500
18-Jun-20,8.0,8.0,8.0,8.0,2500
17-Jun-20,7.25,7.25,7.25,7.25,1000
16-Jun-20,7.25,7.25,7.25,7.25,500
15-Jun-20,0.0,7.26,7.26,7.1,1000
10-Jun-20,7.1,7.1,7.1,7.1,5000
09-Jun-20,7.02,7.02,7.02,7.02,1000
08-Jun-20,0.0,7.02,7.02,7.02,0
04-Jun-20,0.0,7.01,7.01,7.01,0
03-Jun-20,7.0,7.0,7.0,7.0,500
21-May-20,7.11,7.11,7.11,7.11,500
13-May-20,0.0,7.02,7.02,7.02,0
12-May-20,7.01,7.01,7.01,7.01,1000
11-May-20,7.5,7.5,7.5,7.5,1000
05-May-20,7.21,8.2,7.21,8.2,1000
04-May-20,8.0,8.0,8.0,8.0,500
29-Apr-20,7.0,7.0,7.0,7.0,500
28-Apr-20,7.11,7.11,7.0,7.0,3500
27-Apr-20,7.51,7.51,7.51,7.51,1500
06-Apr-20,7.51,7.51,7.51,7.51,500
01-Apr-20,7.5,7.5,7.5,7.5,500
11-Mar-20,7.39,7.39,7.37,7.5,2500
10-Mar-20,7.3,7.59,7.3,7.5,2500
09-Mar-20,8.0,8.0,8.0,8.0,500
05-Mar-20,8.1,8.1,8.1,8.1,2000
03-Mar-20,8.01,8.01,8.01,8.3,1000
02-Mar-20,8.03,8.03,8.03,8.3,2000
27-Feb-20,8.3,8.3,8.3,8.3,2000
24-Feb-20,9.3,9.3,9.3,9.3,7000
21-Feb-20,9.3,9.3,9.3,9.3,6500
18-Feb-20,9.0,9.0,9.0,9.0,5000
17-Feb-20,9.0,9.0,9.0,9.0,500
14-Feb-20,9.0,9.0,9.0,9.0,500
13-Feb-20,9.0,9.0,9.0,9.0,1000
12-Feb-20,9.0,9.0,9.0,9.0,500
11-Feb-20,9.0,9.0,9.0,9.0,1000
10-Feb-20,0.0,8.77,8.77,8.77,0
07-Feb-20,8.76,8.76,8.76,8.76,500
04-Feb-20,8.77,8.77,8.77,8.76,1500
03-Feb-20,8.76,8.76,8.76,8.76,500
29-Jan-20,8.75,8.75,8.75,8.75,4000
27-Jan-20,9.0,9.0,9.0,9.0,500
22-Jan-20,9.0,9.0,9.0,9.0,5000
20-Jan-20,0.0,9.91,9.91,9.91,0
17-Jan-20,0.0,9.93,9.93,9.93,0
09-Jan-20,10.0,10.0,10.0,10.0,500
08-Jan-20,0.0,9.97,9.97,9.97,0
06-Jan-20,0.0,9.98,9.98,9.98,0
03-Jan-20,0.0,10.0,10.0,10.0,0
31-Dec-19,10.0,10.0,10.0,10.0,500
30-Dec-19,9.5,9.5,9.49,9.49,1000
18-Dec-19,8.55,8.55,8.55,8.55,500
17-Dec-19,8.55,8.55,8.55,8.55,6000
16-Dec-19,8.55,8.55,8.55,8.55,3000
10-Dec-19,8.58,8.58,8.55,8.55,2000
09-Dec-19,8.55,8.99,8.55,8.99,1000
05-Dec-19,8.55,8.55,8.55,8.55,2000
25-Nov-19,8.5,8.5,8.5,8.5,1000
21-Nov-19,7.77,7.77,7.77,7.77,500
20-Nov-19,8.75,8.75,8.75,8.75,500
18-Nov-19,7.75,7.75,7.75,7.75,500
12-Nov-19,8.6,8.6,8.4,8.5,3000
08-Nov-19,8.09,9.0,8.09,9.0,9000
07-Nov-19,8.42,9.84,8.4,9.0,12500
06-Nov-19,9.0,9.4,9.0,9.4,1000
05-Nov-19,8.5,8.5,7.0,8.47,7500
04-Nov-19,7.5,7.5,7.5,7.5,500
28-Oct-19,6.5,6.5,6.5,6.5,500
24-Oct-19,7.0,7.25,7.0,7.03,4000
23-Oct-19,7.0,7.0,7.0,7.0,1000
22-Oct-19,7.0,7.0,7.0,7.0,500
10-Oct-19,0.0,7.21,7.21,7.21,0
09-Oct-19,7.05,7.05,7.05,7.05,500
08-Oct-19,8.0,8.0,8.0,8.0,500
25-Sep-19,9.0,9.0,9.0,9.0,500
24-Sep-19,7.25,8.99,7.25,8.99,1500
19-Sep-19,8.0,8.0,8.0,8.0,3000
17-Sep-19,7.0,7.0,7.0,7.0,1000
12-Sep-19,7.45,7.45,7.45,7.45,500
22-Aug-19,8.45,8.45,8.45,8.45,500
21-Aug-19,6.49,8.0,6.49,8.0,1500
08-Aug-19,0.0,7.5,7.5,7.49,500
06-Aug-19,7.49,7.49,7.49,7.49,1000
24-Jul-19,7.51,8.49,7.35,8.49,4500
23-Jul-19,7.51,7.51,7.51,7.51,1000
18-Jul-19,7.51,7.51,7.51,7.51,500
16-Jul-19,8.5,8.5,8.5,8.5,500
04-Jul-19,9.0,9.0,9.0,9.0,500
28-Jun-19,10.0,10.0,10.0,10.0,1000
27-Jun-19,10.0,10.0,10.0,10.0,1500
26-Jun-19,8.0,9.0,8.0,9.0,3000
24-Jun-19,8.0,8.0,8.0,8.0,500
20-Jun-19,8.0,8.0,8.0,8.0,500
17-Jun-19,8.0,9.0,8.0,9.0,1500
22-May-19,9.0,9.0,9.0,9.0,1000
17-May-19,10.0,10.0,10.0,10.0,500
10-May-19,0.0,10.0,10.0,9.1,11500
08-May-19,9.1,9.1,9.1,9.1,2500
07-May-19,9.26,9.26,9.26,9.26,1000
06-May-19,0.0,10.09,10.09,10.09,0
03-May-19,9.26,10.15,9.26,10.15,8000
02-May-19,9.26,9.26,9.26,9.26,10500
29-Apr-19,9.26,9.26,9.26,9.26,1000
24-Apr-19,0.0,9.41,9.41,9.41,0
19-Apr-19,9.2,9.2,9.2,9.2,500
17-Apr-19,9.39,9.39,9.39,9.39,500
16-Apr-19,0.0,9.5,9.5,9.6,1000
10-Apr-19,0.0,9.5,9.5,9.6,500
03-Apr-19,9.6,9.6,9.6,9.6,11500
02-Apr-19,9.45,9.45,9.45,9.45,61000
29-Mar-19,10.0,10.0,10.0,10.0,500
28-Mar-19,9.45,9.45,9.45,9.45,1000
22-Mar-19,0.0,10.0,10.0,9.62,6000
18-Mar-19,8.9,9.86,8.9,9.62,2500
15-Mar-19,10.0,10.0,9.45,9.86,2000
12-Mar-19,9.45,9.45,9.45,9.45,500
06-Mar-19,9.35,9.35,9.35,9.35,3500
05-Mar-19,9.45,9.45,9.45,9.45,2500
04-Mar-19,9.11,9.11,9.11,9.11,2000
01-Mar-19,9.1,9.1,9.1,9.1,500
28-Feb-19,9.5,9.5,9.5,9.5,2000
26-Feb-19,9.5,9.5,9.5,9.5,500
25-Feb-19,9.25,9.25,9.25,9.25,500
21-Feb-19,9.25,9.25,9.25,9.25,500
20-Feb-19,9.25,9.25,9.25,9.25,500
19-Feb-19,9.7,10.0,9.7,9.85,1000
13-Feb-19,10.0,10.0,9.11,9.55,3500
12-Feb-19,9.25,10.0,9.25,10.0,1500
08-Feb-19,10.0,10.0,10.0,10.0,1000
07-Feb-19,9.25,9.25,9.25,9.25,1000
25-Jan-19,9.99,10.0,9.9,9.93,6000
24-Jan-19,9.0,9.95,9.0,9.11,7000
23-Jan-19,9.19,9.19,9.0,9.0,11000
22-Jan-19,8.75,9.79,8.75,9.79,6500
21-Jan-19,9.11,9.11,9.11,9.11,500
18-Jan-19,9.15,9.15,9.15,9.15,1500
16-Jan-19,7.42,9.39,7.42,9.39,1000
15-Jan-19,8.39,8.39,8.39,8.39,500
14-Jan-19,9.39,9.39,9.39,9.39,500
08-Jan-19,9.43,9.43,9.43,9.43,500
03-Jan-19,9.49,9.49,9.4,9.4,1500
31-Dec-18,10.0,10.0,10.0,10.0,500
28-Dec-18,10.45,10.45,10.45,10.45,500
26-Dec-18,0.0,9.45,9.45,9.45,10000
24-Dec-18,10.0,10.0,9.45,9.45,1500
21-Dec-18,9.51,9.51,9.51,9.51,1000
20-Dec-18,9.29,9.29,9.05,9.05,5000
17-Dec-18,0.0,9.33,0.0,9.33,0
14-Dec-18,9.12,9.32,9.12,9.31,1500
11-Dec-18,9.7,9.7,9.7,9.7,500
10-Dec-18,9.7,9.7,9.7,9.7,10000
07-Dec-18,9.6,9.6,9.1,9.1,2000
04-Dec-18,10.0,10.0,9.6,10.0,3000
03-Dec-18,9.6,10.0,9.6,10.0,1500
30-Nov-18,10.0,10.0,10.0,10.0,500
29-Nov-18,9.99,9.99,9.99,9.99,500
28-Nov-18,9.65,9.65,9.65,9.65,500
27-Nov-18,9.9,9.9,9.7,9.7,1500
26-Nov-18,9.61,9.61,9.61,9.61,1000
19-Nov-18,9.61,9.61,9.61,9.61,1000
16-Nov-18,9.1,9.1,9.1,9.1,2000
13-Nov-18,10.05,10.05,10.05,10.05,500
12-Nov-18,10.0,10.05,10.0,10.05,1000
09-Nov-18,10.0,10.0,10.0,10.0,500
08-Nov-18,9.6,9.61,9.6,9.61,2000
07-Nov-18,9.5,10.0,9.5,10.0,1500
06-Nov-18,9.76,9.76,9.76,9.76,500
02-Nov-18,9.8,9.8,9.8,9.8,1000
01-Nov-18,9.8,9.8,9.8,9.8,500
30-Oct-18,9.51,9.6,9.51,9.6,2000
29-Oct-18,9.51,9.51,9.5,9.5,1000
26-Oct-18,10.0,10.0,10.0,10.0,2500
25-Oct-18,10.2,10.5,10.0,10.0,40000
24-Oct-18,10.15,10.15,10.0,10.15,40500
23-Oct-18,9.7,10.05,9.25,10.05,501500
22-Oct-18,9.9,9.99,9.9,9.99,1000
19-Oct-18,9.25,9.25,9.25,9.25,500
18-Oct-18,9.25,9.9,9.25,9.9,1500
17-Oct-18,9.65,9.65,9.65,9.65,500
15-Oct-18,0.0,9.69,0.0,9.69,0
12-Oct-18,9.5,9.5,9.5,9.5,500
10-Oct-18,9.9,9.9,9.9,9.9,500
09-Oct-18,9.95,9.95,9.95,9.95,32500
04-Oct-18,9.65,9.9,9.65,9.9,4500
