DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-24,9.06,9.06,9.0,9.06,31500
2020-03-25,8.74,8.77,8.58,8.7,124000
2020-03-26,8.78,8.88,8.55,8.67,40000
2020-03-27,8.66,8.8,8.6,8.8,18500
2020-03-30,8.78,8.78,8.5,8.5,5000
2020-03-31,8.92,8.92,8.8,8.88,8000
2020-04-01,9.27,9.27,9.18,9.2,186500
2020-04-02,9.42,9.42,9.42,9.42,155500
2020-04-03,10.12,10.12,9.8,10.12,114500
2020-04-06,10.0,10.0,9.7,9.72,172500
2020-04-07,9.75,9.87,9.75,9.85,137500
2020-04-08,9.83,9.85,9.75,9.85,223500
2020-04-09,10.1,10.25,10.08,10.13,180000
2020-04-10,9.91,10.07,9.91,9.91,158000
2020-04-13,10.0,10.07,9.79,9.81,237000
2020-04-14,9.91,9.91,9.79,9.8,223500
2020-04-15,9.93,9.93,9.72,9.74,133500
2020-04-16,9.78,9.78,9.75,9.75,163000
2020-04-17,10.25,10.48,10.25,10.4,50500
2020-04-20,10.45,11.1,10.15,10.94,257000
2020-04-21,10.15,10.33,10.12,10.13,397000
2020-04-22,9.91,9.95,9.78,9.95,113500
2020-04-23,10.06,10.07,9.82,10.07,8500
2020-04-24,10.15,10.15,10.15,10.15,15000
2020-04-27,10.01,10.06,10.01,10.05,4500
2020-04-28,9.96,10.09,9.96,10.09,4000
2020-04-29,10.2,10.2,10.07,10.11,25500
2020-04-30,10.2,10.69,10.2,10.57,72000
2020-05-04,10.42,10.59,10.38,10.46,44000
2020-05-05,10.61,10.61,10.61,10.61,5000
2020-05-06,10.5,10.5,10.5,10.5,6000
2020-05-07,10.46,10.48,10.45,10.47,27500
2020-05-08,10.47,10.47,10.21,10.21,8000
2020-05-11,10.27,10.27,10.27,10.27,4000
2020-05-12,10.23,10.64,10.23,10.64,1000
2020-05-13,10.23,10.23,10.23,10.23,3000
2020-05-15,10.25,10.28,10.25,10.26,15500
2020-05-18,10.36,10.95,10.25,10.25,12500
2020-05-19,10.5,10.5,10.35,10.37,20500
2020-05-20,10.5,10.5,10.5,10.5,1500
2020-05-28,10.39,10.39,10.38,10.38,1000
2020-05-29,10.45,10.45,10.45,10.45,500
2020-06-01,10.4,10.4,10.4,10.4,500
2020-06-02,10.5,10.58,10.5,10.5,30500
2020-06-03,10.47,10.47,10.47,10.47,1000
2020-06-04,10.35,10.35,10.35,10.35,500
2020-06-05,10.4,10.4,10.34,10.35,5500
2020-06-08,0.0,10.5,10.5,10.5,0
2020-06-09,10.77,10.77,10.46,10.48,12000
2020-06-10,10.5,10.9,10.5,10.9,13000
2020-06-12,0.0,10.61,10.61,10.61,0
2020-06-15,10.51,10.51,10.16,10.16,13000
2020-06-16,10.25,10.25,10.25,10.25,2500
2020-06-17,10.3,10.3,10.3,10.3,17000
2020-06-18,10.11,10.33,10.11,10.33,4000
2020-06-19,10.05,10.05,10.05,10.05,4000
2020-06-23,0.0,10.17,10.17,10.17,0
2020-06-24,0.0,10.18,10.18,10.18,0
2020-06-25,10.1,10.25,10.1,10.25,3000
2020-06-29,0.0,10.35,10.35,10.25,250000
2020-06-30,10.35,10.35,10.35,10.35,152500
2020-07-01,0.0,10.7,10.7,10.35,1000
2020-07-02,0.0,10.3,10.3,10.3,0
2020-07-03,10.1,10.1,10.1,10.1,1000
2020-07-06,10.0,10.0,10.0,10.0,1500
2020-07-07,10.1,10.1,10.0,10.0,1000
2020-07-08,10.05,10.05,10.05,10.05,5000
2020-07-09,0.0,10.69,10.69,10.05,1000
2020-07-13,10.65,10.8,10.65,10.8,24500
2020-07-14,10.76,10.76,10.76,10.76,8000
2020-07-15,11.03,11.03,10.87,11.03,9500
2020-07-16,10.95,11.1,10.95,11.1,25000
2020-07-17,10.97,10.97,10.96,10.96,3000
2020-07-20,11.06,11.06,11.06,11.06,1000
2020-07-21,11.18,11.2,11.18,11.2,5500
2020-07-24,11.06,11.14,11.06,11.06,2000
2020-07-27,11.21,11.4,11.21,11.4,2000
2020-07-28,11.5,11.5,11.5,11.5,19000
2020-07-29,11.67,11.67,11.61,11.67,13000
2020-07-30,11.59,11.6,11.59,11.6,2000
2020-08-03,0.0,11.6,11.6,11.6,0
2020-08-04,0.0,11.84,11.84,11.6,500
2020-08-05,11.82,11.82,11.82,11.82,500
2020-08-06,11.81,11.81,11.79,11.79,5500
2020-08-07,11.85,11.85,11.85,11.85,1500
2020-08-10,11.76,11.76,11.76,11.76,1000
2020-08-11,11.67,11.83,11.67,11.83,2000
2020-08-12,12.03,12.1,12.03,12.1,7000
2020-08-13,12.3,13.0,12.3,13.0,1500
2020-08-17,12.75,12.75,12.03,12.35,5500
2020-08-19,12.75,12.75,12.0,12.0,14000
2020-08-24,11.16,12.0,11.16,12.0,2500
2020-08-25,12.8,12.8,11.72,11.76,25500
2020-08-26,11.8,11.82,11.66,11.82,17000
2020-08-27,11.92,12.03,11.86,12.03,21000
2020-08-31,12.03,12.03,11.97,12.03,1000
2020-09-01,11.91,11.91,11.91,11.91,1000
2020-09-02,0.0,11.85,11.85,11.91,500
2020-09-03,11.9,12.06,11.9,12.02,22500
2020-09-07,11.9,11.9,11.9,11.9,1000
2020-09-08,0.0,11.99,11.99,11.9,3000
2020-09-09,11.8,11.8,11.8,11.8,1000
2020-09-10,12.03,12.03,12.03,12.03,2500
2020-09-11,12.17,12.17,12.17,12.17,10500
2020-09-14,12.0,12.0,12.0,12.0,2000
2020-09-15,11.99,12.16,11.99,12.16,2500
2020-09-16,0.0,12.13,12.13,12.13,0
2020-09-21,11.99,12.01,11.99,12.01,22000
2020-09-22,11.78,11.78,11.78,11.78,5500
2020-09-23,0.0,11.79,11.79,11.79,0
2020-09-28,11.89,11.89,11.73,11.74,4000
2020-09-29,11.56,11.56,11.56,11.56,1000
2020-09-30,11.8,11.8,11.8,11.8,1000
2020-10-01,11.8,11.8,11.8,11.8,10000
2020-10-02,11.69,11.69,11.62,11.62,12000
2020-10-05,0.0,11.41,11.41,11.62,500
2020-10-06,11.36,11.36,11.36,11.36,5000
2020-10-07,11.18,11.36,11.18,11.21,15000
2020-10-08,0.0,11.32,11.32,11.32,0
2020-10-09,11.46,11.46,11.46,11.46,2500
