TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
24-May-24,22.0,22.200000762939453,21.1200008392334,22.170000076293945,7467294
23-May-24,18.309999465942383,20.68000030517578,18.309999465942383,20.649999618530277,25498000
22-May-24,19.239999771118164,19.239999771118164,19.239999771118164,19.239999771118164,384294
21-May-24,20.799999237060547,20.799999237060547,20.799999237060547,20.799999237060547,1253868
20-May-24,22.489999771118164,22.979999542236328,22.489999771118164,22.489999771118164,5756959
17-May-24,26.450000762939453,26.700000762939453,24.239999771118164,24.309999465942383,28760119
16-May-24,25.36000061035156,26.940000534057617,25.350000381469727,26.200000762939453,34846148
15-May-24,25.0,25.459999084472656,24.600000381469727,25.059999465942383,7875781
14-May-24,25.46999931335449,25.46999931335449,24.21999931335449,24.520000457763672,4792013
13-May-24,25.38999938964844,25.549999237060547,25.049999237060547,25.36000061035156,6398934
10-May-24,24.940000534057617,25.309999465942383,24.600000381469727,25.040000915527344,7475111
09-May-24,24.0,24.899999618530277,23.549999237060547,24.71999931335449,8756262
08-May-24,25.0,25.399999618530277,23.520000457763672,23.940000534057617,10473219
07-May-24,27.51000022888184,27.850000381469727,25.07999992370605,25.43000030517578,13582773
06-May-24,26.51000022888184,26.51000022888184,26.01000022888184,26.51000022888184,4555380
03-May-24,24.489999771118164,25.549999237060547,24.0,24.65999984741211,8031688
02-May-24,25.5,25.5,24.18000030517578,24.190000534057617,15727217
29-May-20,4.33,4.4,4.27,4.32,572000
28-May-20,4.31,4.34,4.25,4.3,1643000
21-May-20,4.62,4.66,4.56,4.6,730500
20-May-20,4.99,4.99,4.62,4.71,1934000
19-May-20,4.66,5.06,4.66,4.83,6080000
18-May-20,4.55,4.56,4.3,4.32,949500
15-May-20,4.3,4.5,4.3,4.41,2244500
14-May-20,4.1,4.28,4.1,4.25,1104500
13-May-20,4.1,4.19,4.08,4.08,373000
12-May-20,4.15,4.23,4.06,4.13,1110500
11-May-20,4.1,4.14,4.0,4.08,338000
08-May-20,4.06,4.06,3.97,3.99,275500
07-May-20,4.05,4.1,4.03,4.08,321500
06-May-20,4.05,4.08,4.0,4.03,669500
05-May-20,4.19,4.2,4.0,4.04,648000
04-May-20,4.2,4.2,4.0,4.09,294000
30-May-19,5.19,5.34,4.95,5.12,1051500
29-May-19,4.89,5.25,4.89,5.16,1477500
28-May-19,5.15,5.2,4.77,4.81,872500
27-May-19,5.44,5.49,5.06,5.11,1810500
24-May-19,5.65,5.65,5.25,5.33,1678000
23-May-19,5.28,5.81,5.06,5.64,4804000
22-May-19,5.0,5.04,4.7,5.04,3705000
21-May-19,4.2,4.3,3.89,4.04,1502500
20-May-19,3.26,4.23,3.25,4.01,1601500
17-May-19,3.6,3.6,3.01,3.23,1439000
16-May-19,4.06,4.1,3.53,3.7,3376000
15-May-19,4.35,4.37,4.06,4.11,2056500
14-May-19,4.2,4.53,4.16,4.29,1414000
13-May-19,5.29,5.39,4.15,4.46,2182500
10-May-19,5.14,5.16,5.13,5.14,118000
09-May-19,4.95,5.23,4.95,5.14,232000
08-May-19,5.09,5.15,4.9,4.95,791000
07-May-19,5.3,5.35,5.0,5.11,569500
06-May-19,5.4,5.4,5.16,5.2,601500
03-May-19,5.45,5.49,5.3,5.33,505000
02-May-19,5.21,5.5,5.21,5.45,4995500
31-May-18,4.61,4.61,4.5,4.55,214500
30-May-18,4.58,4.62,4.53,4.59,116000
29-May-18,4.6,4.6,4.52,4.58,97000
28-May-18,4.59,4.62,4.45,4.6,531000
25-May-18,4.5,4.53,4.42,4.5,74500
24-May-18,4.7,4.7,4.48,4.5,270500
