DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2008-12-30,83.79,79.61,79.61,79.61,100
2009-01-01,79.61,75.63,75.63,75.63,100
2009-01-05,75.63,71.85,71.85,71.85,6100
2009-01-06,71.85,68.26,68.26,68.26,6500
2009-01-09,68.26,64.85,64.85,64.85,2800
2009-01-12,64.85,61.61,61.61,61.61,300
2009-01-13,61.61,58.53,58.53,58.53,1100
2009-01-14,58.53,55.61,55.61,55.61,1500
2009-01-15,55.61,52.83,52.83,52.83,100
2009-01-16,52.83,50.19,50.19,50.19,100
2009-01-19,50.19,47.69,47.69,47.69,200
2009-01-20,47.69,45.31,45.31,45.31,1300
2009-01-21,45.31,43.05,43.05,43.05,100
2009-01-22,43.05,40.9,40.9,40.9,1000
2009-01-23,40.9,38.86,38.86,38.86,1100
2009-01-26,38.86,40.8,36.92,40.8,75700
2009-01-27,40.8,42.84,39.5,42.84,108600
2009-01-28,42.84,44.98,42.26,44.5,31600
2009-01-29,44.5,46.72,45.7,46.59,78800
2009-01-30,46.59,48.91,48.0,48.9,24700
2009-02-02,48.9,50.95,48.5,50.0,94600
2009-02-03,50.0,50.0,47.5,47.81,36800
2009-02-04,47.81,49.8,46.5,48.22,66900
2009-02-06,48.22,50.63,46.01,50.63,223700
2009-02-09,50.63,53.16,50.25,52.19,30100
2009-02-10,52.19,54.79,50.9,53.94,105400
2009-02-11,53.94,54.01,52.0,52.34,26300
2009-02-12,52.34,54.95,52.95,54.9,596500
2009-02-13,54.9,57.64,54.02,56.94,34300
2009-02-16,56.94,59.78,57.0,59.78,119100
2009-02-17,59.78,62.75,59.0,62.12,43500
2009-02-18,62.12,65.22,63.0,65.22,237900
2009-02-19,65.22,68.48,66.0,67.0,72900
2009-02-20,67.0,70.0,63.65,66.39,36800
2009-02-23,66.39,65.0,63.08,63.08,9900
2009-02-24,63.08,63.35,59.93,60.93,48000
2009-02-25,60.93,59.0,57.89,57.89,6000
2009-02-26,57.89,57.49,55.0,55.15,15700
2009-02-27,55.15,54.0,53.0,53.27,2400
2009-03-02,53.27,51.9,50.61,50.61,22600
2009-03-03,50.61,49.8,48.15,49.23,6200
2009-03-04,49.23,51.69,50.0,51.52,59800
2009-03-05,51.52,54.09,54.09,54.09,22300
2009-03-06,54.09,55.5,51.39,51.4,67100
2009-03-09,51.4,50.1,49.02,49.55,8200
2009-03-11,49.55,50.3,48.0,48.3,23300
2009-03-12,48.3,50.71,48.5,50.02,30600
2009-03-13,50.02,50.8,49.21,49.93,9100
2009-03-16,49.93,52.42,52.0,52.42,64100
2009-03-17,52.42,54.5,51.5,52.33,81000
2009-03-18,52.33,53.0,51.5,52.82,30500
2009-03-19,52.82,53.25,51.55,52.02,30800
2009-03-20,52.02,53.0,51.0,51.56,19800
2009-03-24,51.56,54.0,51.55,53.89,41900
2009-03-25,53.89,56.0,54.0,55.16,43900
2009-03-26,55.16,55.0,53.5,54.17,38700
2009-03-27,54.17,56.0,53.5,55.28,23400
2009-03-30,55.28,58.0,56.0,57.06,30900
