ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0023901017,POL,Pakistan Oilfields Limited.(XD) ,384.98,4.23,129759509,49954815774.82,129759509,49954815774.82,446261
PK0081801018,PPL,Pakistan Petroleum Limited. ,90.55,5.11,666201713,60324565112.15,666201713,60324565112.15,2754496
PK0022501016,PSO,Pakistan State Oil Co Ltd. ,208.1,3.73,211262985,43963827178.5,211262985,43963827178.5,3059913
PK0061701014,SEARL,The Searle Company Ltd. ,262.11,2.12,95591360,25055451369.6,95591360,25055451369.6,587508
PK0078701015,BAFL,Bank Alfalah Ltd. ,34.97,2.11,710866048,24858985698.56,710866048,24858985698.56,330099
PK0051601018,BAHL,Bank Al-Habib Ltd. ,62.61,3.83,722426520,45231124417.2,722426520,45231124417.2,884364
PK0045001010,BOP,Bank Of Punjab. ,9.25,0.88,1115986617,10322876207.25,1115986617,10322876207.25,14270500
PK0029801013,CHCC,Cherat Cement Co. Ltd. ,124.34,1.13,106862271,13287254776.14,106862271,13287254776.14,985500
PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,109.58,2.03,219059559,24004546475.22,219059559,24004546475.22,2291871
PK0099701010,EFERT,Engro Fertilizers Limited. ,61.27,3.12,600884719,36816206733.13,600884719,36816206733.13,1082656
PK0012101017,ENGRO,Engro Corporation Limited. ,300.74,8.08,316889777,95301431534.98,316889777,95301431534.98,301106
PK0074501013,FCCL,Fauji Cement Co Ltd. ,20.35,1.31,758898264,15443579672.4,758898264,15443579672.4,8294000
PK0053401011,FFC,Fauji Fertilizer Co. Ltd. ,107.39,6.37,699731036,75144115956.04,699731036,75144115956.04,546664
PK0108001014,HASCOL,Hascol Petroleum Ltd. ,16.69,0.85,599472408,10005194489.52,599472408,10005194489.52,53935339
PK0085101019,HBL,Habib Bank Limited. ,136.85,8.51,733426254,100369382859.9,733426254,100369382859.9,849739
PK0065001015,HUBC,Hub Power Company Limited. ,79.25,6.54,972865790,77099613857.5,972865790,77099613857.5,1255797
PK0102001010,ISL,International Steels Limited. ,72.92,0.81,130500000,9516060000.0,130500000,9516060000.0,1498500
PK0071501016,LUCK,Lucky Cement Limited. ,654.95,7.18,129350000,84717782500.0,129350000,84717782500.0,446269
PK0066301018,MARI,Mari Petroleum Company Ltd. ,1328.88,3.01,26680500,35455182840.0,26680500,35455182840.0,23780
PK0055601014,MCB,MCB Bank Limited. ,176.45,6.2,414771002,73186343302.9,414771002,73186343302.9,299880
PK0077401013,MEBL,Meezan Bank Limited. ,81.9,2.46,353680696,28966449002.4,353680696,28966449002.4,575074
PK0066201010,MLCF,Maple Leaf Cement Factory Ltd. ,38.81,1.63,494255804,19182067753.24,494255804,19182067753.24,10268322
PK0078001010,NBP,National Bank Of Pakistan. ,38.67,1.66,506995587,19605519349.29,506995587,19605519349.29,1175500
PK0005501017,NML,Nishat Mills Ltd. ,102.36,1.37,158219932,16195392239.52,158219932,16195392239.52,1059000
PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,105.5,5.77,645139260,68062191930.0,645139260,68062191930.0,1942314
PK0034601010,PAEL,Pak Elektron Ltd. ,34.56,0.73,248840743,8599936078.08,248840743,8599936078.08,12493000
PK0008901016,SNGP,Sui Northern Gas Pipe Line Ltd. ,61.33,1.48,285397499,17503428613.67,285397499,17503428613.67,1472184
PK0079201015,TRG,TRG Pakistan Ltd. ,49.01,1.93,463582065,22720157005.65,463582065,22720157005.65,21436500
PK0081901016,UBL,United Bank Ltd. ,122.88,5.1,489671875,60170880000.0,489671875,60170880000.0,812785
PK0068801015,UNITY,Unity Foods Limited. ,17.16,0.72,497025000,8528949000.0,497025000,8528949000.0,34986500
