ISIN,SYMBOL,COMPANY,PRICE,IDX WT %,FF BASED SHARES,FF BASED MCAP,ORD SHARES,ORD SHARES MCAP,Volume
PK0023901017,POL,Pakistan Oilfields Limited.(XD) ,384.98,6.47,129759509,49954815774.82,90631773,34891419969.54,446261
PK0081801018,PPL,Pakistan Petroleum Limited. ,90.55,7.81,666201713,60324565112.15,465314973,42134270805.15,2754496
PK0022501016,PSO,Pakistan State Oil Co Ltd. ,208.1,10.97,211262985,43963827178.5,284379455,59179364585.5,3059913
PK0061701014,SEARL,The Searle Company Ltd. ,262.11,6.25,95591360,25055451369.6,128674783,33726947372.13,587508
PK0052401012,DGKC,D. G. Khan Cement Co. Ltd. ,109.58,5.72,219059559,24004546475.22,281364299,30831899884.42,2291871
PK0099701010,EFERT,Engro Fertilizers Limited. ,61.27,9.19,600884719,36816206733.13,808846230,49558008512.1,1082656
PK0012101017,ENGRO,Engro Corporation Limited. ,300.74,15.31,316889777,95301431534.98,274675157,82605806716.18,301106
PK0108001014,HASCOL,Hascol Petroleum Ltd. ,16.69,4.5,599472408,10005194489.52,1455967644,24300099978.36,53935339
PK0071501016,LUCK,Lucky Cement Limited. ,654.95,15.73,129350000,84717782500.0,129512840,84824434558.0,446269
PK0066201010,MLCF,Maple Leaf Cement Factory Ltd. ,38.81,4.72,494255804,19182067753.24,656673353,25485492829.93,10268322
PK0080201012,OGDC,Oil & Gas Development Company Ltd. ,105.5,8.81,645139260,68062191930.0,450603701,47538690455.5,1942314
PK0008901016,SNGP,Sui Northern Gas Pipe Line Ltd. ,61.33,4.51,285397499,17503428613.67,396938236,24344222013.88,1472184
