TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
09-Oct-20,1.12,1.12,1.12,1.12,1500
08-Oct-20,1.2,1.2,1.2,1.2,500
07-Oct-20,1.02,1.2,1.02,1.2,113500
02-Oct-20,1.25,1.25,1.02,1.02,14000
01-Oct-20,1.2,1.44,0.6,1.25,741500
30-Sep-20,1.1,2.05,1.1,1.2,49500
29-Sep-20,1.05,1.05,1.05,1.05,7500
28-Sep-20,1.1,1.1,1.0,1.0,37500
25-Sep-20,1.1,1.1,1.1,1.1,2500
24-Sep-20,1.15,1.15,1.15,1.15,3000
23-Sep-20,1.3,1.3,1.15,1.15,40500
22-Sep-20,1.1,1.2,1.1,1.2,5500
21-Sep-20,1.2,1.23,1.1,1.19,27500
18-Sep-20,1.23,1.23,1.1,1.1,1500
17-Sep-20,1.15,1.15,1.15,1.15,8000
16-Sep-20,1.22,1.22,1.2,1.2,34000
14-Sep-20,1.18,1.2,1.18,1.2,26000
11-Sep-20,1.16,1.25,1.15,1.15,8500
10-Sep-20,1.2,1.67,1.2,1.22,39000
09-Sep-20,1.15,1.35,1.15,1.2,17000
08-Sep-20,1.29,1.48,1.2,1.35,164000
07-Sep-20,1.2,1.2,1.2,1.2,1500
04-Sep-20,1.11,1.15,1.11,1.12,14000
03-Sep-20,1.15,1.25,1.11,1.11,16000
02-Sep-20,1.48,1.45,1.06,1.2,83500
01-Sep-20,1.0,1.19,1.0,1.1,39000
28-Aug-20,0.76,1.2,0.76,1.2,1500
26-Aug-20,1.0,1.0,1.0,1.0,7000
24-Aug-20,1.0,1.0,1.0,1.0,5000
21-Aug-20,1.0,1.08,1.0,1.0,7000
20-Aug-20,1.0,1.0,0.99,1.0,12000
19-Aug-20,0.91,0.91,0.91,0.91,500
18-Aug-20,0.99,1.0,0.99,1.0,7500
17-Aug-20,1.0,1.0,1.0,1.0,27500
13-Aug-20,0.94,1.0,0.94,1.0,24000
12-Aug-20,0.95,0.95,0.95,0.95,2000
10-Aug-20,0.9,0.9,0.9,0.9,500
07-Aug-20,0.98,0.98,0.98,0.98,7000
05-Aug-20,1.23,1.23,0.96,0.96,4500
04-Aug-20,0.83,0.95,0.83,0.95,11500
30-Jul-20,0.99,1.05,0.95,0.95,45500
29-Jul-20,0.93,0.93,0.86,0.86,5500
28-Jul-20,1.35,1.35,0.86,0.86,14000
27-Jul-20,0.72,0.94,0.72,0.89,9500
23-Jul-20,0.83,0.83,0.82,0.82,12000
22-Jul-20,0.8,0.84,0.8,0.84,34000
21-Jul-20,0.85,0.85,0.85,0.85,5000
20-Jul-20,0.72,0.81,0.72,0.81,15000
13-Jul-20,0.71,0.95,0.71,0.88,9000
09-Jul-20,0.8,0.9,0.8,0.9,1000
08-Jul-20,0.92,0.92,0.92,0.92,1000
07-Jul-20,0.93,0.93,0.93,0.93,2000
26-Jun-20,0.95,0.95,0.8,0.9,10500
25-Jun-20,0.75,0.9,0.71,0.9,17500
24-Jun-20,0.7,0.9,0.7,0.9,3000
10-Jun-20,0.95,0.95,0.87,0.89,11500
09-Jun-20,0.81,0.94,0.81,0.94,24500
08-Jun-20,0.85,0.97,0.8,0.89,23000
05-Jun-20,0.85,0.99,0.85,0.93,52500
03-Jun-20,0.85,0.85,0.81,0.85,11000
02-Jun-20,0.8,0.8,0.8,0.8,20000
19-May-20,0.9,0.9,0.9,0.9,3500
18-May-20,0.86,0.9,0.86,0.9,9000
15-May-20,0.8,0.9,0.8,0.86,32500
14-May-20,0.63,0.9,0.63,0.85,60000
13-May-20,0.85,0.85,0.75,0.8,20000
12-May-20,0.85,0.85,0.85,0.85,1500
11-May-20,0.77,0.83,0.7,0.81,121500
08-May-20,0.0,0.88,0.88,0.88,4000
07-May-20,0.71,0.88,0.71,0.88,34000
06-May-20,0.85,0.89,0.75,0.89,8500
05-May-20,0.85,0.85,0.8,0.8,8000
04-May-20,0.74,0.8,0.74,0.8,30000
30-Apr-20,0.94,0.94,0.7,0.79,83500
29-Apr-20,0.95,0.95,0.95,0.95,1000
27-Apr-20,0.76,0.76,0.76,0.76,50000
24-Apr-20,0.75,0.8,0.74,0.76,27500
22-Apr-20,0.65,0.9,0.6,0.89,12000
16-Apr-20,0.96,0.96,0.96,0.96,1000
09-Apr-20,1.0,1.0,1.0,1.0,3000
