TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
09-Oct-20,1.6,1.78,1.55,1.55,23500
08-Oct-20,1.51,1.89,1.51,1.6,11500
07-Oct-20,1.47,1.7,1.47,1.68,183000
06-Oct-20,1.36,1.53,1.36,1.44,8000
05-Oct-20,1.3,1.53,1.3,1.4,120500
02-Oct-20,1.51,1.69,1.5,1.51,26000
01-Oct-20,1.56,1.68,1.5,1.58,21000
30-Sep-20,1.61,1.79,1.52,1.56,14000
29-Sep-20,1.66,1.84,1.45,1.57,96000
28-Sep-20,1.86,2.15,1.57,1.62,151500
25-Sep-20,2.05,2.3,1.85,1.91,148500
24-Sep-20,2.45,2.49,2.01,2.16,150000
23-Sep-20,2.0,2.65,2.0,2.34,509500
22-Sep-20,1.99,2.25,1.95,2.01,357500
21-Sep-20,2.08,2.09,1.95,1.96,10000
18-Sep-20,1.7,1.95,1.7,1.9,3500
17-Sep-20,1.95,1.95,1.91,1.94,10500
16-Sep-20,2.1,2.1,1.81,2.0,213500
15-Sep-20,1.63,1.85,1.63,1.85,9000
11-Sep-20,1.99,1.99,1.75,1.89,38000
10-Sep-20,1.8,2.1,1.75,1.75,32000
09-Sep-20,1.31,2.1,1.31,1.94,10500
08-Sep-20,1.75,1.75,1.7,1.7,20500
07-Sep-20,1.98,1.98,1.82,1.85,41000
04-Sep-20,1.9,2.07,1.85,1.95,13000
03-Sep-20,1.98,2.1,1.96,2.0,35500
02-Sep-20,1.75,2.04,1.75,1.92,69000
01-Sep-20,1.55,1.84,1.5,1.72,198000
31-Aug-20,1.5,1.5,1.5,1.5,1000
28-Aug-20,1.68,1.68,1.5,1.5,305000
27-Aug-20,1.59,1.58,1.48,1.48,5500
26-Aug-20,1.54,1.55,1.54,1.54,2000
25-Aug-20,1.5,1.55,1.5,1.5,79000
24-Aug-20,1.58,1.59,1.43,1.59,43000
19-Aug-20,1.55,1.59,1.55,1.59,1500
18-Aug-20,1.6,1.6,1.5,1.55,12000
17-Aug-20,1.41,1.5,1.4,1.46,41500
13-Aug-20,1.59,1.59,1.41,1.58,7500
12-Aug-20,1.56,1.56,1.56,1.56,500
11-Aug-20,1.64,1.64,1.51,1.51,2500
07-Aug-20,1.58,1.71,1.58,1.71,8500
