TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
09-Oct-20,819.9,819.9,819.9,819.9,50
08-Oct-20,785.0,785.0,785.0,785.0,50
06-Oct-20,780.0,780.0,780.0,780.0,100
05-Oct-20,810.0,810.0,799.0,800.0,450
01-Oct-20,849.99,849.99,849.99,849.99,250
29-Sep-20,850.0,850.0,850.0,850.0,50
28-Sep-20,849.96,849.99,849.96,849.99,200
24-Sep-20,845.0,850.0,845.0,850.0,250
23-Sep-20,850.0,850.0,850.0,850.0,50
22-Sep-20,830.0,830.0,830.0,830.0,50
18-Sep-20,860.0,860.0,860.0,860.0,50
16-Sep-20,866.0,870.0,866.0,870.0,150
15-Sep-20,0.0,812.0,812.0,866.0,300
11-Sep-20,869.9,869.99,865.0,866.0,250
10-Sep-20,855.0,870.5,850.0,870.5,750
09-Sep-20,855.0,860.0,855.0,860.0,250
08-Sep-20,860.0,860.0,860.0,860.0,50
07-Sep-20,823.9,860.0,823.9,860.0,300
04-Sep-20,850.0,861.0,850.0,860.0,3200
03-Sep-20,855.0,856.01,855.0,856.0,200
02-Sep-20,850.0,869.0,850.0,855.0,250
01-Sep-20,880.0,888.0,870.0,870.0,200
31-Aug-20,842.11,855.01,840.01,855.0,500
28-Aug-20,925.0,925.0,842.02,842.02,350
27-Aug-20,858.99,887.0,858.93,880.57,2950
26-Aug-20,850.15,860.0,850.13,854.5,650
25-Aug-20,875.0,875.0,875.0,875.0,50
24-Aug-20,874.98,874.98,874.98,874.98,50
21-Aug-20,889.98,889.98,845.0,858.17,350
18-Aug-20,900.0,900.0,878.0,895.0,200
17-Aug-20,874.99,915.0,874.99,900.0,1600
13-Aug-20,865.0,904.0,865.0,894.58,1650
12-Aug-20,854.99,875.05,832.0,872.42,4800
11-Aug-20,815.03,815.03,790.0,814.0,1050
07-Aug-20,835.0,835.0,830.0,832.1,600
05-Aug-20,829.2,868.0,829.2,868.0,250
04-Aug-20,850.05,851.01,830.0,833.5,1350
03-Aug-20,900.0,900.0,850.0,853.73,600
30-Jul-20,841.21,841.21,841.21,841.21,50
29-Jul-20,845.0,850.0,845.0,850.0,100
28-Jul-20,851.0,851.0,850.0,850.0,100
24-Jul-20,817.0,850.0,817.0,840.0,200
23-Jul-20,860.0,860.0,860.0,860.0,50
22-Jul-20,874.99,875.0,860.0,860.0,450
21-Jul-20,860.01,860.01,860.01,860.01,50
20-Jul-20,875.0,880.0,870.0,880.0,600
17-Jul-20,856.2,865.0,856.2,865.0,100
16-Jul-20,868.0,868.0,856.1,856.21,750
15-Jul-20,872.0,872.0,868.0,868.0,300
14-Jul-20,887.95,887.99,872.0,872.3,450
13-Jul-20,893.0,893.0,870.11,871.0,900
10-Jul-20,895.0,895.0,895.0,895.0,100
09-Jul-20,901.0,901.0,891.0,897.85,700
08-Jul-20,910.0,930.0,910.0,930.0,350
07-Jul-20,923.0,923.0,919.0,920.0,850
06-Jul-20,928.99,928.99,900.0,924.99,900
03-Jul-20,862.5,865.0,860.2,865.0,200
02-Jul-20,899.0,900.0,850.0,860.0,550
01-Jul-20,838.49,884.0,838.0,875.0,2550
30-Jun-20,818.0,839.0,818.0,838.5,400
29-Jun-20,780.0,818.07,780.0,818.07,2300
26-Jun-20,761.01,761.01,761.0,761.0,150
25-Jun-20,761.85,769.0,750.01,769.0,2300
24-Jun-20,760.0,764.84,745.0,761.18,2150
23-Jun-20,770.0,779.99,760.01,769.99,700
22-Jun-20,780.0,780.0,780.0,780.0,100
19-Jun-20,780.13,780.13,780.13,780.13,50
18-Jun-20,800.0,805.0,800.0,800.0,500
17-Jun-20,811.0,839.86,811.0,822.0,850
16-Jun-20,836.0,836.0,791.01,791.01,200
15-Jun-20,840.0,840.0,800.0,805.0,1550
12-Jun-20,811.8,819.0,779.01,817.5,650
11-Jun-20,820.01,825.0,811.0,816.55,1100
10-Jun-20,849.0,849.0,837.51,840.0,500
09-Jun-20,836.0,873.99,836.0,873.99,250
08-Jun-20,880.0,880.0,845.06,850.13,550
05-Jun-20,830.0,860.0,830.0,858.0,1100
04-Jun-20,846.74,847.0,828.0,828.0,550
03-Jun-20,0.0,843.96,843.96,825.19,50
02-Jun-20,810.51,839.86,810.51,825.19,100
01-Jun-20,818.77,829.88,818.77,829.88,200
29-May-20,821.12,849.9,818.51,820.39,1300
28-May-20,920.0,920.0,843.6,884.87,1100
21-May-20,900.06,915.0,900.06,912.0,250
20-May-20,1095.57,1095.57,950.0,967.39,11400
19-May-20,1019.14,1019.14,1019.14,1019.14,1750
18-May-20,948.04,948.04,948.04,948.04,2200
15-May-20,855.0,881.9,855.0,881.9,1050
14-May-20,799.0,820.38,785.0,820.38,2650
13-May-20,740.11,770.0,740.11,763.15,1000
12-May-20,735.0,735.0,735.0,735.0,200
11-May-20,720.0,720.0,720.0,720.0,100
08-May-20,705.0,720.0,705.0,720.0,100
07-May-20,721.0,721.0,715.0,716.5,350
05-May-20,754.0,754.0,754.0,754.0,50
04-May-20,700.0,754.0,700.0,754.0,1200
30-Apr-20,663.5,709.89,663.5,701.43,800
29-Apr-20,665.0,690.0,647.5,686.0,2150
27-Apr-20,700.0,700.0,700.0,700.0,50
24-Apr-20,706.0,706.0,705.0,705.0,350
23-Apr-20,720.0,720.0,720.0,720.0,50
22-Apr-20,707.07,745.0,707.07,723.84,900
21-Apr-20,805.0,805.0,750.0,754.59,2000
20-Apr-20,750.0,810.0,750.0,804.0,1900
17-Apr-20,804.02,804.02,765.0,785.0,2950
16-Apr-20,739.0,747.93,739.0,747.93,2450
15-Apr-20,685.0,698.75,663.01,695.75,2450
14-Apr-20,660.0,674.98,650.0,650.0,4500
13-Apr-20,695.0,700.0,657.0,657.75,600
10-Apr-20,680.0,680.0,680.0,680.0,50
06-Apr-20,685.0,685.0,680.0,680.01,500
03-Apr-20,706.0,706.0,690.0,693.33,500
02-Apr-20,721.0,748.5,702.0,713.33,2700
01-Apr-20,715.98,716.0,715.98,716.0,650
30-Mar-20,666.05,666.05,666.05,666.05,50
20-Mar-20,735.0,735.0,675.0,720.0,1300
19-Mar-20,770.0,800.0,721.0,721.0,900
17-Mar-20,751.0,751.0,751.0,751.0,50
13-Mar-20,760.0,800.0,760.0,799.82,3100
12-Mar-20,770.0,789.98,701.0,787.93,5200
11-Mar-20,711.0,738.3,711.0,738.3,4400
10-Mar-20,690.0,690.0,690.0,690.0,50
06-Mar-20,760.25,760.25,734.0,739.67,700
05-Mar-20,793.81,793.82,740.0,789.23,3900
04-Mar-20,728.0,741.89,728.0,741.89,500
03-Mar-20,670.0,693.36,670.0,693.36,500
02-Mar-20,626.0,670.0,626.0,648.0,100
21-Feb-20,0.0,620.0,620.0,630.0,100
18-Feb-20,630.0,630.0,630.0,630.0,50
11-Feb-20,630.0,630.0,630.0,630.0,50
04-Feb-20,0.0,669.55,669.55,669.55,0
