DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2008-12-15,22.78,21.65,21.65,21.65,0
2008-12-16,21.65,20.57,20.57,20.57,0
2008-12-17,20.57,19.55,19.55,19.55,500
2008-12-18,19.55,18.55,18.55,18.55,500
2008-12-19,18.55,17.55,17.55,17.55,3000
2008-12-22,17.55,16.55,16.55,16.55,1000
2008-12-23,16.55,15.55,15.55,15.55,2000
2008-12-24,15.55,14.55,14.55,14.55,1000
2008-12-26,14.55,13.99,13.55,13.81,8048000
2008-12-29,13.81,13.9,13.45,13.61,1990000
2008-12-30,13.61,13.79,12.8,12.85,870500
2008-12-31,12.85,13.14,12.4,12.9,3174000
2009-01-01,12.9,13.25,12.3,12.69,6357000
2009-01-02,12.69,13.69,12.7,13.69,4759000
2009-01-05,13.69,14.69,13.83,14.69,3807000
2009-01-06,14.69,15.69,15.4,15.69,2793000
2009-01-09,15.69,16.69,16.0,16.32,3513000
2009-01-12,16.32,16.9,15.32,15.9,2834500
2009-01-13,15.9,15.95,14.9,15.0,5769000
2009-01-14,15.0,15.0,14.51,14.59,1978000
2009-01-15,14.59,15.1,13.59,13.6,4045500
2009-01-16,13.6,13.8,12.7,12.75,2619500
2009-01-19,12.75,13.14,12.1,12.48,1579000
2009-01-20,12.48,13.48,12.32,13.48,1262000
2009-01-21,13.48,14.48,14.48,14.48,294000
2009-01-22,14.48,15.48,14.62,14.74,11681500
2009-01-23,14.74,14.98,14.6,14.71,2385500
2009-01-26,14.71,15.24,14.45,14.73,3722500
2009-01-27,14.73,15.3,14.73,15.06,4816000
2009-01-28,15.06,16.05,15.2,15.5,5344000
2009-01-29,15.5,15.59,14.88,15.28,3191500
2009-01-30,15.28,16.15,15.52,15.93,3920000
2009-02-02,15.93,16.3,15.45,15.57,4182000
2009-02-03,15.57,15.9,15.25,15.57,2265500
2009-02-04,15.57,16.17,15.7,16.0,4010500
2009-02-06,16.0,17.0,15.85,16.97,8205500
2009-02-09,16.97,17.39,16.45,16.61,4368000
2009-02-10,16.61,16.73,16.01,16.13,1656000
2009-02-11,16.13,16.25,15.51,15.83,3842500
2009-02-12,15.83,16.5,15.75,16.05,3695000
2009-02-13,16.05,17.05,16.0,17.01,5040500
2009-02-16,17.01,17.8,16.85,17.7,7688500
2009-02-17,17.7,17.98,17.1,17.52,9776500
2009-02-18,17.52,17.74,17.3,17.61,3447500
2009-02-19,17.61,18.61,17.65,18.32,7232000
2009-02-20,18.32,18.89,17.68,17.82,5276000
2009-02-23,17.82,17.8,17.06,17.39,2885500
2009-02-24,17.39,17.85,17.4,17.53,2122500
2009-02-25,17.53,17.85,16.53,16.53,4165000
2009-02-26,16.53,17.53,16.3,17.53,5163500
2009-02-27,17.53,18.19,17.76,18.02,2078000
2009-03-02,18.02,18.15,17.55,17.82,3014500
2009-03-03,17.82,17.68,16.82,17.58,3557000
2009-03-04,17.58,18.58,17.61,18.57,5554000
2009-03-05,18.57,19.35,18.7,19.05,6915500
2009-03-06,19.05,19.29,18.78,18.87,2240500
2009-03-09,18.87,18.9,18.5,18.82,667000
2009-03-11,18.82,19.05,17.95,18.06,2824000
2009-03-12,18.06,19.06,18.18,19.06,5073000
2009-03-13,16.81,17.3,16.5,16.72,3354000
2009-03-16,16.72,17.72,17.72,17.72,1226000
2009-03-17,17.72,18.4,17.1,17.42,10297000
2009-03-18,17.42,17.89,17.03,17.38,7108500
2009-03-19,17.38,17.57,16.78,16.91,8374500
2009-03-20,16.91,17.26,16.5,16.59,7768500
2009-03-24,16.59,17.5,16.71,17.39,10209500
2009-03-25,17.39,17.65,16.61,16.76,5734500
2009-03-26,16.76,16.9,16.35,16.48,2305500
2009-03-27,16.48,17.2,16.36,17.02,3179000
2009-03-30,17.02,17.95,17.15,17.54,11869500
2009-03-31,17.54,17.75,17.04,17.12,5697500
2009-04-01,17.12,17.55,17.03,17.17,3322500
2009-04-02,17.17,18.17,17.25,18.17,14415500
2009-04-03,18.17,19.0,18.0,18.71,11641500
2009-04-06,18.71,18.97,18.39,18.77,5016500
2009-04-07,18.77,19.25,18.49,18.57,6814000
2009-04-08,18.57,18.33,17.57,17.59,4912500
2009-04-09,17.59,17.49,16.59,16.95,7479000
2009-04-10,16.95,17.94,17.0,17.8,4203000
2009-04-13,17.8,18.55,18.0,18.21,11096000
2009-04-14,18.21,18.26,17.21,17.21,9289500
2009-04-15,17.21,18.21,16.5,18.21,19257500
2009-04-16,18.21,18.64,17.21,17.25,22117000
2009-04-17,17.25,18.25,16.76,17.71,11063000
2009-04-20,17.71,18.1,17.57,17.72,4223500
2009-04-21,17.72,18.2,17.36,17.47,5303000
