DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2008-12-16,3.55,2.55,2.55,2.55,500
2008-12-17,2.55,1.65,1.55,1.55,208500
2008-12-18,1.55,1.55,1.0,1.27,599500
2008-12-19,1.27,1.4,1.0,1.04,1575000
2008-12-22,1.04,1.19,0.98,1.06,166000
2008-12-23,1.06,1.04,1.0,1.0,91000
2008-12-24,1.0,1.07,1.0,1.0,310000
2008-12-26,1.0,1.14,1.01,1.04,100000
2008-12-29,1.04,1.47,1.0,1.2,1005500
2008-12-30,1.2,1.46,1.09,1.33,861000
2008-12-31,1.33,1.43,1.14,1.36,534500
2009-01-01,1.36,1.3,1.23,1.28,236500
2009-01-02,1.28,1.45,1.29,1.4,136500
2009-01-05,1.4,1.8,1.4,1.62,1277500
2009-01-06,1.62,1.61,1.45,1.51,227000
2009-01-09,1.51,1.4,1.2,1.38,118000
2009-01-12,1.38,1.44,1.25,1.43,367500
2009-01-13,1.43,1.38,1.23,1.34,41000
2009-01-14,1.34,1.35,1.3,1.3,128500
2009-01-15,1.3,1.62,1.11,1.41,350500
2009-01-16,1.41,1.68,1.26,1.54,438000
2009-01-19,1.54,1.45,1.36,1.39,133500
2009-01-20,1.39,1.59,1.36,1.47,980000
2009-01-21,1.47,1.37,0.76,1.17,1517500
2009-01-22,1.17,1.23,1.05,1.21,951500
2009-01-23,1.21,1.22,1.0,1.0,2022000
2009-01-26,1.0,1.1,0.98,0.99,2506000
2009-01-27,0.99,1.03,0.97,1.0,1339000
2009-01-28,1.0,1.09,1.0,1.01,299000
2009-01-29,1.01,1.09,1.0,1.02,703000
2009-01-30,1.02,1.05,0.99,1.0,3227000
2009-02-02,1.0,1.06,0.55,0.84,1023500
2009-02-03,0.84,1.0,0.69,0.8,1131500
2009-02-04,0.8,1.25,0.81,0.96,1336000
2009-02-06,0.96,1.03,0.92,1.0,138500
2009-02-09,1.0,1.03,0.85,0.97,935500
2009-02-10,0.97,1.02,0.85,0.94,138000
2009-02-11,0.94,0.99,0.95,0.99,10500
2009-02-12,0.99,0.91,0.8,0.85,354500
2009-02-13,0.85,1.01,0.87,0.96,257500
2009-02-16,0.96,1.0,0.8,0.86,456500
2009-02-17,0.86,0.98,0.85,0.88,47500
2009-02-18,0.88,0.94,0.88,0.9,102000
2009-02-19,0.9,0.99,0.89,0.98,426500
2009-02-20,0.98,0.99,0.93,0.98,116000
2009-02-23,0.98,0.94,0.87,0.94,110000
2009-02-24,0.94,0.94,0.9,0.94,56500
2009-02-25,0.94,0.95,0.8,0.84,107000
2009-02-26,0.84,0.9,0.8,0.89,174000
2009-02-27,0.89,0.86,0.81,0.81,99000
2009-03-02,0.81,0.82,0.75,0.76,708000
2009-03-03,0.76,0.8,0.6,0.64,390500
2009-03-04,0.64,0.79,0.65,0.68,210500
2009-03-05,0.68,0.76,0.69,0.7,49000
2009-03-06,0.7,0.68,0.65,0.68,189000
2009-03-09,0.68,0.68,0.64,0.65,6000
2009-03-11,0.65,0.64,0.59,0.64,126500
2009-03-12,0.64,0.64,0.6,0.63,120500
2009-03-13,0.63,0.67,0.6,0.61,31000
2009-03-16,0.61,0.88,0.71,0.81,484000
2009-03-17,0.81,0.76,0.7,0.71,213500
2009-03-18,0.71,0.78,0.71,0.73,24000
2009-03-19,0.73,0.75,0.69,0.71,70000
2009-03-20,0.71,0.8,0.7,0.77,129500
2009-03-24,0.77,0.85,0.7,0.83,213000
2009-03-25,0.83,0.87,0.8,0.81,147500
2009-03-26,0.81,0.84,0.76,0.76,32500
2009-03-27,0.76,0.82,0.72,0.8,29500
2009-03-30,0.8,1.0,0.8,0.93,174500
2009-03-31,0.93,0.98,0.8,0.9,177000
2009-04-02,0.9,0.98,0.85,0.95,214000
2009-04-03,0.95,0.93,0.92,0.92,58500
2009-04-06,0.92,0.95,0.88,0.91,160500
2009-04-07,0.91,1.1,0.9,1.07,262000
2009-04-08,1.07,1.06,0.97,0.99,262000
2009-04-09,0.99,1.12,1.0,1.06,317000
2009-04-10,1.06,1.13,1.0,1.09,77500
2009-04-13,1.09,1.16,1.0,1.0,1981500
2009-04-14,1.0,1.1,0.99,1.0,1402500
2009-04-15,1.0,1.09,1.0,1.01,165000
2009-04-16,1.01,1.08,1.0,1.0,147500
2009-04-17,1.0,1.05,1.0,1.04,40500
2009-04-20,1.04,1.06,0.95,1.03,50000
2009-04-21,1.03,1.06,1.0,1.02,85500
2009-04-22,1.02,1.07,1.02,1.04,49500
2009-04-23,1.04,1.05,1.01,1.01,41000
2009-04-24,1.01,1.05,1.0,1.05,36500
2009-04-27,1.05,1.04,0.96,1.04,28000
2009-04-28,1.04,1.1,1.0,1.07,64000
2009-04-29,1.07,1.04,0.99,1.0,94500
2009-04-30,1.0,1.04,1.0,1.04,9000
2009-05-04,1.04,0.97,0.97,0.97,5000
2009-05-05,0.97,0.97,0.96,0.97,9500
2009-05-06,0.97,1.03,0.98,1.03,18000
2009-05-07,1.03,0.99,0.97,0.98,19500
2009-05-08,0.98,1.0,0.99,0.99,29500
2009-05-11,0.99,1.0,0.97,1.0,12500
2009-05-13,1.0,1.04,1.02,1.02,180000
2009-05-14,1.02,1.01,0.97,1.0,45500
2009-05-15,1.0,1.05,0.98,1.05,62000
2009-05-18,1.05,1.01,0.98,1.01,34500
2009-05-19,1.01,1.03,1.02,1.03,86500
2009-05-20,1.03,1.06,1.03,1.05,29000
2009-05-21,1.05,1.02,1.01,1.02,24000
2009-05-22,1.02,1.01,1.0,1.01,3000
2009-05-25,1.01,1.1,1.05,1.09,52500
2009-05-26,1.09,1.1,1.07,1.1,16000
2009-05-27,1.1,1.1,1.04,1.1,26500
2009-05-28,1.1,1.1,1.0,1.1,167500
2009-05-29,1.1,1.08,1.04,1.07,30000
2009-06-01,1.07,1.1,1.05,1.08,10500
2009-06-02,1.08,1.1,1.06,1.07,22500
2009-06-03,1.07,1.1,1.1,1.1,5000
2009-06-05,1.1,1.1,1.05,1.1,5500
2009-06-08,1.1,1.15,1.06,1.06,74500
2009-06-09,1.06,1.15,1.03,1.09,69500
2009-06-11,1.09,1.1,1.1,1.1,6000
2009-06-12,1.1,1.05,1.04,1.04,10000
2009-06-17,1.04,1.05,1.05,1.05,1500
2009-06-18,1.05,1.05,1.05,1.05,1000
2009-06-19,1.05,1.05,1.05,1.05,4000
2009-06-22,1.05,1.09,1.06,1.09,6000
2009-06-23,1.09,1.06,1.05,1.05,5500
2009-06-24,1.05,1.05,1.03,1.05,5500
2009-06-25,1.05,1.06,1.06,1.06,1000
2009-06-26,1.06,1.07,1.02,1.04,28500
2009-06-29,1.04,1.07,1.07,1.07,1000
2009-06-30,1.07,1.13,1.11,1.12,47000
2009-07-01,1.12,1.11,1.11,1.11,0
2009-07-02,1.11,1.1,1.1,1.1,0
2009-07-03,1.1,1.12,1.12,1.12,1500
2009-07-06,1.12,1.12,1.12,1.12,1000
2009-07-07,1.12,1.01,1.01,1.01,6500
2009-07-08,1.01,1.01,1.01,1.01,5000
2009-07-09,1.01,1.02,1.01,1.02,3000
2009-07-10,1.02,1.1,1.05,1.05,25000
2009-07-13,1.05,1.05,1.02,1.02,55000
2009-07-14,1.02,0.97,0.91,0.91,40500
2009-07-15,0.91,1.0,0.95,0.95,15000
2009-07-16,0.95,0.92,0.75,0.8,135000
2009-07-17,0.8,0.78,0.75,0.75,55000
2009-07-20,0.75,0.85,0.76,0.78,21000
2009-07-21,0.78,0.93,0.76,0.9,119
2009-07-22,0.9,0.87,0.76,0.85,13192
2009-07-23,0.85,0.8,0.76,0.79,51322
2009-07-24,0.79,0.88,0.75,0.8,30264
2009-07-27,0.8,0.77,0.77,0.77,4079
2009-07-28,0.77,0.88,0.76,0.76,502
2009-07-29,0.76,0.8,0.77,0.77,15004
2009-07-30,0.77,0.89,0.82,0.82,1463
2009-07-31,0.82,0.8,0.8,0.8,1000
2009-08-04,0.8,0.75,0.7,0.75,11740
2009-08-05,0.75,0.75,0.65,0.65,23862
2009-08-06,0.65,0.7,0.7,0.7,250
2009-08-07,0.7,0.75,0.65,0.69,93033
2009-08-10,0.69,0.79,0.7,0.72,9201
2009-08-11,0.72,0.75,0.7,0.75,51071
2009-08-12,0.75,0.75,0.7,0.74,80500
2009-08-13,0.74,0.81,0.7,0.8,59725
2009-08-17,0.8,0.8,0.71,0.79,34000
2009-08-18,0.79,0.79,0.72,0.79,4774
2009-08-19,0.79,0.78,0.72,0.78,1200
2009-08-20,0.78,0.79,0.72,0.74,8025
2009-08-21,0.74,0.79,0.72,0.79,29329
