DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-06-16,95.0,99.94,94.88,95.51,9000
2015-06-17,90.74,90.75,90.74,90.74,2500
2015-06-23,92.92,92.92,92.0,92.0,1000
2015-06-26,0.0,87.4,87.4,92.0,500
2015-07-06,0.0,93.5,93.5,92.0,2500
2015-07-09,93.92,93.93,93.92,93.93,1000
2015-07-15,90.0,95.95,90.0,95.95,1500
2015-08-03,91.16,91.16,91.16,91.16,1000
2015-08-17,92.0,92.0,92.0,92.0,5500
2015-08-26,91.91,92.0,91.91,92.0,1500
2015-08-28,94.94,96.6,94.94,95.85,2000
2015-09-01,91.06,91.06,91.06,91.06,500
2015-09-02,95.61,95.61,95.61,95.61,1000
2015-09-03,99.9,100.39,99.9,100.39,7500
2015-09-04,101.0,101.0,101.0,101.0,1500
2015-09-14,101.0,101.0,101.0,101.0,500
2015-09-21,106.0,106.0,106.0,106.0,500
2015-10-12,104.0,104.0,104.0,104.0,500
2015-10-16,108.0,108.0,108.0,108.0,500
2015-10-29,99.0,99.0,99.0,99.0,500
2015-11-03,0.0,0.0,0.0,99.0,0
2015-11-04,0.0,0.0,0.0,99.0,0
2015-11-05,0.0,0.0,0.0,99.0,0
2015-11-06,0.0,0.0,0.0,99.0,0
2015-11-09,0.0,0.0,0.0,99.0,0
2015-11-10,0.0,0.0,0.0,99.0,0
2015-11-11,0.0,0.0,0.0,99.0,0
2015-11-12,0.0,0.0,0.0,99.0,0
2015-11-13,0.0,0.0,0.0,99.0,0
2015-11-16,0.0,0.0,0.0,99.0,0
2015-11-17,0.0,0.0,0.0,99.0,0
2015-11-18,0.0,0.0,0.0,99.0,0
2015-11-19,0.0,0.0,0.0,99.0,0
2015-11-20,0.0,0.0,0.0,99.0,0
2015-11-23,0.0,0.0,0.0,99.0,0
2015-11-24,0.0,0.0,0.0,99.0,0
2015-11-25,0.0,0.0,0.0,99.0,0
2015-11-26,0.0,0.0,0.0,99.0,0
2015-11-27,0.0,0.0,0.0,99.0,0
2015-11-30,0.0,0.0,0.0,99.0,0
2015-12-01,0.0,0.0,0.0,99.0,0
2015-12-02,0.0,0.0,0.0,99.0,0
2015-12-03,0.0,0.0,0.0,99.0,0
2015-12-04,0.0,0.0,0.0,99.0,0
2015-12-07,0.0,0.0,0.0,99.0,0
2015-12-08,99.99,99.99,99.99,99.99,500
2015-12-09,0.0,99.99,99.99,99.99,500
2015-12-10,0.0,0.0,0.0,99.99,0
2015-12-11,0.0,0.0,0.0,99.99,0
2015-12-14,103.9,104.98,103.9,104.98,2000
2015-12-15,110.0,110.22,110.0,110.22,3000
2015-12-16,115.73,115.73,115.73,115.73,500
2015-12-17,121.51,121.51,120.99,120.99,3500
2015-12-18,125.5,125.99,121.0,121.0,2000
2015-12-21,115.0,124.9,115.0,124.9,2500
2015-12-22,118.66,118.66,118.66,118.66,500
2015-12-23,0.0,0.0,0.0,118.66,0
2015-12-28,0.0,0.0,0.0,118.66,0
2015-12-29,112.73,117.99,112.73,117.99,1500
2015-12-30,112.1,123.88,112.1,122.2,13000
2015-12-31,0.0,0.0,0.0,122.2,0
2016-01-01,0.0,0.0,0.0,122.2,0
2016-01-04,0.0,0.0,0.0,122.2,0
2016-01-05,0.0,0.0,0.0,122.2,0
2016-01-06,119.0,119.0,119.0,119.0,1000
2016-01-07,0.0,0.0,0.0,119.0,0
2016-01-08,0.0,0.0,0.0,119.0,0
2016-01-09,0.0,0.0,0.0,119.0,0
2016-01-10,0.0,0.0,0.0,119.0,0
2016-01-11,0.0,0.0,0.0,119.0,0
2016-01-12,120.0,120.0,119.0,119.0,2000
2016-01-13,0.0,0.0,0.0,119.0,0
2016-01-14,0.0,0.0,0.0,119.0,0
2016-01-15,116.0,116.0,114.0,114.0,1500
2016-01-18,0.0,0.0,0.0,114.0,0
2016-01-19,0.0,0.0,0.0,114.0,0
2016-01-20,0.0,0.0,0.0,114.0,0
2016-01-21,0.0,0.0,0.0,114.0,0
2016-01-22,0.0,0.0,0.0,114.0,0
2016-01-25,0.0,0.0,0.0,114.0,0
2016-01-26,0.0,0.0,0.0,114.0,0
2016-01-27,0.0,0.0,0.0,114.0,0
2016-01-28,0.0,0.0,0.0,114.0,0
2016-01-29,0.0,0.0,0.0,114.0,0
2016-02-01,0.0,0.0,0.0,114.0,0
2016-02-02,109.0,109.0,109.0,109.0,1000
2016-02-03,0.0,0.0,0.0,109.0,0
2016-02-04,0.0,0.0,0.0,109.0,0
2016-02-08,103.55,103.55,103.55,103.55,500
2016-02-09,0.0,0.0,0.0,103.55,0
2016-02-10,0.0,0.0,0.0,103.55,0
2016-02-11,0.0,0.0,0.0,103.55,0
2016-02-12,0.0,0.0,0.0,103.55,0
