DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2009-01-05,310.31,294.8,294.8,294.8,2000
2009-01-06,294.8,280.06,280.06,280.06,6600
2009-01-09,280.06,266.06,266.06,266.06,300
2009-01-12,266.06,252.76,252.76,252.76,100
2009-01-13,252.76,240.13,240.13,240.13,500
2009-01-14,240.13,228.13,228.13,228.13,100
2009-01-15,228.13,216.73,216.73,216.73,300
2009-01-19,216.73,205.9,205.9,205.9,900
2009-01-20,205.9,195.61,195.61,195.61,1600
2009-01-21,195.61,185.83,185.83,185.83,500
2009-01-22,185.83,176.54,176.54,176.54,300
2009-01-23,176.54,167.72,167.72,167.72,200
2009-01-26,167.72,175.0,159.34,159.34,113700
2009-01-27,159.34,163.0,151.38,155.15,115700
2009-01-28,155.15,162.01,155.0,158.93,60100
2009-01-29,158.93,164.9,157.0,163.75,85400
2009-01-30,163.75,171.93,160.0,171.93,119300
2009-02-02,171.93,180.52,174.0,178.66,79200
2009-02-03,178.66,183.65,174.15,177.57,49800
2009-02-04,177.57,186.44,177.0,186.44,54700
2009-02-06,186.44,195.76,187.9,194.95,73400
2009-02-09,194.95,204.69,198.0,204.69,34100
2009-02-10,204.69,214.92,206.0,208.78,110700
2009-02-11,208.78,211.0,198.35,200.24,138800
2009-02-12,200.24,203.0,194.3,195.39,27000
2009-02-13,195.39,205.15,190.0,205.13,87900
2009-02-16,205.13,210.9,199.9,205.25,417800
2009-02-17,205.25,207.7,197.81,199.37,400600
2009-02-18,199.37,202.5,195.25,196.96,142400
2009-02-19,196.96,202.0,196.0,199.0,140400
2009-02-20,199.0,201.0,194.0,195.85,72200
2009-02-23,195.85,195.0,188.0,189.06,43800
2009-02-24,189.06,197.0,189.0,191.07,91600
2009-02-25,191.07,193.99,181.52,183.38,25500
2009-02-26,183.38,186.0,174.22,182.79,37900
2009-02-27,182.79,191.92,185.1,190.83,41700
2009-03-02,190.83,197.51,192.0,196.01,52600
2009-03-03,196.01,199.0,188.0,197.36,57700
2009-03-04,197.36,205.65,195.0,203.42,171500
2009-03-05,203.42,206.2,193.25,193.25,257400
2009-03-06,193.25,189.8,183.59,183.86,131300
2009-03-09,183.86,183.0,178.75,179.88,38200
2009-03-11,179.88,183.0,177.0,177.7,30600
2009-03-12,177.7,181.74,176.81,180.8,41600
2009-03-13,180.8,184.0,179.5,182.17,53100
2009-03-16,182.17,191.27,188.5,191.27,140200
2009-03-17,191.27,194.0,190.0,191.06,121300
2009-03-18,191.06,194.99,189.01,192.52,83200
2009-03-19,192.52,202.14,194.0,202.14,213600
2009-03-20,202.14,212.24,206.1,212.24,114100
2009-03-24,212.24,222.85,222.85,222.85,16200
2009-03-25,222.85,233.99,215.5,223.23,201300
2009-03-26,223.23,234.39,218.0,230.81,299700
2009-03-27,230.81,242.35,232.0,242.35,237500
2009-03-30,242.35,254.46,241.0,252.17,329800
2009-03-31,252.17,257.02,240.5,243.57,257800
2009-04-01,243.57,251.79,236.5,240.89,85700
2009-04-02,240.89,249.4,240.0,244.75,104100
2009-04-03,244.75,254.0,245.0,249.17,178200
2009-04-06,249.17,249.2,242.0,245.76,110600
2009-04-07,245.76,252.0,239.0,245.39,318400
2009-04-08,245.39,244.45,236.0,236.24,93400
2009-04-09,236.24,241.0,230.01,235.41,44700
2009-04-10,235.41,246.0,238.0,244.85,65900
2009-04-13,244.85,257.09,247.5,257.09,228700
2009-04-14,257.09,263.99,244.24,246.01,326700
2009-04-15,246.01,249.0,239.0,241.03,115100
2009-04-16,241.03,248.4,240.0,242.65,138400
2009-04-17,242.65,248.0,238.0,243.09,106800
2009-04-20,243.09,255.24,244.0,251.91,185900
2009-04-21,251.91,259.0,248.0,248.51,111900
2009-04-22,248.51,250.0,239.0,240.03,95100
2009-04-23,240.03,244.7,228.03,228.21,78600
2009-04-24,228.21,239.62,216.8,239.41,103400
2009-04-27,239.41,242.9,228.11,229.6,57800
2009-04-28,229.6,232.5,227.0,230.75,32400
2009-04-29,230.75,234.0,227.0,227.75,15600
2009-04-30,227.75,226.0,218.06,223.51,26000
2009-05-04,223.51,232.0,220.0,221.7,13600
2009-05-05,221.7,222.0,218.1,218.88,5500
2009-05-06,218.88,225.0,210.0,216.53,78900
2009-05-07,216.53,218.5,213.5,215.53,10900
2009-05-08,215.53,213.5,204.76,205.9,187800
2009-05-11,205.9,210.5,205.07,206.0,20100
2009-05-12,206.0,216.0,207.0,215.08,91500
2009-05-13,215.08,220.0,210.0,211.98,99000
2009-05-14,211.98,211.2,208.0,209.23,13300
2009-05-15,209.23,215.0,209.02,211.8,16500
2009-05-18,211.8,214.5,210.0,212.04,26500
2009-05-19,212.04,217.0,212.0,212.53,7900
2009-05-20,212.53,215.99,208.0,209.99,21500
2009-05-21,209.99,211.5,206.15,208.41,16800
2009-05-22,208.41,218.83,212.5,218.82,101800
2009-05-25,218.82,225.0,217.0,222.49,76700
2009-05-26,222.49,227.5,220.0,224.06,62200
2009-05-27,224.06,228.5,223.1,225.05,34400
2009-05-28,225.05,227.85,224.6,227.15,24300
2009-05-29,227.15,232.0,225.11,226.7,41500
2009-06-01,226.7,229.0,223.0,223.04,16800
2009-06-02,223.04,224.9,219.0,220.13,18700
2009-06-03,220.13,221.45,215.05,215.45,19100
2009-06-04,215.45,219.9,210.2,214.03,6900
2009-06-05,214.03,220.0,215.31,218.15,12000
2009-06-08,218.15,224.98,217.55,217.8,6300
2009-06-09,217.8,225.0,218.01,223.21,29800
2009-06-10,223.21,224.9,221.5,222.11,6700
2009-06-11,222.11,225.66,222.0,223.91,21200
2009-06-12,223.91,225.0,223.0,223.17,5600
2009-06-15,223.17,227.99,220.8,220.9,4900
2009-06-16,220.9,228.5,217.0,223.1,33800
2009-06-17,223.1,227.0,224.0,225.74,7000
2009-06-18,225.74,233.45,224.0,224.48,36000
2009-06-19,224.48,226.5,223.5,223.55,2400
2009-06-22,223.55,229.8,223.5,224.0,3400
2009-06-23,224.0,224.0,222.05,222.93,7200
2009-06-24,222.93,224.0,220.11,220.76,4900
2009-06-25,220.76,222.9,219.0,220.32,23900
2009-06-26,220.32,228.4,222.49,223.63,44100
2009-06-29,223.63,226.5,224.0,225.25,9300
2009-06-30,225.25,227.49,223.0,223.9,9100
2009-07-01,223.9,227.6,224.01,226.93,15200
2009-07-02,226.93,234.79,227.0,230.0,166700
2009-07-03,230.0,231.0,226.0,227.24,43100
2009-07-06,227.24,228.65,225.0,225.99,17400
2009-07-07,225.99,230.48,223.5,227.24,76700
2009-07-08,227.24,226.95,223.0,223.65,15200
2009-07-09,223.65,227.0,223.01,224.18,25000
2009-07-10,224.18,225.95,223.5,224.61,3000
2009-07-13,224.61,232.5,225.35,230.07,110500
2009-07-14,230.07,238.0,229.5,231.71,115100
2009-07-15,231.71,234.25,230.0,231.0,61000
2009-07-16,231.0,236.0,223.0,227.96,476100
2009-07-17,227.96,229.0,222.9,224.72,258500
2009-07-20,224.72,235.0,226.0,232.39,282000
2009-07-21,232.39,238.5,229.15,234.61,276671
2009-07-22,234.61,238.5,234.0,234.3,203269
2009-07-23,234.3,237.45,234.0,234.3,41152
2009-07-24,234.3,236.94,231.1,234.65,100579
2009-07-27,234.65,236.98,231.5,231.7,17793
2009-07-28,231.7,233.0,229.5,231.16,16056
2009-07-29,231.16,232.9,225.95,226.69,48563
2009-07-30,226.69,228.49,225.5,226.09,17795
2009-07-31,226.09,231.2,225.0,230.29,43739
2009-08-03,230.29,232.99,228.25,231.46,22929
2009-08-04,231.46,236.9,230.75,234.37,184433
2009-08-05,234.37,240.0,234.0,239.12,325725
2009-08-06,239.12,241.8,235.1,236.39,145457
2009-08-07,236.39,242.4,237.15,239.39,212789
2009-08-10,239.39,244.49,240.2,243.26,228785
2009-08-11,243.26,251.9,242.01,249.24,386297
2009-08-12,249.24,255.0,248.0,248.85,297014
2009-08-13,248.85,253.99,248.01,249.06,176626
2009-08-17,249.06,250.5,243.0,244.63,95092
2009-08-18,244.63,246.88,237.01,238.58,77008
2009-08-19,238.58,248.5,242.55,243.5,259735
2009-08-20,243.5,245.0,240.75,243.43,108325
2009-08-21,243.43,248.9,242.0,247.43,157990
2009-08-24,247.43,255.5,247.6,254.61,168376
2009-08-25,254.61,257.0,251.06,251.93,82009
2009-08-26,251.93,253.5,249.5,251.67,46197
2009-08-27,251.67,255.0,251.26,252.13,61320
2009-08-28,252.13,255.5,252.5,254.4,66914
2009-08-31,254.4,260.5,255.75,257.06,142585
2009-09-01,257.06,262.98,253.0,254.28,223408
2009-09-02,254.28,259.0,245.9,251.87,205650
2009-09-03,251.87,253.98,245.5,248.77,220876
2009-09-04,248.77,252.5,250.0,251.71,53829
2009-09-07,251.71,254.5,246.0,251.33,296298
2009-09-08,251.33,251.5,241.0,244.44,208834
2009-09-09,244.44,256.66,245.5,256.11,162489
2009-09-10,256.11,258.5,253.0,256.83,108229
2009-09-11,256.83,262.0,257.89,259.16,107706
2009-09-14,259.16,272.11,259.0,269.61,542303
2009-09-15,261.61,265.8,254.0,258.8,143380
2009-09-16,258.8,262.8,257.01,259.2,165540
2009-09-17,259.2,269.3,259.99,265.03,354357
2009-09-18,265.03,271.25,265.0,269.41,202925
2009-09-24,269.41,282.88,270.0,280.33,308112
2009-09-25,280.33,284.0,276.5,278.89,178823
2009-09-28,278.89,280.0,268.0,269.01,63632
2009-09-29,269.01,273.0,261.25,269.67,54990
2009-09-30,269.67,272.0,265.0,265.05,26998
2009-10-01,265.05,269.95,263.5,264.82,24251
2009-10-02,264.82,273.75,262.0,271.13,80210
2009-10-05,271.13,274.5,269.05,270.33,105629
2009-10-06,270.33,273.98,270.0,270.75,29505
2009-10-07,270.75,272.98,268.56,269.36,127944
2009-10-08,269.36,270.0,263.0,264.06,44815
2009-10-09,264.06,268.98,260.0,260.34,182003
2009-10-12,260.34,261.95,257.0,257.82,42758
2009-10-13,257.82,262.2,258.6,260.08,45008
2009-10-14,260.08,273.08,261.1,273.07,403884
2009-10-15,273.07,282.85,274.5,277.51,406703
2009-10-16,277.51,280.0,270.0,270.4,206474
2009-10-19,270.4,274.0,261.0,261.32,111360
2009-10-20,261.32,274.38,260.21,265.84,156591
2009-10-21,265.84,264.8,259.0,260.06,58756
2009-10-22,260.06,264.0,257.0,261.32,58313
2009-10-23,261.32,266.4,259.03,260.08,46406
2009-10-26,260.08,265.0,258.0,262.83,41017
2009-10-27,262.83,264.9,259.0,259.85,66746
2009-10-28,259.85,263.95,251.0,253.78,48022
2009-10-29,253.78,256.0,250.0,251.43,27553
2009-10-30,251.43,255.0,249.51,250.05,64441
2009-11-02,250.05,252.47,237.55,237.56,146836
2009-11-03,237.56,245.01,231.05,240.76,53010
2009-11-04,240.76,248.0,242.11,246.39,32111
2009-11-05,246.39,252.8,242.5,246.95,89756
2009-11-06,246.95,249.0,243.0,245.3,38272
2009-11-10,245.3,249.89,238.0,240.21,23393
2009-11-11,240.21,245.9,237.5,244.24,82312
2009-11-12,244.24,248.0,242.0,243.57,15786
2009-11-13,243.57,246.25,243.0,245.61,18545
2009-11-16,245.61,251.0,245.1,250.07,50846
2009-11-17,250.07,254.9,248.9,249.42,66709
2009-11-18,249.42,252.49,248.0,248.26,15667
2009-11-19,248.26,253.99,248.65,251.58,31521
2009-11-20,251.58,253.7,248.12,249.01,29527
2009-11-23,249.01,249.89,247.0,248.84,9922
2009-11-24,248.84,251.9,247.1,248.0,8380
2009-11-25,248.0,249.0,246.61,247.05,6587
2009-11-26,247.05,248.0,245.15,246.96,6423
2009-12-01,246.96,249.98,245.0,246.87,30567
2009-12-02,246.87,249.45,241.0,245.89,23462
2009-12-03,245.89,246.9,244.5,244.8,10420
2009-12-04,244.8,247.88,242.0,242.79,13619
2009-12-07,242.79,244.5,240.55,242.56,8209
2009-12-08,242.56,245.0,238.1,239.49,20435
2009-12-09,239.49,245.5,241.05,242.95,14319
2009-12-10,242.95,245.49,243.0,243.46,5162
2009-12-11,243.46,245.49,240.12,241.68,14653
2009-12-14,241.68,248.5,242.0,247.99,31637
2009-12-15,247.99,250.0,245.02,246.34,31006
2009-12-16,246.34,249.25,246.11,247.17,16959
2009-12-17,247.17,249.5,243.01,245.6,17344
2009-12-18,245.6,248.0,244.0,244.78,12744
2009-12-21,244.78,247.5,244.04,246.71,7889
2009-12-22,246.71,252.0,245.01,250.39,27493
2009-12-23,250.39,252.0,247.25,248.36,7348
2009-12-24,248.36,251.99,248.7,250.55,34240
2009-12-29,250.55,252.0,247.52,250.96,12229
2009-12-30,250.96,254.5,250.11,253.3,59777
2009-12-31,253.3,253.75,250.0,250.36,19836
2010-01-04,250.36,252.9,248.05,249.97,31979
2010-01-05,249.97,257.25,250.0,254.2,150432
2010-01-06,254.2,257.99,254.4,255.84,134418
2010-01-07,255.84,256.3,253.0,253.57,130813
2010-01-08,253.57,261.6,253.0,258.38,448757
2010-01-11,258.38,271.29,258.56,271.29,645754
2010-01-12,271.29,277.0,270.16,272.29,398224
2010-01-13,272.29,284.0,273.05,279.69,585751
2010-01-14,279.69,282.89,276.0,277.24,201123
2010-01-15,277.24,287.5,278.6,285.95,441687
2010-01-18,285.95,286.9,279.58,280.41,146362
2010-01-19,280.41,284.85,280.0,281.21,101750
2010-01-20,281.21,284.8,277.5,279.07,222440
2010-01-21,279.07,283.9,277.5,278.53,229375
2010-01-22,278.53,286.8,276.0,282.51,163549
2010-01-25,282.51,288.9,280.0,281.3,218995
2010-01-26,281.3,284.0,277.5,278.43,96599
2010-01-27,278.43,287.0,278.0,283.33,201930
2010-01-28,283.33,286.0,276.0,280.25,76898
2010-01-29,280.25,283.0,279.0,280.58,51493
2010-02-01,280.58,284.5,280.05,282.96,88619
2010-02-02,282.96,287.0,280.5,281.0,279790
2010-02-03,281.0,283.0,280.0,280.42,63180
2010-02-04,280.42,285.0,281.25,282.28,128807
2010-02-08,282.28,283.0,280.15,280.98,41190
2010-02-09,280.98,285.45,280.51,282.13,91483
2010-02-10,282.13,285.5,282.0,282.45,80393
2010-02-11,282.45,283.9,280.75,281.17,22881
2010-02-12,281.17,283.5,280.3,281.66,35420
2010-02-15,281.66,280.0,271.0,277.52,23595
2010-02-16,277.52,280.0,274.5,278.78,21350
2010-02-17,278.78,282.99,279.1,281.1,42734
2010-02-18,281.1,284.4,281.0,282.46,63365
2010-02-19,282.46,283.49,281.0,281.88,26986
2010-02-22,281.88,289.0,281.6,285.5,255537
2010-02-23,285.5,286.06,282.0,283.61,50380
2010-02-24,283.61,285.5,281.1,281.74,44842
2010-02-25,281.74,282.5,279.0,280.09,49808
2010-02-26,280.09,281.0,278.0,280.25,23068
2010-03-01,280.25,282.0,272.0,275.62,56038
2010-03-02,275.62,282.01,274.0,280.42,122046
2010-03-03,280.42,288.95,280.5,282.11,257843
2010-03-04,282.11,285.7,268.01,273.01,392823
2010-03-05,273.01,283.2,275.9,281.66,449793
2010-03-08,281.66,285.0,282.0,283.74,91451
2010-03-09,283.74,284.5,283.01,283.44,258973
2010-03-10,283.44,285.25,282.95,283.64,69395
2010-03-11,283.64,287.5,283.5,285.55,167713
2010-03-12,285.55,292.88,286.5,290.13,373439
2010-03-15,290.13,293.85,290.01,291.2,129000
2010-03-16,291.2,294.0,289.25,290.84,148856
2010-03-17,290.84,293.5,289.5,289.9,143009
2010-03-18,289.9,292.0,288.1,289.78,52506
2010-03-19,289.78,291.5,289.0,289.56,41588
2010-03-22,289.56,292.35,289.5,291.89,53540
2010-03-24,291.89,298.0,292.0,297.39,230420
2010-03-25,297.39,300.49,297.0,298.28,189129
2010-03-26,298.28,304.5,297.05,302.62,267001
2010-03-29,302.62,304.9,300.05,300.79,96499
2010-03-30,300.79,304.0,299.5,300.12,113065
2010-03-31,300.12,303.0,300.51,301.09,83988
2010-04-01,301.09,306.1,302.1,302.89,214787
2010-04-02,302.89,308.45,302.25,307.33,292690
2010-04-05,282.33,285.05,280.67,281.44,109368
2010-04-06,281.44,283.2,278.5,279.58,86586
2010-04-07,279.58,283.0,279.4,282.31,88080
2010-04-08,282.31,285.0,281.08,284.08,89884
2010-04-09,284.08,289.6,284.0,289.05,186303
2010-04-12,289.05,289.9,284.9,285.23,60302
2010-04-13,285.23,287.5,281.82,282.16,69422
2010-04-14,282.16,283.94,281.84,283.54,20831
2010-04-15,283.54,284.85,283.01,283.58,30824
2010-04-16,283.58,286.0,281.5,282.12,57362
2010-04-19,282.12,283.9,281.0,281.43,26736
2010-04-20,281.43,285.0,281.0,281.68,72925
2010-04-21,281.68,282.0,277.0,278.77,44428
2010-04-22,278.77,280.5,264.84,265.54,255084
2010-04-23,265.54,268.0,264.5,264.95,66148
2010-04-26,264.95,267.85,264.06,265.69,22279
2010-04-27,265.69,267.39,265.0,265.84,22761
2010-04-28,265.84,266.7,262.3,264.94,29965
2010-04-29,264.94,266.89,259.5,260.54,21094
2010-04-30,260.54,264.2,252.0,257.83,32947
2010-05-03,257.83,258.95,251.05,252.03,34294
2010-05-04,252.03,256.85,250.0,256.06,28177
2010-05-05,256.06,260.0,254.0,258.17,43921
2010-05-06,258.17,262.55,259.0,261.61,20394
2010-05-07,261.61,263.0,255.0,255.88,34798
2010-05-10,255.88,257.9,253.0,255.01,12999
2010-05-11,255.01,259.9,254.0,254.98,22719
2010-05-12,254.98,255.75,251.5,253.94,18961
2010-05-13,253.94,258.0,254.28,255.54,9222
2010-05-14,255.54,257.0,254.0,254.33,3935
2010-05-17,254.33,258.0,249.0,249.89,20295
2010-05-18,249.89,253.0,248.5,251.55,11415
2010-05-19,251.55,252.0,248.5,251.09,26678
2010-05-20,251.09,251.86,249.5,251.54,10331
2010-05-21,251.54,252.5,245.0,248.09,22030
2010-05-24,248.09,247.9,240.8,243.98,19939
2010-05-25,243.98,249.95,231.79,234.96,119841
2010-05-26,234.96,246.66,231.1,241.14,33745
2010-05-27,241.14,241.9,235.1,237.04,12817
2010-05-28,237.04,246.99,234.35,237.12,23986
2010-05-31,237.12,245.0,233.0,235.09,10906
2010-06-01,235.09,240.0,225.0,227.93,72215
2010-06-02,227.93,239.0,226.0,236.23,28877
2010-06-03,236.23,242.0,233.51,239.52,12489
2010-06-04,239.52,241.47,236.0,238.84,28757
2010-06-07,238.84,242.85,230.01,240.98,13542
2010-06-08,240.98,244.0,239.0,240.28,11223
2010-06-09,240.28,243.0,239.5,241.22,7592
2010-06-10,241.22,242.99,236.0,237.5,15507
2010-06-11,237.5,244.49,231.0,237.22,4537
2010-06-14,237.22,243.0,228.2,232.37,23837
2010-06-15,232.37,237.0,229.25,230.1,25348
2010-06-16,230.1,238.0,230.0,236.73,41933
2010-06-17,236.73,242.98,232.1,237.32,14999
2010-06-18,237.32,239.9,235.51,237.02,25677
2010-06-21,237.02,240.99,237.01,237.04,6078
2010-06-22,237.04,241.5,234.0,237.0,14199
2010-06-23,237.0,239.98,235.25,235.92,11105
2010-06-24,235.92,237.99,235.01,235.93,19072
2010-06-25,235.93,246.9,225.01,232.24,32942
2010-06-28,232.24,239.5,227.4,228.72,17817
2010-06-29,228.72,235.9,227.0,229.58,3305
2010-06-30,229.58,234.9,228.0,229.61,12121
2010-07-01,229.61,233.0,229.0,229.0,5179
2010-07-02,229.0,240.45,224.0,228.05,1328
2010-07-05,228.05,232.0,220.0,228.47,2197
2010-07-06,228.47,232.0,225.0,227.37,39737
2010-07-07,227.37,234.99,218.1,228.9,150126
2010-07-08,228.9,232.95,226.27,227.91,19418
2010-07-09,227.91,229.9,227.5,228.21,21555
2010-07-12,228.21,232.0,228.0,228.72,20924
2010-07-13,228.72,231.25,229.0,229.59,11704
2010-07-14,229.59,232.5,230.02,232.13,37683
2010-07-15,232.13,236.0,230.11,231.15,18306
2010-07-16,231.15,236.0,228.1,231.84,2765
2010-07-19,231.84,233.4,231.0,231.37,7764
2010-07-20,231.37,233.0,227.15,231.03,3380
2010-07-21,231.03,232.9,229.99,230.91,13942
2010-07-22,230.91,232.25,230.99,231.68,9369
2010-07-23,231.68,235.5,231.0,234.74,49688
2010-07-26,234.74,237.9,232.0,232.01,7182
2010-07-27,232.01,234.95,221.5,233.96,4194
2010-07-28,233.96,237.0,234.0,236.06,13752
2010-07-29,236.06,238.5,234.0,235.23,12133
2010-07-30,235.23,241.0,235.01,239.37,41950
2010-08-02,239.37,244.0,231.99,234.5,66654
2010-08-03,234.5,237.0,234.0,234.47,5245
2010-08-04,234.47,238.0,235.0,235.52,21956
2010-08-05,235.52,237.55,235.11,235.86,11593
