symbol,current_price,predicted_price,percent_change,direction,confidence,signal_strength,recommendation,last_update,market_change,market_change_pct
786,11.98,13.036292498348782,8.81713270741888,UP,0.6244795382022857,MODERATE,HOLD,2025-11-27 00:43:26,-0.31,0
AABS,1048.3,1008.5640546014613,-3.7905127729217463,DOWN,0.35133330821990966,WEAK,HOLD,2025-11-27 00:43:26,0.0,0
ABL,175.7,173.9250199890651,-1.0102333585286756,DOWN,0.37319282889366145,WEAK,HOLD,2025-11-27 00:43:27,0.22,0
ABOT,1065.96,1074.7835115033354,0.8277525895282505,UP,0.49272097349166866,WEAK,HOLD,2025-11-27 00:43:27,3.12,0
ACPL,279.15,284.86282633685624,2.0465077330669055,UP,0.46355583667755124,WEAK,HOLD,2025-11-27 00:43:28,-1.07,0
ADAMS,70.8,68.6012890072904,-3.1055240010022502,DOWN,0.5182205140590668,WEAK,HOLD,2025-11-27 00:43:28,0.0,0
ADMM,49.45,49.72114500999451,0.5483215571173011,UP,0.487996232509613,WEAK,HOLD,2025-11-27 00:43:29,0.4,0
AGIC,37.34,38.96671267489383,4.35648814915325,UP,0.45410981774330134,WEAK,HOLD,2025-11-27 00:43:29,-1.13,0
AGIL,142.59,144.8440642991066,1.5808011074455446,UP,0.394463050365448,WEAK,HOLD,2025-11-27 00:43:30,0.0,0
AGL,69.18,68.84086056363955,-0.4902275749645197,DOWN,0.6173353493213654,MODERATE,HOLD,2025-11-27 00:43:30,-1.67,0
AGP,185.98,180.01840362716837,-3.2055040180834617,DOWN,0.5513910412788391,WEAK,HOLD,2025-11-27 00:43:31,2.81,0
AGSML,9.03,9.197198731208164,1.8515917077316177,UP,0.6871791541576385,MODERATE,HOLD,2025-11-27 00:43:31,-0.17,0
AGTL,402.43,396.45436995365117,-1.4848868241306166,DOWN,0.5451768219470977,WEAK,HOLD,2025-11-27 00:43:32,-0.58,0
AHCL,15.28,15.322447746068578,0.27779938526556675,UP,0.4733725666999817,WEAK,HOLD,2025-11-27 00:43:32,-0.23,0
AHL,97.33,99.66881465563095,2.4029740631161567,UP,0.4551744699478149,WEAK,HOLD,2025-11-27 00:43:33,-0.3,0
AHTM,91.82,94.43476526594397,2.8477077607754007,UP,0.5480683267116546,WEAK,HOLD,2025-11-27 00:43:34,0.0,0
AICL,77.0,79.71165887256319,3.5216348994327165,UP,0.5002455949783325,WEAK,HOLD,2025-11-27 00:43:34,0.5,0
AKBL,94.16,95.81442806305061,1.7570391493740618,UP,0.40502524971961973,WEAK,HOLD,2025-11-27 00:43:35,-0.25,0
ALAC,11.65,11.892656556639452,2.082888898192714,UP,0.492688512802124,WEAK,HOLD,2025-11-27 00:43:35,-0.21,0
ALNRS,107.41,101.98672185194494,-5.0491370897077195,DOWN,0.6499935567378997,MODERATE,SELL,2025-11-27 00:43:36,0.0,0
ALTN,11.05,11.168045828035417,1.0682880365196075,UP,0.482720410823822,WEAK,HOLD,2025-11-27 00:43:36,0.19,0
AMBL,9.47,10.462246465287052,10.477787384234965,UP,0.48036826252937315,WEAK,HOLD,2025-11-27 00:43:37,0.0,0
ANL,11.28,11.948155720280113,5.923366314540013,UP,0.5019878327846526,WEAK,HOLD,2025-11-27 00:43:37,-0.18,0
ANTM,36.02,38.324975730680876,6.39915527673757,UP,0.35526689291000363,WEAK,HOLD,2025-11-27 00:43:38,-2.68,0
APL,536.77,529.9383704479852,-1.2727293909895787,DOWN,0.3505520403385162,WEAK,HOLD,2025-11-27 00:43:39,-1.31,0
ARPL,445.15,423.378386757895,-4.890848757071772,DOWN,0.5160192370414733,WEAK,HOLD,2025-11-27 00:43:39,2.27,0
ASC,14.11,14.846146011214806,5.217193559282825,UP,0.6659242868423462,MODERATE,HOLD,2025-11-27 00:43:40,-0.24,0
ASHT,21.69,21.8366246942367,0.6760013565546303,UP,0.6102919220924377,MODERATE,HOLD,2025-11-27 00:43:40,-1.03,0
ASL,12.61,12.949057400974834,2.6887977872706914,UP,0.47676783800125117,WEAK,HOLD,2025-11-27 00:43:41,-0.17,0
